times, Ki67_negative_fraction, Ki67_positive_fraction
0,1,0
30,0.88925,0.11075
60,0.80559,0.19441
90,0.73628,0.26372
120,0.67422,0.32578
150,0.61912,0.38088
180,0.58011,0.41989
210,0.54726,0.45274
240,0.51748,0.48252
270,0.49385,0.50615
300,0.48118,0.51882
330,0.4529,0.5471
360,0.44191,0.55809
390,0.42565,0.57435
420,0.40375,0.59625
450,0.38767,0.61233
480,0.37565,0.62435
510,0.36,0.64
540,0.35954,0.64046
570,0.35847,0.64153
600,0.35803,0.64197
630,0.34748,0.65252
660,0.34497,0.65503
690,0.34396,0.65604
720,0.3415,0.6585
750,0.33083,0.66917
780,0.33126,0.66874
810,0.33083,0.66917
840,0.33126,0.66874
870,0.33135,0.66865
900,0.33126,0.66874
930,0.33083,0.66917
960,0.33006,0.66994
990,0.32994,0.67006
1020,0.32953,0.67047
1050,0.32895,0.67105
1080,0.32895,0.67105
1110,0.32895,0.67105
1140,0.32895,0.67105
1170,0.32895,0.67105
1200,0.32895,0.67105
1230,0.32871,0.67129
1260,0.32871,0.67129
1290,0.32871,0.67129
1320,0.32871,0.67129
1350,0.32871,0.67129
1380,0.32871,0.67129
1410,0.32871,0.67129
1440,0.32871,0.67129
1470,0.32823,0.67177
1500,0.3282,0.6718
1530,0.32819,0.67181
1560,0.32817,0.67183
1590,0.32817,0.67183
1620,0.32817,0.67183
1650,0.32817,0.67183
1680,0.32817,0.67183
1710,0.32817,0.67183
1740,0.32817,0.67183
1770,0.32817,0.67183
1800,0.32817,0.67183
1830,0.32817,0.67183
1860,0.32817,0.67183
1890,0.32819,0.67181
1920,0.3282,0.6718
1950,0.32823,0.67177
1980,0.32867,0.67133
2010,0.32867,0.67133
2040,0.32871,0.67129
2070,0.32902,0.67098
2100,0.3292,0.6708
2130,0.32953,0.67047
2160,0.32963,0.67037
2190,0.32964,0.67036
2220,0.32964,0.67036
2250,0.32982,0.67018
2280,0.32994,0.67006
2310,0.33003,0.66997
2340,0.33003,0.66997
2370,0.33003,0.66997
2400,0.33003,0.66997
2430,0.33006,0.66994
2460,0.33025,0.66975
2490,0.33025,0.66975
2520,0.33025,0.66975
2550,0.33049,0.66951
2580,0.33049,0.66951
2610,0.33049,0.66951
2640,0.33049,0.66951
2670,0.33025,0.66975
2700,0.33025,0.66975
2730,0.33049,0.66951
2760,0.33052,0.66948
2790,0.33118,0.66882
2820,0.33133,0.66867
2850,0.33139,0.66861
2880,0.33142,0.66858
2910,0.33142,0.66858
2940,0.33142,0.66858
2970,0.33177,0.66823
3000,0.33142,0.66858
3030,0.33142,0.66858
3060,0.33142,0.66858
3090,0.33177,0.66823
3120,0.33182,0.66818
3150,0.33195,0.66805
3180,0.33215,0.66785
3210,0.33195,0.66805
3240,0.33182,0.66818
3270,0.33177,0.66823
3300,0.33142,0.66858
3330,0.33142,0.66858
3360,0.33139,0.66861
3390,0.33139,0.66861
3420,0.33003,0.66997
3450,0.32985,0.67015
3480,0.32985,0.67015
3510,0.3295,0.6705
3540,0.32985,0.67015
3570,0.3295,0.6705
3600,0.3295,0.6705
