times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0
30.0,32.9,4.1,0.0,0.0
60.0,30.0,7.2,0.0,0.0
90.0,27.6,9.9,0.0,0.0
120.0,25.6,12.4,0.0,0.0
150.0,23.7,14.6,0.0,0.0
180.0,22.5,16.3,0.0,0.0
210.0,21.5,17.8,0.0,0.0
240.0,20.7,19.3,0.0,0.0
270.0,20.1,20.6,0.0,0.0
300.0,19.9,21.5,0.0,0.0
330.0,19.0,23.0,0.0,0.0
360.0,19.0,24.0,0.0,0.0
390.0,18.7,25.3,0.0,0.0
420.0,18.1,26.7,0.0,0.0
450.0,17.7,28.0,0.0,0.0
480.0,17.5,29.0,0.0,0.0
510.0,16.9,30.3,0.0,0.0
540.0,17.3,31.0,0.0,0.0
570.0,17.8,31.7,0.0,0.0
600.0,18.2,32.4,0.0,0.0
630.0,17.7,33.8,0.0,0.0
660.0,18.3,34.4,0.0,0.0
690.0,18.4,35.5,0.0,0.0
720.0,19.0,36.0,0.0,0.0
750.0,18.5,37.4,0.0,0.0
780.0,18.2,38.7,0.0,0.0
810.0,18.6,39.5,0.0,0.0
840.0,19.4,40.2,0.0,0.0
870.0,19.9,41.1,0.0,0.0
900.0,20.5,41.9,0.0,0.0
930.0,20.8,42.9,0.0,0.0
960.0,21.2,43.7,0.0,0.0
990.0,21.7,44.6,0.0,0.0
1020.0,22.1,45.5,0.0,0.0
1050.0,22.4,46.7,0.0,0.0
1080.0,22.2,48.3,0.0,0.0
1110.0,23.1,49.1,0.0,0.0
1140.0,24.1,49.7,0.0,0.0
1170.0,24.8,50.5,0.0,0.0
1200.0,24.6,52.3,0.0,0.0
1230.0,25.1,53.4,0.0,0.0
1260.0,25.3,54.7,0.0,0.0
1290.0,26.4,55.5,0.0,0.0
1320.0,27.5,56.4,0.0,0.0
1350.0,27.9,57.7,0.0,0.0
1380.0,27.8,59.3,0.0,0.0
1410.0,28.6,60.5,0.0,0.0
1440.0,29.6,61.6,0.0,0.0
1470.0,30.7,62.8,0.0,0.0
1500.0,31.3,64.1,0.0,0.0
1530.0,32.4,65.3,0.0,0.0
1560.0,33.0,66.7,0.0,0.0
1590.0,33.6,68.3,0.0,0.0
1620.0,34.4,69.8,0.0,0.0
1650.0,35.4,71.2,0.0,0.0
1680.0,36.6,72.8,0.0,0.0
1710.0,37.3,74.7,0.0,0.0
1740.0,37.9,76.3,0.0,0.0
1770.0,38.3,78.5,0.0,0.0
1800.0,38.6,80.7,0.0,0.0
1830.0,39.5,82.2,0.0,0.0
1860.0,40.4,83.9,0.0,0.0
1890.0,40.4,86.3,0.0,0.0
1920.0,40.3,88.8,0.0,0.0
1950.0,41.9,90.1,0.0,0.0
1980.0,43.2,91.8,0.0,0.0
2010.0,44.3,93.6,0.0,0.0
2040.0,44.8,95.7,0.0,0.0
2070.0,46.6,97.1,0.0,0.0
2100.0,48.3,98.6,0.0,0.0
2130.0,49.3,100.9,0.0,0.0
2160.0,50.5,102.8,0.0,0.0
2190.0,52.1,104.8,0.0,0.0
2220.0,52.8,107.4,0.0,0.0
2250.0,54.1,109.6,0.0,0.0
2280.0,55.0,112.1,0.0,0.0
2310.0,55.3,115.0,0.0,0.0
2340.0,58.1,116.4,0.0,0.0
2370.0,59.6,118.6,0.0,0.0
2400.0,60.7,121.6,0.0,0.0
2430.0,61.6,124.4,0.0,0.0
2460.0,62.6,127.3,0.0,0.0
2490.0,64.9,129.7,0.0,0.0
2520.0,65.4,133.1,0.0,0.0
2550.0,66.5,136.1,0.0,0.0
2580.0,67.8,138.9,0.0,0.0
2610.0,67.8,142.8,0.0,0.0
2640.0,70.2,145.0,0.0,0.0
2670.0,72.3,147.7,0.0,0.0
2700.0,74.3,150.6,0.0,0.0
2730.0,76.0,153.9,0.0,0.0
2760.0,79.0,156.4,0.0,0.0
2790.0,80.7,160.3,0.0,0.0
2820.0,82.7,163.7,0.0,0.0
2850.0,84.1,167.7,0.0,0.0
2880.0,86.1,171.6,0.0,0.0
2910.0,88.6,175.2,0.0,0.0
2940.0,90.5,179.0,0.0,0.0
2970.0,93.0,182.4,0.0,0.0
3000.0,93.7,187.1,0.0,0.0
3030.0,95.2,191.5,0.0,0.0
3060.0,98.6,195.2,0.0,0.0
3090.0,100.2,200.1,0.0,0.0
3120.0,101.5,204.8,0.0,0.0
3150.0,103.9,209.5,0.0,0.0
3180.0,106.1,214.0,0.0,0.0
3210.0,109.7,217.7,0.0,0.0
3240.0,111.1,223.3,0.0,0.0
3270.0,112.6,228.7,0.0,0.0
3300.0,114.2,233.8,0.0,0.0
3330.0,118.1,237.9,0.0,0.0
3360.0,120.5,243.2,0.0,0.0
3390.0,124.1,247.9,0.0,0.0
3420.0,124.1,255.2,0.0,0.0
3450.0,126.7,260.8,0.0,0.0
3480.0,130.7,265.6,0.0,0.0
3510.0,134.6,270.9,0.0,0.0
3540.0,137.4,276.8,0.0,0.0
3570.0,138.8,283.9,0.0,0.0
3600.0,142.6,290.2,0.0,0.0
