times, G0G1_phase_mean, S_phase_mean, G2M_phase_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0,0.0
30.0,33.6,3.2,0.2,0.0,0.0
60.0,29.6,7.1,0.3,0.0,0.0
90.0,27.1,9.2,0.7,0.0,0.0
120.0,24.4,10.8,1.8,0.0,0.0
150.0,22.1,12.9,2.2,0.0,0.0
180.0,19.6,14.6,3.1,0.0,0.0
210.0,18.3,15.3,4.1,0.0,0.0
240.0,16.6,16.6,4.7,0.0,0.0
270.0,15.5,17.1,5.6,0.0,0.0
300.0,15.1,18.0,5.8,0.0,0.0
330.0,15.0,18.8,5.8,0.0,0.0
360.0,14.7,19.1,6.1,0.0,0.0
390.0,15.2,19.1,6.4,0.0,0.0
420.0,15.3,18.6,7.3,0.0,0.0
450.0,15.3,19.0,7.8,0.0,0.0
480.0,14.9,19.0,8.8,0.0,0.0
510.0,14.9,19.1,9.4,0.0,0.0
540.0,15.5,19.7,9.2,0.0,0.0
570.0,16.5,20.5,8.8,0.0,0.0
600.0,16.6,21.1,9.0,0.0,0.0
630.0,16.8,21.5,9.3,0.0,0.0
660.0,16.1,22.2,9.9,0.0,0.0
690.0,16.1,22.0,10.8,0.0,0.0
720.0,16.6,21.8,11.5,0.0,0.0
750.0,19.1,21.4,11.2,0.0,0.0
780.0,18.5,22.6,11.6,0.0,0.0
810.0,19.6,22.2,12.2,0.0,0.0
840.0,20.7,22.5,12.3,0.0,0.0
870.0,21.0,23.2,12.5,0.0,0.0
900.0,20.9,23.6,12.9,0.0,0.0
930.0,21.7,24.2,13.1,0.0,0.0
960.0,22.1,24.7,13.6,0.0,0.0
990.0,22.9,26.3,12.9,0.0,0.0
1020.0,22.7,26.4,14.1,0.0,0.0
1050.0,23.5,26.7,14.4,0.0,0.0
1080.0,24.4,27.1,14.6,0.0,0.0
1110.0,24.7,28.6,14.5,0.0,0.0
1140.0,25.3,28.0,15.7,0.0,0.0
1170.0,25.4,29.2,15.6,0.0,0.0
1200.0,25.5,30.3,15.8,0.0,0.0
1230.0,27.8,30.5,15.5,0.0,0.0
1260.0,28.9,31.1,15.2,0.0,0.0
1290.0,29.2,31.9,15.7,0.0,0.0
1320.0,31.2,31.9,15.7,0.0,0.0
1350.0,31.1,33.0,16.0,0.0,0.0
1380.0,31.6,33.0,17.2,0.0,0.0
1410.0,31.9,34.8,16.8,0.0,0.0
1440.0,32.7,36.2,16.6,0.0,0.0
1470.0,31.6,36.6,18.3,0.0,0.0
1500.0,30.9,37.2,19.6,0.0,0.0
1530.0,33.4,38.3,18.8,0.0,0.0
1560.0,33.9,38.7,19.9,0.0,0.0
1590.0,32.7,39.8,21.5,0.0,0.0
1620.0,32.7,41.1,21.7,0.0,0.0
1650.0,33.9,41.3,22.0,0.0,0.0
1680.0,34.2,43.2,21.8,0.0,0.0
1710.0,34.5,44.1,22.8,0.0,0.0
1740.0,34.3,46.1,23.3,0.0,0.0
1770.0,37.1,46.7,23.0,0.0,0.0
1800.0,38.4,46.9,24.1,0.0,0.0
1830.0,37.7,48.6,25.2,0.0,0.0
1860.0,40.1,47.9,26.1,0.0,0.0
1890.0,42.5,48.0,26.5,0.0,0.0
1920.0,43.2,49.5,26.8,0.0,0.0
1950.0,42.1,51.1,28.2,0.0,0.0
1980.0,45.0,51.4,28.5,0.0,0.0
2010.0,47.1,53.5,27.9,0.0,0.0
2040.0,47.5,54.7,28.8,0.0,0.0
2070.0,48.9,56.5,28.8,0.0,0.0
2100.0,50.4,58.5,28.6,0.0,0.0
2130.0,52.1,59.8,29.1,0.0,0.0
2160.0,53.5,59.5,30.8,0.0,0.0
2190.0,55.4,60.6,31.3,0.0,0.0
2220.0,57.0,60.6,32.8,0.0,0.0
2250.0,59.0,61.4,33.5,0.0,0.0
2280.0,60.2,62.4,34.3,0.0,0.0
2310.0,63.9,63.9,33.5,0.0,0.0
2340.0,65.9,65.7,33.5,0.0,0.0
2370.0,68.4,67.3,33.4,0.0,0.0
2400.0,68.7,70.1,34.1,0.0,0.0
2430.0,69.5,72.6,34.8,0.0,0.0
2460.0,68.0,75.3,36.6,0.0,0.0
2490.0,68.2,78.6,36.4,0.0,0.0
2520.0,70.0,79.5,37.9,0.0,0.0
2550.0,70.3,81.7,39.2,0.0,0.0
2580.0,72.6,81.4,41.6,0.0,0.0
2610.0,73.3,85.9,40.9,0.0,0.0
2640.0,74.8,87.8,41.6,0.0,0.0
2670.0,74.7,89.9,43.0,0.0,0.0
2700.0,76.8,92.6,43.5,0.0,0.0
2730.0,76.8,93.6,45.7,0.0,0.0
2760.0,77.4,95.3,47.7,0.0,0.0
2790.0,79.5,98.0,48.4,0.0,0.0
2820.0,81.3,100.8,49.4,0.0,0.0
2850.0,82.4,103.5,50.4,0.0,0.0
2880.0,85.1,106.3,50.0,0.0,0.0
2910.0,86.3,107.7,51.4,0.0,0.0
2940.0,90.8,109.6,51.2,0.0,0.0
2970.0,92.0,111.8,52.8,0.0,0.0
3000.0,91.7,114.4,55.4,0.0,0.0
3030.0,90.5,117.0,58.0,0.0,0.0
3060.0,91.6,118.2,60.5,0.0,0.0
3090.0,93.8,120.7,61.7,0.0,0.0
3120.0,98.6,121.7,62.1,0.0,0.0
3150.0,99.3,126.1,63.0,0.0,0.0
3180.0,102.6,127.3,64.9,0.0,0.0
3210.0,104.6,128.9,68.0,0.0,0.0
3240.0,109.7,132.0,68.8,0.0,0.0
3270.0,109.6,134.5,71.4,0.0,0.0
3300.0,110.4,138.5,72.6,0.0,0.0
3330.0,115.1,140.7,73.2,0.0,0.0
3360.0,114.9,143.8,76.2,0.0,0.0
3390.0,115.5,148.2,78.3,0.0,0.0
3420.0,115.3,150.7,82.2,0.0,0.0
3450.0,121.3,152.0,83.3,0.0,0.0
3480.0,124.5,154.6,85.6,0.0,0.0
3510.0,127.7,158.3,87.0,0.0,0.0
3540.0,137.4,160.8,85.3,0.0,0.0
3570.0,139.1,166.6,86.4,0.0,0.0
3600.0,145.4,170.5,85.8,0.0,0.0
