times, Ki67_negative_mean, Ki67_positive_premitotic_mean, Ki67_positive_postmitotic_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0,0.0
30.0,30.7,6.2,0.2,0.0,0.0
60.0,26.0,10.8,0.6,0.0,0.0
90.0,22.7,13.4,2.1,0.0,0.0
120.0,19.8,15.7,3.8,0.0,0.0
150.0,17.4,18.6,3.5,0.0,0.0
180.0,15.6,20.5,4.1,0.0,0.0
210.0,15.0,21.3,4.5,0.0,0.0
240.0,13.6,23.4,4.7,0.0,0.0
270.0,13.4,23.9,5.0,0.0,0.0
300.0,12.8,24.7,5.7,0.0,0.0
330.0,12.4,25.5,6.1,0.0,0.0
360.0,12.7,25.9,6.4,0.0,0.0
390.0,12.4,26.7,6.6,0.0,0.0
420.0,12.1,27.0,8.1,0.0,0.0
450.0,11.8,27.8,8.7,0.0,0.0
480.0,13.0,27.4,9.3,0.0,0.0
510.0,13.8,28.3,8.7,0.0,0.0
540.0,13.7,28.7,9.5,0.0,0.0
570.0,14.5,29.7,8.6,0.0,0.0
600.0,14.5,30.7,8.5,0.0,0.0
630.0,15.4,31.4,8.0,0.0,0.0
660.0,15.0,32.6,8.0,0.0,0.0
690.0,14.1,33.4,9.7,0.0,0.0
720.0,13.7,34.6,9.9,0.0,0.0
750.0,13.7,35.8,9.8,0.0,0.0
780.0,13.1,36.8,10.5,0.0,0.0
810.0,13.6,37.4,10.3,0.0,0.0
840.0,13.8,37.5,11.9,0.0,0.0
870.0,13.6,38.9,12.1,0.0,0.0
900.0,14.8,39.4,11.7,0.0,0.0
930.0,15.0,39.9,12.5,0.0,0.0
960.0,16.1,40.0,12.9,0.0,0.0
990.0,16.2,40.8,13.9,0.0,0.0
1020.0,16.7,40.6,15.6,0.0,0.0
1050.0,16.5,41.9,16.1,0.0,0.0
1080.0,17.5,42.4,15.8,0.0,0.0
1110.0,18.7,42.9,15.8,0.0,0.0
1140.0,18.8,44.7,15.3,0.0,0.0
1170.0,18.5,45.7,16.3,0.0,0.0
1200.0,20.8,46.1,15.7,0.0,0.0
1230.0,21.4,47.0,16.0,0.0,0.0
1260.0,21.9,47.7,17.5,0.0,0.0
1290.0,23.0,49.0,17.2,0.0,0.0
1320.0,21.7,51.4,17.7,0.0,0.0
1350.0,21.7,52.9,18.1,0.0,0.0
1380.0,22.5,53.7,18.1,0.0,0.0
1410.0,23.8,53.8,19.1,0.0,0.0
1440.0,23.5,55.5,19.6,0.0,0.0
1470.0,24.5,56.9,18.9,0.0,0.0
1500.0,25.3,57.1,21.2,0.0,0.0
1530.0,26.9,58.3,20.7,0.0,0.0
1560.0,27.5,59.8,20.8,0.0,0.0
1590.0,27.5,61.4,21.7,0.0,0.0
1620.0,27.3,64.3,20.6,0.0,0.0
1650.0,27.4,67.2,19.3,0.0,0.0
1680.0,28.1,67.4,21.0,0.0,0.0
1710.0,28.7,68.4,22.4,0.0,0.0
1740.0,28.8,70.5,22.1,0.0,0.0
1770.0,29.7,73.4,19.8,0.0,0.0
1800.0,29.3,74.7,21.8,0.0,0.0
1830.0,30.1,75.9,22.6,0.0,0.0
1860.0,30.5,77.4,23.5,0.0,0.0
1890.0,31.4,78.7,23.6,0.0,0.0
1920.0,32.7,79.8,23.4,0.0,0.0
1950.0,32.1,82.8,23.1,0.0,0.0
1980.0,31.7,85.3,23.4,0.0,0.0
2010.0,33.7,85.9,23.5,0.0,0.0
2040.0,31.8,89.3,25.0,0.0,0.0
2070.0,31.8,90.8,26.8,0.0,0.0
2100.0,32.4,92.1,28.6,0.0,0.0
2130.0,33.9,92.3,30.9,0.0,0.0
2160.0,34.0,93.7,32.9,0.0,0.0
2190.0,36.7,93.1,35.4,0.0,0.0
2220.0,38.3,94.8,36.1,0.0,0.0
2250.0,40.0,97.3,35.3,0.0,0.0
2280.0,39.2,99.8,37.3,0.0,0.0
2310.0,40.9,101.4,38.7,0.0,0.0
2340.0,41.7,103.7,39.2,0.0,0.0
2370.0,43.8,106.6,37.9,0.0,0.0
2400.0,46.0,108.3,37.8,0.0,0.0
2430.0,49.3,108.9,38.2,0.0,0.0
2460.0,51.0,112.6,36.7,0.0,0.0
2490.0,51.4,116.3,36.6,0.0,0.0
2520.0,50.4,118.8,39.9,0.0,0.0
2550.0,51.5,122.6,37.9,0.0,0.0
2580.0,51.6,122.7,43.9,0.0,0.0
2610.0,54.7,124.3,44.5,0.0,0.0
2640.0,57.0,125.8,45.6,0.0,0.0
2670.0,59.7,128.6,44.0,0.0,0.0
2700.0,58.9,134.2,42.8,0.0,0.0
2730.0,60.2,136.1,45.6,0.0,0.0
2760.0,62.2,138.3,47.9,0.0,0.0
2790.0,64.7,140.2,49.2,0.0,0.0
2820.0,64.7,145.4,49.1,0.0,0.0
2850.0,65.8,147.0,52.0,0.0,0.0
