times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0,0.0,0.0
30.0,33.5,3.3,0.2,0.0,0.0,0.0
60.0,29.3,7.3,0.4,0.0,0.0,0.0
90.0,26.4,9.8,0.7,0.1,0.0,0.0
120.0,23.5,11.6,1.8,0.1,0.0,0.0
150.0,21.0,13.9,2.1,0.2,0.0,0.0
180.0,18.5,15.2,3.2,0.3,0.0,0.0
210.0,17.2,14.7,4.6,0.7,0.0,0.0
240.0,16.5,15.9,4.8,0.5,0.0,0.0
270.0,15.4,16.7,5.1,0.7,0.0,0.0
300.0,14.4,17.2,5.2,1.4,0.0,0.0
330.0,14.7,17.0,5.8,1.3,0.0,0.0
360.0,13.4,18.0,6.5,1.2,0.0,0.0
390.0,13.1,18.4,6.5,1.7,0.0,0.0
420.0,14.0,17.1,7.9,1.6,0.0,0.0
450.0,15.5,16.7,8.2,1.4,0.0,0.0
480.0,14.9,17.6,7.9,2.1,0.0,0.0
510.0,15.6,17.2,8.8,1.9,0.0,0.0
540.0,15.1,18.0,8.0,2.8,0.0,0.0
570.0,16.2,18.3,8.5,2.2,0.0,0.0
600.0,16.7,18.6,8.4,2.5,0.0,0.0
630.0,16.2,19.9,8.5,2.5,0.0,0.0
660.0,17.2,20.5,8.3,2.5,0.0,0.0
690.0,18.0,20.6,8.8,2.3,0.0,0.0
720.0,17.9,20.8,9.5,2.4,0.0,0.0
750.0,17.9,21.7,10.0,2.0,0.0,0.0
780.0,18.6,22.2,9.7,2.3,0.0,0.0
810.0,18.6,23.8,9.7,2.2,0.0,0.0
840.0,18.4,24.1,9.9,2.6,0.0,0.0
870.0,19.3,25.3,9.3,2.7,0.0,0.0
900.0,20.7,25.7,9.8,2.0,0.0,0.0
930.0,20.1,25.9,11.1,1.8,0.0,0.0
960.0,19.5,26.3,11.8,2.0,0.0,0.0
990.0,20.1,26.2,12.4,2.0,0.0,0.0
1020.0,20.7,26.6,12.1,2.7,0.0,0.0
1050.0,21.5,27.1,12.3,2.7,0.0,0.0
1080.0,22.6,27.3,11.5,3.5,0.0,0.0
1110.0,23.9,27.3,12.4,3.1,0.0,0.0
1140.0,25.2,27.1,13.2,2.8,0.0,0.0
1170.0,26.9,27.1,12.9,3.0,0.0,0.0
1200.0,27.3,28.7,12.3,3.3,0.0,0.0
1230.0,28.3,30.1,11.8,3.2,0.0,0.0
1260.0,28.7,30.8,12.6,3.1,0.0,0.0
1290.0,27.1,33.7,13.6,2.5,0.0,0.0
1320.0,27.4,34.1,13.2,3.5,0.0,0.0
1350.0,28.7,34.5,14.2,2.7,0.0,0.0
1380.0,27.3,37.3,13.6,3.3,0.0,0.0
1410.0,28.6,37.3,14.1,3.2,0.0,0.0
1440.0,29.0,38.6,13.0,4.4,0.0,0.0
1470.0,30.3,39.3,14.0,3.6,0.0,0.0
1500.0,30.6,39.7,14.4,4.2,0.0,0.0
1530.0,33.0,39.7,14.3,4.3,0.0,0.0
1560.0,33.9,41.1,14.9,3.7,0.0,0.0
1590.0,34.3,42.0,15.6,3.7,0.0,0.0
1620.0,35.1,42.0,17.1,3.4,0.0,0.0
1650.0,34.9,43.8,17.2,3.7,0.0,0.0
1680.0,33.3,45.3,18.0,4.2,0.0,0.0
1710.0,35.3,44.4,18.6,4.6,0.0,0.0
1740.0,34.9,46.4,19.5,4.0,0.0,0.0
1770.0,35.3,46.9,20.4,4.0,0.0,0.0
1800.0,37.6,46.9,21.3,3.3,0.0,0.0
1830.0,37.5,47.1,21.9,4.3,0.0,0.0
1860.0,38.4,47.3,22.5,4.7,0.0,0.0
1890.0,39.6,47.6,23.6,4.8,0.0,0.0
1920.0,41.3,49.0,23.8,4.4,0.0,0.0
1950.0,40.1,50.9,24.0,5.4,0.0,0.0
1980.0,42.2,52.5,24.1,4.9,0.0,0.0
2010.0,44.6,52.5,23.9,5.4,0.0,0.0
2040.0,44.2,54.8,23.4,6.4,0.0,0.0
2070.0,46.1,54.8,25.2,5.6,0.0,0.0
2100.0,45.2,56.4,25.1,7.1,0.0,0.0
2130.0,44.9,57.8,26.2,7.4,0.0,0.0
2160.0,44.5,60.5,26.3,7.7,0.0,0.0
2190.0,47.5,62.2,25.6,7.5,0.0,0.0
2220.0,48.7,62.0,28.3,6.9,0.0,0.0
2250.0,47.5,64.1,28.3,8.2,0.0,0.0
2280.0,49.1,64.6,28.6,9.1,0.0,0.0
2310.0,52.7,64.9,29.8,8.8,0.0,0.0
2340.0,57.1,67.3,29.0,8.0,0.0,0.0
2370.0,58.5,68.6,31.4,6.7,0.0,0.0
2400.0,61.6,70.6,31.3,6.2,0.0,0.0
2430.0,63.0,70.6,31.9,7.5,0.0,0.0
2460.0,64.9,73.5,32.0,6.8,0.0,0.0
2490.0,63.7,76.7,32.1,7.7,0.0,0.0
2520.0,66.9,77.9,33.5,6.7,0.0,0.0
2550.0,66.5,80.0,34.1,7.7,0.0,0.0
2580.0,69.0,82.1,34.4,7.9,0.0,0.0
2610.0,71.6,83.2,34.7,7.9,0.0,0.0
2640.0,70.6,85.1,36.6,8.3,0.0,0.0
2670.0,73.1,86.2,38.1,7.9,0.0,0.0
2700.0,71.4,87.9,39.6,9.4,0.0,0.0
2730.0,73.9,89.3,41.5,8.7,0.0,0.0
2760.0,77.2,89.9,42.4,8.8,0.0,0.0
2790.0,78.7,90.2,43.6,10.1,0.0,0.0
2820.0,80.6,92.9,43.4,10.8,0.0,0.0
2850.0,82.8,93.8,44.0,11.8,0.0,0.0
2880.0,87.3,95.5,44.3,11.3,0.0,0.0
2910.0,87.7,99.8,45.2,11.3,0.0,0.0
2940.0,90.9,102.7,43.9,12.2,0.0,0.0
2970.0,92.0,105.4,45.2,12.5,0.0,0.0
3000.0,95.9,109.0,46.0,10.9,0.0,0.0
3030.0,95.7,112.5,47.0,11.7,0.0,0.0
3060.0,98.5,114.2,48.8,11.2,0.0,0.0
3090.0,99.7,117.0,48.1,13.0,0.0,0.0
3120.0,103.2,119.9,50.4,11.4,0.0,0.0
3150.0,103.8,122.5,54.0,10.6,0.0,0.0
3180.0,103.6,124.0,56.7,11.5,0.0,0.0
3210.0,104.5,125.9,57.6,13.3,0.0,0.0
3240.0,107.2,128.5,58.6,13.4,0.0,0.0
3270.0,108.2,130.9,60.9,13.7,0.0,0.0
3300.0,110.7,135.4,60.1,14.8,0.0,0.0
