times, G0G1_phase_mean, S_phase_mean, G2M_phase_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0,0.0
30.0,33.5,3.4,0.1,0.0,0.0
60.0,29.8,7.1,0.1,0.0,0.0
90.0,27.2,9.2,0.6,0.0,0.0
120.0,24.8,10.9,1.3,0.0,0.0
150.0,22.7,12.6,1.8,0.0,0.0
180.0,21.3,13.3,2.6,0.0,0.0
210.0,19.2,14.4,3.6,0.0,0.0
240.0,18.4,15.2,3.9,0.0,0.0
270.0,16.8,16.1,4.8,0.0,0.0
300.0,16.1,16.7,5.2,0.0,0.0
330.0,15.2,16.9,6.2,0.0,0.0
360.0,14.7,17.7,6.5,0.0,0.0
390.0,14.7,17.5,7.3,0.0,0.0
420.0,14.4,18.4,7.4,0.0,0.0
450.0,14.7,18.2,8.1,0.0,0.0
480.0,15.9,18.0,8.2,0.0,0.0
510.0,15.9,18.3,8.5,0.0,0.0
540.0,16.1,19.2,8.3,0.0,0.0
570.0,16.3,20.2,8.2,0.0,0.0
600.0,16.7,20.2,8.7,0.0,0.0
630.0,17.3,20.4,8.9,0.0,0.0
660.0,18.1,21.0,8.8,0.0,0.0
690.0,17.8,21.7,8.9,0.0,0.0
720.0,17.9,21.8,9.8,0.0,0.0
750.0,18.0,23.0,9.5,0.0,0.0
780.0,17.1,24.2,10.0,0.0,0.0
810.0,17.2,24.8,10.4,0.0,0.0
840.0,17.8,25.2,10.5,0.0,0.0
870.0,18.9,25.9,10.3,0.0,0.0
900.0,18.3,25.8,11.6,0.0,0.0
930.0,19.5,25.7,11.9,0.0,0.0
960.0,20.9,25.9,11.9,0.0,0.0
990.0,20.4,26.2,12.5,0.0,0.0
1020.0,20.4,26.8,13.1,0.0,0.0
1050.0,22.1,27.8,12.4,0.0,0.0
1080.0,22.4,27.6,13.1,0.0,0.0
1110.0,22.8,29.4,12.5,0.0,0.0
1140.0,22.7,30.3,12.9,0.0,0.0
1170.0,21.6,30.5,14.3,0.0,0.0
1200.0,23.1,30.6,14.2,0.0,0.0
1230.0,22.8,30.6,15.3,0.0,0.0
1260.0,24.0,30.7,15.6,0.0,0.0
1290.0,24.8,31.4,15.7,0.0,0.0
1320.0,24.8,31.9,16.3,0.0,0.0
1350.0,26.4,32.7,16.1,0.0,0.0
1380.0,27.2,33.1,16.6,0.0,0.0
1410.0,27.0,34.4,16.8,0.0,0.0
1440.0,28.2,34.7,16.9,0.0,0.0
1470.0,28.2,37.4,16.4,0.0,0.0
1500.0,29.0,37.6,17.0,0.0,0.0
1530.0,30.8,37.5,17.2,0.0,0.0
1560.0,31.9,38.1,17.7,0.0,0.0
1590.0,32.6,38.6,18.3,0.0,0.0
1620.0,34.9,38.2,18.8,0.0,0.0
1650.0,35.1,39.4,19.0,0.0,0.0
1680.0,35.4,40.6,19.7,0.0,0.0
1710.0,33.6,41.5,21.8,0.0,0.0
1740.0,34.1,41.8,22.7,0.0,0.0
1770.0,36.3,42.7,22.9,0.0,0.0
1800.0,38.5,43.0,22.8,0.0,0.0
1830.0,39.6,43.5,23.2,0.0,0.0
1860.0,41.4,43.4,23.9,0.0,0.0
1890.0,41.1,44.9,24.3,0.0,0.0
1920.0,41.1,46.9,24.4,0.0,0.0
1950.0,42.4,47.1,25.4,0.0,0.0
1980.0,44.5,48.7,25.1,0.0,0.0
2010.0,46.4,47.9,26.3,0.0,0.0
2040.0,45.4,49.7,27.6,0.0,0.0
2070.0,46.3,51.9,27.3,0.0,0.0
2100.0,46.7,53.6,27.6,0.0,0.0
2130.0,48.1,55.3,27.6,0.0,0.0
2160.0,49.7,56.2,28.2,0.0,0.0
2190.0,49.3,57.8,29.3,0.0,0.0
2220.0,51.3,59.5,29.0,0.0,0.0
2250.0,53.5,60.1,29.3,0.0,0.0
2280.0,53.7,63.1,29.2,0.0,0.0
2310.0,53.8,64.0,30.6,0.0,0.0
2340.0,54.6,65.5,31.7,0.0,0.0
2370.0,56.8,65.8,32.8,0.0,0.0
2400.0,57.1,67.9,33.8,0.0,0.0
2430.0,58.3,68.2,35.1,0.0,0.0
2460.0,59.5,68.7,36.8,0.0,0.0
2490.0,61.8,70.3,37.0,0.0,0.0
2520.0,61.2,72.7,38.1,0.0,0.0
2550.0,63.2,73.5,38.8,0.0,0.0
2580.0,64.0,75.5,39.7,0.0,0.0
2610.0,66.0,76.7,40.5,0.0,0.0
2640.0,67.6,79.3,40.2,0.0,0.0
2670.0,68.4,80.4,42.2,0.0,0.0
2700.0,69.0,82.8,43.3,0.0,0.0
2730.0,68.9,85.1,44.9,0.0,0.0
2760.0,72.6,86.4,44.5,0.0,0.0
2790.0,75.2,88.0,45.0,0.0,0.0
2820.0,76.3,89.4,46.4,0.0,0.0
2850.0,76.4,92.7,47.2,0.0,0.0
2880.0,79.5,93.0,48.7,0.0,0.0
2910.0,83.0,92.8,50.4,0.0,0.0
2940.0,85.1,94.9,51.4,0.0,0.0
2970.0,85.3,97.7,53.2,0.0,0.0
3000.0,87.7,99.4,54.0,0.0,0.0
3030.0,87.7,101.9,56.2,0.0,0.0
3060.0,90.1,104.0,57.4,0.0,0.0
3090.0,90.9,106.0,58.3,0.0,0.0
3120.0,94.1,107.5,59.0,0.0,0.0
3150.0,97.5,110.2,59.1,0.0,0.0
3180.0,97.2,114.5,60.5,0.0,0.0
3210.0,100.3,116.6,61.5,0.0,0.0
3240.0,101.1,121.3,62.1,0.0,0.0
3270.0,104.2,124.0,63.0,0.0,0.0
3300.0,107.8,125.9,64.5,0.0,0.0
3330.0,110.8,130.9,64.1,0.0,0.0
3360.0,110.0,135.7,65.5,0.0,0.0
3390.0,114.1,136.3,67.9,0.0,0.0
3420.0,118.1,137.5,69.8,0.0,0.0
3450.0,123.5,137.1,72.2,0.0,0.0
3480.0,126.8,141.7,72.2,0.0,0.0
3510.0,129.9,145.3,73.6,0.0,0.0
3540.0,132.2,148.7,75.4,0.0,0.0
3570.0,134.2,151.7,78.5,0.0,0.0
3600.0,135.9,155.8,80.7,0.0,0.0
