times, Ki67_negative_mean, Ki67_positive_premitotic_mean, Ki67_positive_postmitotic_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0,0.0
30.0,32.2,4.7,0.3,0.0,0.0
60.0,28.3,8.8,0.2,0.0,0.0
90.0,24.3,12.6,0.8,0.0,0.0
120.0,22.0,14.6,1.5,0.0,0.0
150.0,19.5,16.8,2.5,0.0,0.0
180.0,17.8,17.8,4.2,0.0,0.0
210.0,15.9,19.1,6.0,0.0,0.0
240.0,14.6,21.6,4.9,0.0,0.0
270.0,12.9,23.4,5.3,0.0,0.0
300.0,13.1,23.7,5.8,0.0,0.0
330.0,12.3,25.2,5.6,0.0,0.0
360.0,11.4,26.1,6.7,0.0,0.0
390.0,11.0,26.4,7.3,0.0,0.0
420.0,11.2,26.0,8.9,0.0,0.0
450.0,10.7,27.0,9.6,0.0,0.0
480.0,11.7,26.9,9.9,0.0,0.0
510.0,12.2,27.9,9.5,0.0,0.0
540.0,12.2,28.6,9.9,0.0,0.0
570.0,12.9,28.9,10.3,0.0,0.0
600.0,13.4,29.8,9.7,0.0,0.0
630.0,13.3,30.0,11.1,0.0,0.0
660.0,13.0,31.0,12.0,0.0,0.0
690.0,13.7,31.2,12.7,0.0,0.0
720.0,13.6,31.9,13.2,0.0,0.0
750.0,14.7,33.0,11.7,0.0,0.0
780.0,14.6,33.5,12.9,0.0,0.0
810.0,15.0,34.0,13.8,0.0,0.0
840.0,16.7,33.6,14.4,0.0,0.0
870.0,17.7,34.2,14.0,0.0,0.0
900.0,18.8,34.9,13.7,0.0,0.0
930.0,19.7,35.3,13.7,0.0,0.0
960.0,19.2,36.8,13.8,0.0,0.0
990.0,20.1,37.9,12.9,0.0,0.0
1020.0,19.7,38.9,13.9,0.0,0.0
1050.0,18.8,41.3,13.3,0.0,0.0
1080.0,18.6,43.4,12.7,0.0,0.0
1110.0,17.5,45.0,13.9,0.0,0.0
1140.0,16.5,46.6,14.8,0.0,0.0
1170.0,16.8,46.8,16.3,0.0,0.0
1200.0,16.8,47.2,17.6,0.0,0.0
1230.0,18.2,47.7,17.6,0.0,0.0
1260.0,20.1,47.2,18.6,0.0,0.0
1290.0,21.3,48.4,17.9,0.0,0.0
1320.0,21.1,50.0,18.1,0.0,0.0
1350.0,22.0,50.6,18.6,0.0,0.0
1380.0,22.3,51.5,19.3,0.0,0.0
