times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0,0.0,0.0
30.0,33.4,3.5,0.1,0.0,0.0,0.0
60.0,29.6,7.3,0.1,0.0,0.0,0.0
90.0,26.9,9.5,0.6,0.0,0.0,0.0
120.0,24.3,11.4,1.3,0.0,0.0,0.0
150.0,22.3,12.9,1.8,0.1,0.0,0.0
180.0,20.8,13.8,2.4,0.2,0.0,0.0
210.0,18.7,14.9,3.4,0.3,0.0,0.0
240.0,17.0,15.7,3.9,0.8,0.0,0.0
270.0,15.8,16.7,4.4,0.9,0.0,0.0
300.0,16.0,16.7,5.0,0.7,0.0,0.0
330.0,14.9,17.3,5.9,0.6,0.0,0.0
360.0,13.7,18.1,6.2,1.1,0.0,0.0
390.0,12.7,18.7,6.5,1.6,0.0,0.0
420.0,13.6,18.8,7.1,1.1,0.0,0.0
450.0,14.5,18.4,8.0,0.7,0.0,0.0
480.0,15.3,18.5,7.3,1.4,0.0,0.0
510.0,14.1,19.3,7.6,2.1,0.0,0.0
540.0,15.7,20.5,7.3,1.3,0.0,0.0
570.0,15.5,20.6,7.9,1.5,0.0,0.0
600.0,15.9,20.1,8.7,1.7,0.0,0.0
630.0,16.7,19.9,9.1,1.7,0.0,0.0
660.0,15.5,21.1,9.5,1.8,0.0,0.0
690.0,15.9,20.2,9.9,2.6,0.0,0.0
720.0,17.3,20.8,9.1,2.8,0.0,0.0
750.0,18.5,21.1,9.4,2.3,0.0,0.0
780.0,17.5,22.4,9.9,2.3,0.0,0.0
810.0,19.0,22.7,9.7,2.1,0.0,0.0
840.0,18.3,24.0,9.9,2.2,0.0,0.0
870.0,18.8,24.7,9.5,2.6,0.0,0.0
900.0,19.8,24.7,10.5,2.0,0.0,0.0
930.0,19.5,26.1,10.0,2.4,0.0,0.0
960.0,20.2,26.8,10.6,1.9,0.0,0.0
990.0,21.1,26.1,12.2,1.4,0.0,0.0
1020.0,21.2,26.0,12.4,2.1,0.0,0.0
1050.0,21.9,26.4,12.3,2.6,0.0,0.0
1080.0,21.5,27.4,12.2,3.0,0.0,0.0
1110.0,20.6,28.2,12.5,3.7,0.0,0.0
1140.0,22.9,28.0,13.1,2.9,0.0,0.0
1170.0,23.2,29.0,13.0,3.1,0.0,0.0
1200.0,23.2,29.5,13.1,3.6,0.0,0.0
1230.0,23.4,31.3,13.1,3.2,0.0,0.0
1260.0,24.8,30.6,14.2,3.3,0.0,0.0
1290.0,25.7,31.0,15.3,2.7,0.0,0.0
1320.0,25.8,31.7,16.2,2.7,0.0,0.0
1350.0,26.2,31.9,16.6,3.1,0.0,0.0
1380.0,27.1,32.8,15.8,3.8,0.0,0.0
1410.0,28.6,33.5,15.7,3.9,0.0,0.0
1440.0,28.8,35.8,16.0,3.2,0.0,0.0
1470.0,28.6,37.3,16.4,3.1,0.0,0.0
1500.0,29.9,37.7,16.4,3.4,0.0,0.0
1530.0,30.1,39.2,16.2,3.7,0.0,0.0
1560.0,31.8,40.3,16.7,3.0,0.0,0.0
1590.0,31.4,41.8,16.2,3.9,0.0,0.0
