times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.01650252,0.00142851,0.01793102
60.00000000,0.03866574,0.00886611,0.04753184
90.00000000,0.05601228,0.02555110,0.08156338
120.00000000,0.07236440,0.04025339,0.11261779
150.00000000,0.08419451,0.04985171,0.11484958
180.00000000,0.09229906,0.05038725,0.12241858
210.00000000,0.10443883,0.07875129,0.13864286
240.00000000,0.11560704,0.09925611,0.14797947
270.00000000,0.13252870,0.11241093,0.15174633
300.00000000,0.16973022,0.13134181,0.17001698
330.00000000,0.19543309,0.13188518,0.19626321
360.00000000,0.21844442,0.13659303,0.21456670
390.00000000,0.22928156,0.15258966,0.24140048
420.00000000,0.23576471,0.17144431,0.26673828
450.00000000,0.25140965,0.19193521,0.30287411
480.00000000,0.27380968,0.20122565,0.33456458
510.00000000,0.27624236,0.21566913,0.35144075
540.00000000,0.27768443,0.23236129,0.36957499
570.00000000,0.28690724,0.25290474,0.38089563
600.00000000,0.30076978,0.25704033,0.39062259
630.00000000,0.31439565,0.25917607,0.40211272
660.00000000,0.34585446,0.27653742,0.41621017
690.00000000,0.35503191,0.28031940,0.42160564
720.00000000,0.35965223,0.28643217,0.42309809
750.00000000,0.36173901,0.29660673,0.43118588
780.00000000,0.38556340,0.31471765,0.43689936
810.00000000,0.40486062,0.32346983,0.44744441
840.00000000,0.41330737,0.32479201,0.45721334
870.00000000,0.41823687,0.34529057,0.48264140
900.00000000,0.43120810,0.37135905,0.49573865
930.00000000,0.44504738,0.39227589,0.50281621
960.00000000,0.45492713,0.41283048,0.51349105
990.00000000,0.46222819,0.42965892,0.52301843
1020.00000000,0.46259164,0.43198860,0.52498467
1050.00000000,0.46421390,0.43567827,0.52705207
1080.00000000,0.46635803,0.43642575,0.52994369
1110.00000000,0.47641994,0.45544887,0.53890490
1140.00000000,0.47810484,0.45887093,0.54401185
1170.00000000,0.47898519,0.46077426,0.54679553
1200.00000000,0.50147848,0.48216919,0.54789389
1230.00000000,0.52114044,0.50907475,0.55513749
1260.00000000,0.54244291,0.53776163,0.56252191
1290.00000000,0.55325622,0.56036238,0.57430934
1320.00000000,0.56585959,0.57434099,0.57568460
1350.00000000,0.57550467,0.58413137,0.59512007
1380.00000000,0.58064857,0.59509383,0.61122642
1410.00000000,0.58116302,0.61669465,0.63231279
1440.00000000,0.59540951,0.64744768,0.64881933
1470.00000000,0.61475031,0.68247957,0.66451043
1500.00000000,0.64031096,0.71037803,0.66684824
1530.00000000,0.65473901,0.73406598,0.67610813
1560.00000000,0.67865572,0.74967781,0.68441300
1590.00000000,0.69291415,0.75640268,0.69194656
1620.00000000,0.70330325,0.76624624,0.69249211
1650.00000000,0.71261630,0.77752517,0.69445799
1680.00000000,0.72934455,0.79543818,0.69564275
1710.00000000,0.75772224,0.82318190,0.69627670
1740.00000000,0.78663473,0.85474701,0.69892932
1770.00000000,0.81699320,0.88771448,0.70153832
1800.00000000,0.84570485,0.91938919,0.70450138
1830.00000000,0.87137610,0.95324921,0.71269015
1860.00000000,0.88780876,0.97609693,0.71910521
1890.00000000,0.91043667,0.99610932,0.72172073
1920.00000000,0.92863670,1.00810003,0.72793005
1950.00000000,0.94266157,1.01485195,0.73520300
1980.00000000,0.95183992,1.01876253,0.74047077
2010.00000000,0.95969387,1.02787908,0.74173336
2040.00000000,0.96692631,1.03389596,0.74294892
2070.00000000,0.98197348,1.04910444,0.74311024
2100.00000000,0.98746937,1.05666663,0.74517652
2130.00000000,0.99502050,1.05781268,0.75158159
2160.00000000,1.00881158,1.06971075,0.75347459
2190.00000000,1.01062077,1.07116748,0.75382706
2220.00000000,1.01909240,1.07973994,0.75392790
2250.00000000,1.02074571,1.08364193,0.75617657
2280.00000000,1.02216023,1.08757030,0.75869042
2310.00000000,1.02278951,1.08973961,0.76023045
2340.00000000,1.02718388,1.09060327,0.76548849
2370.00000000,1.03036799,1.09482213,0.76652323
2400.00000000,1.04433554,1.10350656,0.77180635
2430.00000000,1.05009228,1.10602729,0.77504237
2460.00000000,1.05451496,1.10850687,0.77698545
2490.00000000,1.06054642,1.11367039,0.77785339
2520.00000000,1.06184200,1.11557089,0.78104947
2550.00000000,1.06903039,1.11709435,0.78671439
2580.00000000,1.07904284,1.11728761,0.79692010
2610.00000000,1.08192046,1.12902205,0.80577692
2640.00000000,1.09317041,1.15005794,0.81556287
2670.00000000,1.10045515,1.16318027,0.82140047
2700.00000000,1.11725785,1.17857103,0.82281241
2730.00000000,1.13012411,1.18515341,0.82909630
2760.00000000,1.13929949,1.18889766,0.83452741
2790.00000000,1.14760286,1.19648401,0.83524444
2820.00000000,1.15081424,1.20203383,0.84400563
