times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00027718,0.00204587,0.00176869
60.00000000,0.00306991,0.00522099,0.00215107
90.00000000,0.01825129,0.01924629,0.00330715
120.00000000,0.02876459,0.02993396,0.00348153
150.00000000,0.03585040,0.03217504,0.00832626
180.00000000,0.04019058,0.03619225,0.01668365
210.00000000,0.04089249,0.04513098,0.02492047
240.00000000,0.04988039,0.05845198,0.02925357
270.00000000,0.06185641,0.07190874,0.03073431
300.00000000,0.07044886,0.08086368,0.03109680
330.00000000,0.07530481,0.08438214,0.03243428
360.00000000,0.08199563,0.08791060,0.03559665
390.00000000,0.08300389,0.08799527,0.03668957
420.00000000,0.09408927,0.09966271,0.03727162
450.00000000,0.09918932,0.10687979,0.03938866
480.00000000,0.10022886,0.10848147,0.03995079
510.00000000,0.10605079,0.11587391,0.04152131
540.00000000,0.11575551,0.12589335,0.04183601
570.00000000,0.12517137,0.13241144,0.04473377
600.00000000,0.13151705,0.13421035,0.04928053
630.00000000,0.13974407,0.13937628,0.06267348
660.00000000,0.14511959,0.14907657,0.07774929
690.00000000,0.14967272,0.15529403,0.08851989
720.00000000,0.15344821,0.16745280,0.10445415
750.00000000,0.16086170,0.18756825,0.11715611
780.00000000,0.17572597,0.20590329,0.12062687
810.00000000,0.18512624,0.22355881,0.12888212
840.00000000,0.19149641,0.24289268,0.14184582
870.00000000,0.19470092,0.25375218,0.14950081
900.00000000,0.19587235,0.26451246,0.15908967
930.00000000,0.20019287,0.27452022,0.16477691
960.00000000,0.20490485,0.27928168,0.16482640
990.00000000,0.21079385,0.28238331,0.16761378
1020.00000000,0.21553456,0.28774563,0.16823540
1050.00000000,0.21969692,0.29485348,0.17118089
1080.00000000,0.22785816,0.30111979,0.17307581
1110.00000000,0.24076319,0.31026075,0.17683986
1140.00000000,0.25686033,0.31821048,0.18498729
1170.00000000,0.26907726,0.32172327,0.19369142
1200.00000000,0.28143269,0.32246283,0.20678641
1230.00000000,0.29434683,0.32433089,0.22156861
1260.00000000,0.30569576,0.32577702,0.23147141
1290.00000000,0.31011999,0.32736208,0.23748070
1320.00000000,0.31504546,0.33455742,0.23975057
1350.00000000,0.32309032,0.33995775,0.24239510
1380.00000000,0.32637699,0.34048065,0.24515887
1410.00000000,0.32952096,0.34439391,0.24592816
1440.00000000,0.33047634,0.34740324,0.24798212
1470.00000000,0.33273552,0.35373625,0.25205594
1500.00000000,0.33447776,0.35559121,0.25565314
1530.00000000,0.33721349,0.35860387,0.25593007
1560.00000000,0.34025095,0.36632858,0.26061731
1590.00000000,0.34839736,0.38048898,0.26663133
1620.00000000,0.35479871,0.39294703,0.27268802
1650.00000000,0.35797790,0.40573626,0.28229806
1680.00000000,0.36697787,0.42036935,0.28793118
1710.00000000,0.37385957,0.43010585,0.29078597
1740.00000000,0.38258606,0.43942589,0.29137952
1770.00000000,0.38672315,0.44478617,0.29260271
1800.00000000,0.38928425,0.44573090,0.29421910
1830.00000000,0.39813366,0.44967245,0.29912694
1860.00000000,0.40215612,0.45269734,0.30012452
1890.00000000,0.40289263,0.45555526,0.30224593
1920.00000000,0.40357841,0.46028816,0.30629306
1950.00000000,0.40837638,0.46635543,0.30756236
1980.00000000,0.41238291,0.46731220,0.31061212
2010.00000000,0.41410586,0.46884886,0.31079840
2040.00000000,0.41647665,0.47073064,0.31128741
2070.00000000,0.42257524,0.47586758,0.31224906
2100.00000000,0.43110496,0.48365683,0.31298955
2130.00000000,0.43876585,0.49119424,0.31311302
2160.00000000,0.44324223,0.49540965,0.31337400
2190.00000000,0.44679271,0.49612415,0.31620998
2220.00000000,0.45129172,0.49714183,0.31969130
2250.00000000,0.45537493,0.49776777,0.32440045
2280.00000000,0.45739318,0.49791312,0.32627335
2310.00000000,0.46003561,0.50265999,0.32837778
