times, G0G1_phase_csse, S_phase_csse, G2M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00000004,0.00001136,0.00001279
60.00000000,0.00021983,0.00001823,0.00016173
90.00000000,0.00023893,0.00005007,0.00026198
120.00000000,0.00023893,0.00005515,0.00026720
150.00000000,0.00025160,0.00005527,0.00027753
180.00000000,0.00027225,0.00010703,0.00028456
210.00000000,0.00028151,0.00011202,0.00031240
240.00000000,0.00035669,0.00011522,0.00035976
270.00000000,0.00035686,0.00011624,0.00036177
300.00000000,0.00035935,0.00013837,0.00037154
330.00000000,0.00044122,0.00037394,0.00041123
360.00000000,0.00044292,0.00051919,0.00058957
390.00000000,0.00047096,0.00061955,0.00061188
420.00000000,0.00050725,0.00074052,0.00063662
450.00000000,0.00081425,0.00110180,0.00063883
480.00000000,0.00085392,0.00112598,0.00064073
510.00000000,0.00100600,0.00112874,0.00075462
540.00000000,0.00100723,0.00113135,0.00076205
570.00000000,0.00101218,0.00113542,0.00076209
600.00000000,0.00102772,0.00121435,0.00078650
630.00000000,0.00102974,0.00121435,0.00078863
660.00000000,0.00108130,0.00121437,0.00084211
690.00000000,0.00115873,0.00122914,0.00086667
720.00000000,0.00121121,0.00125662,0.00087068
750.00000000,0.00123347,0.00125716,0.00090042
780.00000000,0.00123649,0.00126200,0.00090064
810.00000000,0.00123733,0.00131203,0.00096451
840.00000000,0.00129019,0.00141359,0.00097238
870.00000000,0.00138757,0.00151288,0.00097239
900.00000000,0.00140190,0.00172400,0.00108784
930.00000000,0.00140773,0.00181862,0.00123525
960.00000000,0.00140873,0.00184856,0.00127713
990.00000000,0.00140953,0.00189481,0.00131199
1020.00000000,0.00148058,0.00191750,0.00132542
1050.00000000,0.00152467,0.00195217,0.00132599
1080.00000000,0.00156279,0.00195539,0.00134515
1110.00000000,0.00156310,0.00196337,0.00135658
1140.00000000,0.00156684,0.00196939,0.00135685
1170.00000000,0.00158542,0.00197220,0.00136378
