times, G0G1_phase_csse, S_phase_csse, G2M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00000831,0.00001110,0.00000020
60.00000000,0.00017626,0.00003506,0.00006524
90.00000000,0.00032332,0.00042199,0.00012214
120.00000000,0.00037274,0.00089908,0.00034156
150.00000000,0.00067809,0.00117037,0.00034256
180.00000000,0.00107156,0.00125219,0.00045901
210.00000000,0.00175393,0.00138716,0.00066940
240.00000000,0.00295992,0.00140316,0.00161354
270.00000000,0.00319006,0.00148589,0.00165044
300.00000000,0.00354116,0.00160896,0.00170887
330.00000000,0.00384838,0.00164379,0.00184403
360.00000000,0.00390469,0.00178249,0.00221578
390.00000000,0.00446538,0.00178315,0.00281584
420.00000000,0.00463416,0.00183081,0.00321167
450.00000000,0.00477586,0.00210582,0.00402318
480.00000000,0.00484751,0.00227152,0.00447844
510.00000000,0.00488819,0.00288807,0.00481892
540.00000000,0.00495661,0.00323592,0.00492665
570.00000000,0.00501244,0.00353955,0.00554649
600.00000000,0.00543995,0.00464966,0.00570630
630.00000000,0.00594656,0.00507552,0.00570980
660.00000000,0.00637245,0.00541199,0.00571507
690.00000000,0.00655062,0.00542696,0.00580492
720.00000000,0.00697323,0.00579297,0.00580695
750.00000000,0.00709577,0.00580607,0.00602271
780.00000000,0.00709890,0.00580864,0.00603409
810.00000000,0.00710726,0.00583087,0.00603742
840.00000000,0.00721204,0.00583182,0.00616319
870.00000000,0.00734755,0.00584894,0.00621949
900.00000000,0.00801474,0.00597508,0.00643262
930.00000000,0.00826604,0.00603767,0.00649568
960.00000000,0.00864081,0.00609312,0.00663758
990.00000000,0.00864495,0.00612172,0.00664856
1020.00000000,0.00866557,0.00613663,0.00664902
1050.00000000,0.00886428,0.00620479,0.00668313
1080.00000000,0.00932545,0.00627835,0.00684949
1110.00000000,0.00936262,0.00627894,0.00687793
1140.00000000,0.00945995,0.00628658,0.00692836
1170.00000000,0.00948139,0.00634087,0.00707230
1200.00000000,0.00949745,0.00670337,0.00729826
1230.00000000,0.00979020,0.00744535,0.00740086
1260.00000000,0.01017147,0.00838609,0.00752508
1290.00000000,0.01083302,0.00940316,0.00756316
1320.00000000,0.01117183,0.00990352,0.00757886
1350.00000000,0.01152232,0.00990700,0.00786296
1380.00000000,0.01213800,0.00991615,0.00833764
1410.00000000,0.01229152,0.01013688,0.00834372
1440.00000000,0.01258695,0.01040369,0.00834445
1470.00000000,0.01266399,0.01042377,0.00836291
1500.00000000,0.01266629,0.01042428,0.00836356
1530.00000000,0.01267284,0.01042438,0.00837185
1560.00000000,0.01273516,0.01047709,0.00837225
1590.00000000,0.01273814,0.01058005,0.00844320
1620.00000000,0.01276685,0.01076657,0.00851206
1650.00000000,0.01278138,0.01101702,0.00865642
1680.00000000,0.01292486,0.01169817,0.00885581
1710.00000000,0.01326150,0.01225312,0.00888295
1740.00000000,0.01328467,0.01229401,0.00888545
1770.00000000,0.01330943,0.01231055,0.00888627
1800.00000000,0.01333911,0.01232446,0.00897050
1830.00000000,0.01333934,0.01234593,0.00898777
1860.00000000,0.01334383,0.01250527,0.00909811
1890.00000000,0.01335030,0.01267074,0.00920459
1920.00000000,0.01335301,0.01277262,0.00927595
1950.00000000,0.01363115,0.01309090,0.00927730
1980.00000000,0.01389897,0.01348607,0.00928965
2010.00000000,0.01394565,0.01349151,0.00930989
2040.00000000,0.01406908,0.01349416,0.00939979
2070.00000000,0.01411765,0.01350693,0.00941132
2100.00000000,0.01459807,0.01356153,0.00962243
2130.00000000,0.01497366,0.01361019,0.00977629
2160.00000000,0.01550873,0.01373192,0.00992266
2190.00000000,0.01608102,0.01379773,0.01017264
2220.00000000,0.01618203,0.01380063,0.01024227
2250.00000000,0.01619736,0.01385988,0.01025658
2280.00000000,0.01619910,0.01394439,0.01036707
2310.00000000,0.01621967,0.01399107,0.01049629
2340.00000000,0.01646598,0.01399209,0.01077526
2370.00000000,0.01666879,0.01404462,0.01123704
2400.00000000,0.01670604,0.01431570,0.01134438
2430.00000000,0.01672501,0.01466375,0.01154891
2460.00000000,0.01688235,0.01503099,0.01159273
2490.00000000,0.01691050,0.01520163,0.01165290
2520.00000000,0.01694521,0.01546794,0.01214619
2550.00000000,0.01727032,0.01551746,0.01277456
2580.00000000,0.01727065,0.01594110,0.01322241
2610.00000000,0.01728738,0.01633271,0.01346888
2640.00000000,0.01733224,0.01662906,0.01357948
2670.00000000,0.01733363,0.01688188,0.01379620
2700.00000000,0.01737377,0.01723818,0.01395346
2730.00000000,0.01751019,0.01772654,0.01406202
2760.00000000,0.01757046,0.01814962,0.01422600
2790.00000000,0.01765072,0.01850233,0.01432246
2820.00000000,0.01765940,0.01884103,0.01456144
2850.00000000,0.01786622,0.01937416,0.01463727
2880.00000000,0.01800149,0.01983677,0.01473484
2910.00000000,0.01805297,0.01997378,0.01475537
2940.00000000,0.01807976,0.01998516,0.01475862
2970.00000000,0.01814666,0.02007095,0.01475979
3000.00000000,0.01821055,0.02018475,0.01476694
3030.00000000,0.01821362,0.02030736,0.01485381
3060.00000000,0.01821365,0.02034980,0.01489388
3090.00000000,0.01826377,0.02041289,0.01489463
3120.00000000,0.01845684,0.02050701,0.01491221
3150.00000000,0.01848402,0.02052466,0.01491324
3180.00000000,0.01852526,0.02054747,0.01491595
3210.00000000,0.01853415,0.02055688,0.01491595
3240.00000000,0.01853467,0.02055820,0.01491944
3270.00000000,0.01856315,0.02055913,0.01495916
3300.00000000,0.01858779,0.02057408,0.01503714
3330.00000000,0.01859373,0.02062884,0.01513392
3360.00000000,0.01859456,0.02067788,0.01517108
3390.00000000,0.01859679,0.02074068,0.01521244
3420.00000000,0.01862096,0.02082676,0.01523147
3450.00000000,0.01870569,0.02084236,0.01525908
3480.00000000,0.01872488,0.02084261,0.01528299
