times, Ki67_negative_absolute_error, Ki67_positive_premitotic_absolute_error, Ki67_positive_postmitotic_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.01706882,0.08475318,0.10182199
60.00000000,0.02100704,0.16279419,0.18380122
90.00000000,0.03192753,0.24180638,0.25189292
120.00000000,0.05691411,0.32053009,0.30563006
150.00000000,0.09354993,0.39404377,0.34250792
180.00000000,0.13820145,0.45878815,0.36260078
210.00000000,0.18251206,0.51106764,0.37056965
240.00000000,0.22680945,0.55531229,0.37062238
270.00000000,0.26895596,0.60853297,0.38169655
300.00000000,0.29991075,0.64886981,0.39107861
330.00000000,0.32316376,0.67751159,0.39646737
360.00000000,0.35418041,0.70839188,0.39660374
390.00000000,0.38919907,0.73432348,0.40569079
420.00000000,0.41932837,0.75211088,0.41803269
450.00000000,0.44475174,0.75729852,0.43826842
480.00000000,0.46067786,0.76384759,0.44764547
510.00000000,0.46879218,0.76837508,0.45123230
540.00000000,0.47540740,0.77474969,0.45147292
570.00000000,0.47682129,0.78141652,0.45672587
600.00000000,0.48275010,0.78516615,0.45890504
630.00000000,0.48766493,0.78752867,0.46618237
660.00000000,0.48853971,0.79587216,0.47365109
690.00000000,0.48991186,0.81172117,0.48812796
720.00000000,0.49029740,0.82467784,0.50147016
750.00000000,0.49099020,0.84521413,0.52269925
780.00000000,0.49767781,0.86810605,0.53890356
810.00000000,0.50926880,0.89479433,0.55400085
840.00000000,0.52549579,0.91574416,0.55872369
870.00000000,0.54073457,0.92906105,0.56064559
900.00000000,0.55992290,0.93838174,0.57051324
930.00000000,0.57329544,0.94509437,0.57717315
960.00000000,0.58359964,0.95386975,0.57870197
990.00000000,0.59139682,0.96056089,0.57980801
1020.00000000,0.59752983,0.96418502,0.58231690
1050.00000000,0.59806439,0.97217252,0.58976983
1080.00000000,0.60023075,0.98410418,0.59953514
1110.00000000,0.60660875,0.99412475,0.60317769
1140.00000000,0.61136200,0.99855824,0.60349744
1170.00000000,0.61634370,1.00651448,0.60647197
1200.00000000,0.61808194,1.01725951,0.61547877
1230.00000000,0.62123654,1.02790686,0.62297152
1260.00000000,0.62361486,1.04229344,0.63497979
1290.00000000,0.62950925,1.05097901,0.63777097
1320.00000000,0.64192356,1.05998620,0.64117810
1350.00000000,0.64468927,1.06539743,0.64382361
1380.00000000,0.65188888,1.06909308,0.64732757
1410.00000000,0.66251659,1.07040099,0.65926320
1440.00000000,0.67130566,1.07114927,0.66730401
1470.00000000,0.68071601,1.07537583,0.67248779
1500.00000000,0.68896221,1.07829537,0.67781445
1530.00000000,0.69182546,1.07966148,0.68204380
1560.00000000,0.69607777,1.07970590,0.68625170
1590.00000000,0.70515004,1.07995985,0.69507002
1620.00000000,0.71515473,1.08283887,0.70219570
1650.00000000,0.72113825,1.08436402,0.70970437
1680.00000000,0.72478955,1.08988772,0.71157678
1710.00000000,0.72769280,1.09076507,0.71360268
1740.00000000,0.73070663,1.09338207,0.71923350
1770.00000000,0.73191224,1.09751767,0.72457471
1800.00000000,0.73595146,1.09762620,0.72872245
1830.00000000,0.74091624,1.09985102,0.73591207
1860.00000000,0.74224644,1.10582035,0.74055119
1890.00000000,0.74299694,1.10974240,0.74372276
1920.00000000,0.74302507,1.11451004,0.74846227
1950.00000000,0.74487202,1.11752228,0.74962756
1980.00000000,0.74937196,1.11986616,0.75178362
2010.00000000,0.75031723,1.12504050,0.75601269
2040.00000000,0.75163057,1.12913552,0.76142105
2070.00000000,0.75500091,1.13160900,0.76726487
2100.00000000,0.75593241,1.14001840,0.77660578
2130.00000000,0.75882285,1.14909702,0.78279396
2160.00000000,0.76418204,1.15222390,0.78502627
2190.00000000,0.76853651,1.15480864,0.79196547
2220.00000000,0.77223465,1.15768411,0.79853909
2250.00000000,0.77545188,1.15872440,0.80279660
2280.00000000,0.77598746,1.16356803,0.80817581
2310.00000000,0.78209298,1.17024195,0.82095526
2340.00000000,0.78577311,1.17925002,0.83364345
2370.00000000,0.78719097,1.18583938,0.84165067
2400.00000000,0.78759891,1.19142220,0.84764143
2430.00000000,0.79018328,1.19923315,0.85286803
2460.00000000,0.79459316,1.20667785,0.85590285
2490.00000000,0.79472742,1.21100997,0.86036921
2520.00000000,0.79588101,1.21164448,0.86215732
2550.00000000,0.79751549,1.21603847,0.86491685
2580.00000000,0.79926213,1.21831698,0.86544871
2610.00000000,0.79930875,1.21884776,0.86593287
2640.00000000,0.80247649,1.22235462,0.86627199
2670.00000000,0.80518032,1.22617607,0.86738961
2700.00000000,0.80700424,1.22920949,0.86859911
2730.00000000,0.80871033,1.23150429,0.86918780
2760.00000000,0.80978208,1.23423509,0.87299035
2790.00000000,0.81156160,1.23517462,0.87570940
2820.00000000,0.81222359,1.23659732,0.87779408
2850.00000000,0.81305334,1.23814915,0.87851617
2880.00000000,0.81438553,1.24224056,0.88127538
2910.00000000,0.81592409,1.24369721,0.88427060
2940.00000000,0.81780463,1.24718934,0.88964328
2970.00000000,0.81958487,1.25112737,0.89536156
3000.00000000,0.82237054,1.25403992,0.90105977
3030.00000000,0.82599220,1.25667027,0.90731179
3060.00000000,0.83102956,1.25895204,0.91463092
3090.00000000,0.83346549,1.26230043,0.92041522
3120.00000000,0.83569619,1.26365434,0.92399982
3150.00000000,0.83680705,1.26547305,0.92692939
3180.00000000,0.83823121,1.26778587,0.93066637
3210.00000000,0.84079530,1.26818923,0.93282711
3240.00000000,0.84273762,1.26967814,0.93328051
3270.00000000,0.84420083,1.27274658,0.93488574
3300.00000000,0.84741123,1.27325170,0.93759101
3330.00000000,0.84766272,1.27469480,0.93928559
3360.00000000,0.84817828,1.27539106,0.93946631
3390.00000000,0.84843349,1.27542363,0.93968897
3420.00000000,0.84984668,1.27547976,0.94115829
3450.00000000,0.85011272,1.27677454,0.94218703
3480.00000000,0.85073831,1.27688398,0.94270317
3510.00000000,0.85277550,1.28068373,0.94446573
3540.00000000,0.85692378,1.28472556,0.94457217
3570.00000000,0.86155746,1.28904929,0.94488214
3600.00000000,0.86659780,1.29303397,0.94593780
