times, Ki67_negative_absolute_error, Ki67_positive_premitotic_absolute_error, Ki67_positive_postmitotic_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00317038,0.08948688,0.09265727
60.00000000,0.01019710,0.16978720,0.16593086
90.00000000,0.02519136,0.23446368,0.21561308
120.00000000,0.04577118,0.28529586,0.24586545
150.00000000,0.07369449,0.33341975,0.26606601
180.00000000,0.09643560,0.37088613,0.28079128
210.00000000,0.11761603,0.40108920,0.28981393
240.00000000,0.13623306,0.42758707,0.29769477
270.00000000,0.15427419,0.44398216,0.29934082
300.00000000,0.16805713,0.44890751,0.30819840
330.00000000,0.17775063,0.45537189,0.31142754
360.00000000,0.18214220,0.46021901,0.31188310
390.00000000,0.18522633,0.46313350,0.31205275
420.00000000,0.19362012,0.46558118,0.31799885
450.00000000,0.19865228,0.46776267,0.32084952
480.00000000,0.20797051,0.47713266,0.32090128
510.00000000,0.21879127,0.48682554,0.32202917
540.00000000,0.23080851,0.49657732,0.32429461
570.00000000,0.23614655,0.50183055,0.32437943
600.00000000,0.24052282,0.50847422,0.32664684
630.00000000,0.24198787,0.50862912,0.32795699
660.00000000,0.24445663,0.50875608,0.33029879
690.00000000,0.24524808,0.50971391,0.33204808
720.00000000,0.24866263,0.51645456,0.33537419
750.00000000,0.25502872,0.52523710,0.33779062
780.00000000,0.25898747,0.53083673,0.33943149
810.00000000,0.26222059,0.53989063,0.34525227
840.00000000,0.26499834,0.54614908,0.34873298
870.00000000,0.26687475,0.55530875,0.35601625
900.00000000,0.26936577,0.56677064,0.36498711
930.00000000,0.27094688,0.57771940,0.37435476
960.00000000,0.27621434,0.58966757,0.38103547
990.00000000,0.28061845,0.59849174,0.38545554
1020.00000000,0.28401069,0.61132493,0.39489649
1050.00000000,0.28520632,0.63043657,0.41520376
1080.00000000,0.29162883,0.64715566,0.42550034
1110.00000000,0.30221235,0.66473494,0.43249612
1140.00000000,0.31513384,0.68293053,0.43777022
1170.00000000,0.32163969,0.69178255,0.44011639
1200.00000000,0.32371850,0.69807686,0.44433189
1230.00000000,0.32434289,0.70477357,0.45165299
1260.00000000,0.32525379,0.70890612,0.45487464
1290.00000000,0.33020003,0.71678718,0.45780946
1320.00000000,0.34033315,0.72805102,0.45894018
1350.00000000,0.35430178,0.73943531,0.46152451
1380.00000000,0.36815083,0.74478665,0.47002221
1410.00000000,0.37844415,0.74919179,0.47591040
1440.00000000,0.38599705,0.75030465,0.48235043
1470.00000000,0.38888318,0.75072468,0.48565659
1500.00000000,0.39473952,0.75193784,0.49029979
1530.00000000,0.39718551,0.75842765,0.49923558
1560.00000000,0.39792768,0.76941606,0.50948183
1590.00000000,0.40057396,0.77862666,0.51604615
1620.00000000,0.40443295,0.78707590,0.52063639
1650.00000000,0.40990309,0.79263888,0.52072923
1680.00000000,0.41522967,0.79898802,0.52175180
1710.00000000,0.42133343,0.80834667,0.52500669
1740.00000000,0.42476340,0.81562881,0.52885887
1770.00000000,0.42755363,0.82261764,0.53305746
1800.00000000,0.43417997,0.83675649,0.54056997
1830.00000000,0.43815976,0.84429719,0.54413088
1860.00000000,0.44062710,0.85224400,0.54961034
1890.00000000,0.44566759,0.86226514,0.55459099
1920.00000000,0.45149440,0.87171579,0.55821482
1950.00000000,0.45764926,0.88164110,0.56198528
1980.00000000,0.45928231,0.88938536,0.56809648
2010.00000000,0.46439795,0.89842334,0.57201881
2040.00000000,0.46958507,0.90693823,0.57534658
2070.00000000,0.47532819,0.91301863,0.57568387
2100.00000000,0.48233500,0.91962607,0.57608323
2130.00000000,0.48934254,0.92516127,0.57755558
2160.00000000,0.49535449,0.93327026,0.57965262
2190.00000000,0.50582509,0.94041760,0.58297589
2220.00000000,0.51308943,0.94468329,0.58597453
2250.00000000,0.51989211,0.94633232,0.59442623
2280.00000000,0.52347148,0.95272381,0.60439709
2310.00000000,0.52743881,0.95946899,0.61510959
2340.00000000,0.53284747,0.96411462,0.62516389
2370.00000000,0.53628871,0.96870257,0.63319308
2400.00000000,0.53741483,0.97606439,0.63942877
2430.00000000,0.53817433,0.98599700,0.64860188
2460.00000000,0.54348913,1.00090669,0.65819679
2490.00000000,0.55149427,1.01308706,0.66237201
2520.00000000,0.55976658,1.02194498,0.66295762
2550.00000000,0.56797284,1.02661467,0.66649420
2580.00000000,0.57213390,1.02819202,0.67223260
2610.00000000,0.57466067,1.03303965,0.67960700
2640.00000000,0.57646760,1.03914607,0.68390650
2670.00000000,0.58004073,1.04410134,0.68528863
2700.00000000,0.58799263,1.05373465,0.68697003
2730.00000000,0.59483283,1.06803804,0.69443323
2760.00000000,0.60046619,1.07618083,0.69694266
2790.00000000,0.60790101,1.08357555,0.69698277
2820.00000000,0.61075491,1.08632744,0.69708477
2850.00000000,0.61162110,1.08909723,0.69898839
2880.00000000,0.61496302,1.09526151,0.70181075
2910.00000000,0.61750329,1.09973800,0.70374695
2940.00000000,0.61915575,1.10270494,0.70506144
2970.00000000,0.62028355,1.10519553,0.70642423
3000.00000000,0.62076515,1.10601479,0.70676190
3030.00000000,0.62168359,1.10682068,0.70848622
3060.00000000,0.62580710,1.11144613,0.70898816
3090.00000000,0.62858583,1.11319756,0.71001545
3120.00000000,0.63062796,1.11376905,0.71262907
3150.00000000,0.63091204,1.11578697,0.71493106
3180.00000000,0.63156508,1.11697550,0.71677263
3210.00000000,0.63159975,1.11759195,0.71742374
3240.00000000,0.63463717,1.12100837,0.71780275
3270.00000000,0.64042414,1.12768336,0.71869076
3300.00000000,0.64723737,1.13758030,0.72177447
3330.00000000,0.65357521,1.14554261,0.72339892
3360.00000000,0.65962677,1.15154812,0.72344497
3390.00000000,0.66744624,1.15615417,0.72665840
3420.00000000,0.67311677,1.15826951,0.73021359
3450.00000000,0.67756507,1.16047661,0.73245479
3480.00000000,0.68091737,1.16100340,0.73528029
3510.00000000,0.68213397,1.16143082,0.73692433
3540.00000000,0.68314671,1.16475236,0.73923312
3570.00000000,0.68521048,1.16993885,0.74235585
3600.00000000,0.69014321,1.17492484,0.74240912
