times, Ki67_negative_csse, Ki67_positive_premitotic_csse, Ki67_positive_postmitotic_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00005979,0.00856909,0.01006043
60.00000000,0.00023711,0.01628205,0.01561176
90.00000000,0.00062768,0.02194857,0.01869349
120.00000000,0.00133056,0.02606952,0.02011349
150.00000000,0.00236067,0.02974076,0.02092547
180.00000000,0.00337199,0.03224949,0.02125985
210.00000000,0.00398356,0.03370594,0.02144031
240.00000000,0.00461048,0.03480794,0.02150687
270.00000000,0.00523378,0.03604771,0.02161181
300.00000000,0.00591603,0.03700738,0.02163542
330.00000000,0.00641405,0.03741312,0.02164014
360.00000000,0.00685902,0.03757438,0.02171063
390.00000000,0.00713214,0.03773350,0.02172593
420.00000000,0.00733653,0.03795491,0.02172627
450.00000000,0.00769003,0.03811865,0.02176234
480.00000000,0.00799456,0.03825633,0.02179502
510.00000000,0.00840244,0.03842236,0.02184847
540.00000000,0.00859941,0.03850207,0.02187455
570.00000000,0.00867464,0.03850324,0.02193223
600.00000000,0.00875451,0.03850574,0.02204291
630.00000000,0.00875557,0.03855802,0.02211122
660.00000000,0.00875560,0.03866928,0.02222582
690.00000000,0.00875573,0.03868123,0.02224037
720.00000000,0.00875651,0.03874139,0.02231504
750.00000000,0.00878933,0.03884774,0.02233605
780.00000000,0.00881692,0.03890831,0.02234245
810.00000000,0.00886534,0.03903219,0.02235985
840.00000000,0.00895192,0.03919275,0.02237118
870.00000000,0.00901661,0.03932020,0.02238172
900.00000000,0.00903201,0.03934762,0.02238344
930.00000000,0.00906608,0.03935197,0.02239751
960.00000000,0.00906652,0.03936980,0.02242137
990.00000000,0.00907165,0.03940583,0.02243533
1020.00000000,0.00907787,0.03942459,0.02243871
1050.00000000,0.00908149,0.03943130,0.02243918
1080.00000000,0.00908743,0.03943829,0.02243922
1110.00000000,0.00910436,0.03944336,0.02244269
1140.00000000,0.00911439,0.03944772,0.02244386
1170.00000000,0.00911476,0.03945324,0.02245261
1200.00000000,0.00911495,0.03947006,0.02247314
1230.00000000,0.00911514,0.03948249,0.02248890
1260.00000000,0.00911579,0.03949576,0.02250869
1290.00000000,0.00912637,0.03950540,0.02250871
1320.00000000,0.00913508,0.03951090,0.02253675
1350.00000000,0.00915770,0.03951172,0.02256880
1380.00000000,0.00921318,0.03951228,0.02261365
1410.00000000,0.00923947,0.03951580,0.02262423
