times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.00657881
60.00000000,0.01638070
90.00000000,0.03215159
120.00000000,0.03265607
150.00000000,0.03674169
180.00000000,0.04802037
210.00000000,0.06900903
240.00000000,0.10294763
270.00000000,0.13474630
300.00000000,0.17833099
330.00000000,0.23029344
360.00000000,0.27959787
390.00000000,0.31687984
420.00000000,0.34807946
450.00000000,0.37418310
480.00000000,0.41609109
510.00000000,0.46236704
540.00000000,0.47565394
570.00000000,0.48454575
600.00000000,0.49110302
630.00000000,0.50459025
660.00000000,0.51603245
690.00000000,0.53554970
720.00000000,0.54776124
750.00000000,0.55710285
780.00000000,0.57534280
810.00000000,0.58068872
840.00000000,0.58804668
870.00000000,0.59374051
900.00000000,0.60188496
930.00000000,0.62108854
960.00000000,0.62322571
990.00000000,0.62939966
1020.00000000,0.63991105
1050.00000000,0.65977546
1080.00000000,0.66270294
1110.00000000,0.67332348
1140.00000000,0.67416218
1170.00000000,0.69206056
1200.00000000,0.71492217
1230.00000000,0.74618195
1260.00000000,0.77876864
1290.00000000,0.80485627
1320.00000000,0.84013534
1350.00000000,0.87247491
1380.00000000,0.90536656
1410.00000000,0.92315732
1440.00000000,0.94179699
1470.00000000,0.97014922
1500.00000000,0.98870862
1530.00000000,1.00231629
1560.00000000,1.02026822
1590.00000000,1.04278429
1620.00000000,1.05352063
1650.00000000,1.06657742
1680.00000000,1.08006401
1710.00000000,1.08446993
1740.00000000,1.08977993
1770.00000000,1.09285715
1800.00000000,1.09652808
1830.00000000,1.10246634
1860.00000000,1.10940545
1890.00000000,1.11548169
1920.00000000,1.11930627
1950.00000000,1.12229829
1980.00000000,1.12324705
2010.00000000,1.12534270
2040.00000000,1.14355157
2070.00000000,1.14816927
2100.00000000,1.16687867
2130.00000000,1.17821696
2160.00000000,1.17961217
2190.00000000,1.18333769
2220.00000000,1.18631301
2250.00000000,1.18833348
2280.00000000,1.20165494
2310.00000000,1.21921579
2340.00000000,1.22929549
2370.00000000,1.23669001
2400.00000000,1.24521666
2430.00000000,1.24892294
2460.00000000,1.25211588
2490.00000000,1.25636190
2520.00000000,1.26698895
2550.00000000,1.27452434
2580.00000000,1.27682227
2610.00000000,1.27833806
2640.00000000,1.28462949
2670.00000000,1.29596511
2700.00000000,1.30474415
2730.00000000,1.30741366
2760.00000000,1.31010867
2790.00000000,1.31784837
2820.00000000,1.32132773
2850.00000000,1.32193724
2880.00000000,1.32833057
2910.00000000,1.33495710
2940.00000000,1.34770391
2970.00000000,1.35776307
3000.00000000,1.36856466
3030.00000000,1.38272153
3060.00000000,1.39581110
3090.00000000,1.40269434
3120.00000000,1.41036596
3150.00000000,1.41553809
3180.00000000,1.41602783
3210.00000000,1.42293619
3240.00000000,1.43187948
3270.00000000,1.43303124
3300.00000000,1.43452580
3330.00000000,1.43914800
3360.00000000,1.44114248
3390.00000000,1.44425776
3420.00000000,1.44569778
3450.00000000,1.44979763
3480.00000000,1.45577876
3510.00000000,1.46155875
3540.00000000,1.47009882
3570.00000000,1.48210205
3600.00000000,1.48877697
