times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.01755221
60.00000000,0.02988328
90.00000000,0.04236474
120.00000000,0.06206311
150.00000000,0.09841438
180.00000000,0.13443201
210.00000000,0.15356231
240.00000000,0.16417032
270.00000000,0.17496936
300.00000000,0.18301369
330.00000000,0.19795026
360.00000000,0.20107259
390.00000000,0.20225836
420.00000000,0.21283445
450.00000000,0.21487265
480.00000000,0.23111389
510.00000000,0.26215943
540.00000000,0.29774081
570.00000000,0.33745678
600.00000000,0.36612891
630.00000000,0.37812887
660.00000000,0.39391390
690.00000000,0.40779312
720.00000000,0.40978073
750.00000000,0.41602716
780.00000000,0.42056376
810.00000000,0.42251885
840.00000000,0.43053299
870.00000000,0.45172818
900.00000000,0.45893617
930.00000000,0.46449914
960.00000000,0.49668625
990.00000000,0.51774803
1020.00000000,0.54282792
1050.00000000,0.56195796
1080.00000000,0.57838536
1110.00000000,0.58703485
1140.00000000,0.61185734
1170.00000000,0.62922911
1200.00000000,0.64096728
1230.00000000,0.65392458
1260.00000000,0.67928491
1290.00000000,0.69449820
1320.00000000,0.70196475
1350.00000000,0.70580052
1380.00000000,0.71344085
1410.00000000,0.71953283
1440.00000000,0.72984343
1470.00000000,0.74006258
1500.00000000,0.75470377
1530.00000000,0.77035462
1560.00000000,0.77725507
1590.00000000,0.79556420
1620.00000000,0.80943686
1650.00000000,0.82710228
1680.00000000,0.84511951
1710.00000000,0.86211532
1740.00000000,0.86991248
1770.00000000,0.87799326
1800.00000000,0.87841994
1830.00000000,0.87982525
1860.00000000,0.89035247
1890.00000000,0.89212304
1920.00000000,0.90208789
1950.00000000,0.90983381
1980.00000000,0.91519249
2010.00000000,0.91876221
2040.00000000,0.92511508
2070.00000000,0.92533183
2100.00000000,0.94083961
2130.00000000,0.94767418
2160.00000000,0.96266219
2190.00000000,0.98140082
2220.00000000,0.99659442
2250.00000000,1.01061215
2280.00000000,1.01904731
2310.00000000,1.03209004
2340.00000000,1.03698485
2370.00000000,1.05101553
2400.00000000,1.06403572
2430.00000000,1.07941397
2460.00000000,1.10150905
2490.00000000,1.12369707
2520.00000000,1.13748406
2550.00000000,1.14610709
2580.00000000,1.16246772
2610.00000000,1.17657722
2640.00000000,1.19320999
2670.00000000,1.20854184
2700.00000000,1.22456364
2730.00000000,1.23781283
2760.00000000,1.25170537
2790.00000000,1.26721713
2820.00000000,1.26799247
2850.00000000,1.26847746
2880.00000000,1.26997648
2910.00000000,1.27029873
2940.00000000,1.27665379
2970.00000000,1.28172441
3000.00000000,1.28704538
3030.00000000,1.29156894
3060.00000000,1.29446266
3090.00000000,1.29991488
3120.00000000,1.30146885
3150.00000000,1.30385953
3180.00000000,1.31343129
3210.00000000,1.31527719
3240.00000000,1.32002839
3270.00000000,1.32800322
3300.00000000,1.33299324
3330.00000000,1.33550086
3360.00000000,1.34207224
3390.00000000,1.34496422
3420.00000000,1.34577216
3450.00000000,1.34792150
3480.00000000,1.35088249
3510.00000000,1.35708528
3540.00000000,1.35937683
3570.00000000,1.35958834
3600.00000000,1.36309089
