times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.00005846
60.00000000,0.00006009
90.00000000,0.00006012
120.00000000,0.00007154
150.00000000,0.00007493
180.00000000,0.00007884
210.00000000,0.00008033
240.00000000,0.00026600
270.00000000,0.00036540
300.00000000,0.00061609
330.00000000,0.00114120
360.00000000,0.00162187
390.00000000,0.00193448
420.00000000,0.00229871
450.00000000,0.00276590
480.00000000,0.00315808
510.00000000,0.00345286
540.00000000,0.00354531
570.00000000,0.00362744
600.00000000,0.00365636
630.00000000,0.00390345
660.00000000,0.00397829
690.00000000,0.00418227
720.00000000,0.00441320
750.00000000,0.00442532
780.00000000,0.00459904
810.00000000,0.00462183
840.00000000,0.00466543
870.00000000,0.00473810
900.00000000,0.00499105
930.00000000,0.00522372
960.00000000,0.00529910
990.00000000,0.00539374
1020.00000000,0.00539811
1050.00000000,0.00540247
1080.00000000,0.00541993
1110.00000000,0.00542266
1140.00000000,0.00542664
1170.00000000,0.00543281
1200.00000000,0.00546570
1230.00000000,0.00553015
1260.00000000,0.00559731
1290.00000000,0.00561410
1320.00000000,0.00567075
1350.00000000,0.00568641
1380.00000000,0.00568743
1410.00000000,0.00568750
1440.00000000,0.00568781
1470.00000000,0.00572388
1500.00000000,0.00574834
1530.00000000,0.00581148
1560.00000000,0.00591247
1590.00000000,0.00611376
1620.00000000,0.00634970
1650.00000000,0.00656376
1680.00000000,0.00683220
1710.00000000,0.00691045
1740.00000000,0.00695619
1770.00000000,0.00700957
1800.00000000,0.00709832
1830.00000000,0.00713996
1860.00000000,0.00716661
1890.00000000,0.00718242
1920.00000000,0.00720884
1950.00000000,0.00722191
1980.00000000,0.00725520
2010.00000000,0.00727713
2040.00000000,0.00728377
2070.00000000,0.00728629
2100.00000000,0.00729107
2130.00000000,0.00729176
2160.00000000,0.00733443
2190.00000000,0.00740686
2220.00000000,0.00747811
2250.00000000,0.00749563
2280.00000000,0.00749894
2310.00000000,0.00749953
2340.00000000,0.00749998
2370.00000000,0.00750031
2400.00000000,0.00750078
2430.00000000,0.00758647
2460.00000000,0.00764290
2490.00000000,0.00764651
2520.00000000,0.00764663
2550.00000000,0.00764837
2580.00000000,0.00765170
2610.00000000,0.00766087
2640.00000000,0.00771495
2670.00000000,0.00784009
2700.00000000,0.00792813
2730.00000000,0.00796998
2760.00000000,0.00799294
2790.00000000,0.00808109
2820.00000000,0.00814535
2850.00000000,0.00821530
2880.00000000,0.00834772
2910.00000000,0.00857948
2940.00000000,0.00881956
2970.00000000,0.00900338
3000.00000000,0.00911969
3030.00000000,0.00926437
3060.00000000,0.00934776
3090.00000000,0.00937998
3120.00000000,0.00938380
3150.00000000,0.00938449
3180.00000000,0.00939720
3210.00000000,0.00941357
3240.00000000,0.00942378
3270.00000000,0.00942530
3300.00000000,0.00942540
3330.00000000,0.00942662
3360.00000000,0.00944092
3390.00000000,0.00944097
3420.00000000,0.00944713
3450.00000000,0.00944722
3480.00000000,0.00944859
3510.00000000,0.00945087
3540.00000000,0.00945286
3570.00000000,0.00945303
3600.00000000,0.00946900
