times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.00000961
60.00000000,0.00014639
90.00000000,0.00052463
120.00000000,0.00066565
150.00000000,0.00071944
180.00000000,0.00071996
210.00000000,0.00072148
240.00000000,0.00072912
270.00000000,0.00073244
300.00000000,0.00094269
330.00000000,0.00125131
360.00000000,0.00229171
390.00000000,0.00269946
420.00000000,0.00275167
450.00000000,0.00275448
480.00000000,0.00277434
510.00000000,0.00325597
540.00000000,0.00334467
570.00000000,0.00334515
600.00000000,0.00336902
630.00000000,0.00336909
660.00000000,0.00337547
690.00000000,0.00351213
720.00000000,0.00369525
750.00000000,0.00424010
780.00000000,0.00489831
810.00000000,0.00594616
840.00000000,0.00617257
870.00000000,0.00619316
900.00000000,0.00621001
930.00000000,0.00628431
960.00000000,0.00676579
990.00000000,0.00698420
1020.00000000,0.00712513
1050.00000000,0.00715452
1080.00000000,0.00718601
1110.00000000,0.00723795
1140.00000000,0.00724044
1170.00000000,0.00725326
1200.00000000,0.00725744
1230.00000000,0.00730624
1260.00000000,0.00736220
1290.00000000,0.00740284
1320.00000000,0.00756291
1350.00000000,0.00792316
1380.00000000,0.00848819
1410.00000000,0.00939497
1440.00000000,0.00991798
1470.00000000,0.01024731
1500.00000000,0.01033688
1530.00000000,0.01040362
1560.00000000,0.01046495
1590.00000000,0.01049978
1620.00000000,0.01058862
1650.00000000,0.01065599
1680.00000000,0.01090436
1710.00000000,0.01100581
1740.00000000,0.01103344
1770.00000000,0.01104142
1800.00000000,0.01112396
1830.00000000,0.01116291
1860.00000000,0.01116488
1890.00000000,0.01118844
1920.00000000,0.01119033
1950.00000000,0.01119447
1980.00000000,0.01119452
2010.00000000,0.01120025
2040.00000000,0.01120700
2070.00000000,0.01120835
2100.00000000,0.01121204
2130.00000000,0.01121396
2160.00000000,0.01121405
2190.00000000,0.01128505
2220.00000000,0.01130876
2250.00000000,0.01144158
2280.00000000,0.01147025
2310.00000000,0.01148791
2340.00000000,0.01154272
2370.00000000,0.01159647
2400.00000000,0.01162494
2430.00000000,0.01162993
2460.00000000,0.01164132
2490.00000000,0.01164251
2520.00000000,0.01164435
2550.00000000,0.01165221
2580.00000000,0.01167080
2610.00000000,0.01167783
2640.00000000,0.01168617
2670.00000000,0.01168776
2700.00000000,0.01168820
2730.00000000,0.01168886
2760.00000000,0.01170378
2790.00000000,0.01170465
2820.00000000,0.01171634
2850.00000000,0.01174979
2880.00000000,0.01175691
2910.00000000,0.01180191
2940.00000000,0.01187073
2970.00000000,0.01192974
3000.00000000,0.01193553
3030.00000000,0.01194200
3060.00000000,0.01194389
3090.00000000,0.01194563
3120.00000000,0.01195638
3150.00000000,0.01199840
3180.00000000,0.01199931
3210.00000000,0.01200049
3240.00000000,0.01201316
3270.00000000,0.01202405
3300.00000000,0.01202468
3330.00000000,0.01202621
3360.00000000,0.01202873
3390.00000000,0.01203428
3420.00000000,0.01204080
3450.00000000,0.01209858
3480.00000000,0.01217004
3510.00000000,0.01237644
3540.00000000,0.01246639
3570.00000000,0.01252637
3600.00000000,0.01255869
