times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00500877,0.00122881,0.00370605,0.00007391
60.00000000,0.02333665,0.01904083,0.02401598,0.02089969
90.00000000,0.02385089,0.03580329,0.03296232,0.02820156
120.00000000,0.04154835,0.05563627,0.04125686,0.03436059
150.00000000,0.07382140,0.07711397,0.04503465,0.04893372
180.00000000,0.12816816,0.12153670,0.04534218,0.05855020
210.00000000,0.16388776,0.15162574,0.04952375,0.05999920
240.00000000,0.20132650,0.19333770,0.05671523,0.06291746
270.00000000,0.23061345,0.22017157,0.05716831,0.06491746
300.00000000,0.24001885,0.23552752,0.06116554,0.06687078
330.00000000,0.26506740,0.25512320,0.06559431,0.07675241
360.00000000,0.27208613,0.28102826,0.08612170,0.07839346
390.00000000,0.28082240,0.30146127,0.10598484,0.08655988
420.00000000,0.28326545,0.31911732,0.11154589,0.09621183
450.00000000,0.29637876,0.33263880,0.11707283,0.11731969
480.00000000,0.30136777,0.34761951,0.12956619,0.12479603
510.00000000,0.31058825,0.36124514,0.14401729,0.13319106
540.00000000,0.31909139,0.37456776,0.15612379,0.14291031
570.00000000,0.32447390,0.38929679,0.16273125,0.15641438
600.00000000,0.32992967,0.39745786,0.17050579,0.16689422
630.00000000,0.35062628,0.40139300,0.19791248,0.17753943
660.00000000,0.39318931,0.40558309,0.23355658,0.18026826
690.00000000,0.43171790,0.41478052,0.26787817,0.18525870
720.00000000,0.47227089,0.41517353,0.29973037,0.19435249
750.00000000,0.50208049,0.41601887,0.32539234,0.19934547
780.00000000,0.52550557,0.42781585,0.36259414,0.20132522
810.00000000,0.54401284,0.44109317,0.39065312,0.20505084
840.00000000,0.55665120,0.45997398,0.41921214,0.20801098
870.00000000,0.57352321,0.48159389,0.44657610,0.21913895
900.00000000,0.59026645,0.49143267,0.46008270,0.23221438
930.00000000,0.59483377,0.51162547,0.48094567,0.23611152
960.00000000,0.60684135,0.52765913,0.48177712,0.23930617
990.00000000,0.60879069,0.53240777,0.49265128,0.25297963
1020.00000000,0.62328101,0.54452380,0.50264692,0.26060097
1050.00000000,0.64507056,0.55891359,0.51181632,0.26237061
1080.00000000,0.65918097,0.56377223,0.52617716,0.26747969
1110.00000000,0.66328984,0.57547808,0.54044860,0.26902296
1140.00000000,0.66685467,0.58288350,0.54055427,0.27296924
1170.00000000,0.68185414,0.59579059,0.54298652,0.27749388
1200.00000000,0.70056050,0.61457662,0.54780805,0.28223573
1230.00000000,0.71943970,0.62070010,0.55568767,0.28711184
1260.00000000,0.72857909,0.62615719,0.55993462,0.29504108
1290.00000000,0.73274783,0.62770955,0.56657405,0.30740160
1320.00000000,0.74390735,0.63626691,0.57194215,0.31537187
1350.00000000,0.75428223,0.65060992,0.58635474,0.32581634
1380.00000000,0.76151944,0.65784685,0.60786693,0.34732880
1410.00000000,0.76210006,0.65898973,0.61667669,0.35557629
1440.00000000,0.76529138,0.66200136,0.62929270,0.36198935
1470.00000000,0.76650961,0.66898622,0.63676185,0.36369186
1500.00000000,0.76728788,0.68741593,0.65146577,0.36819592
1530.00000000,0.76990254,0.70324555,0.65704109,0.37583555
1560.00000000,0.77256565,0.71751634,0.66039490,0.38408942
1590.00000000,0.78520947,0.72861722,0.66128956,0.38652702
1620.00000000,0.79455466,0.73325476,0.66616941,0.38669921
1650.00000000,0.82171843,0.74958469,0.67797923,0.38767521
1680.00000000,0.84408444,0.75608504,0.68848967,0.39303044
1710.00000000,0.86465996,0.76477126,0.69602744,0.39738197
1740.00000000,0.86762830,0.76829514,0.70596963,0.40083192
1770.00000000,0.87764675,0.77147975,0.71494368,0.40506093
1800.00000000,0.87913111,0.78232145,0.73357512,0.41136632
1830.00000000,0.88458926,0.79304397,0.75770403,0.41931457
1860.00000000,0.88907470,0.80193986,0.76947211,0.42092783
1890.00000000,0.88924675,0.81544329,0.78340017,0.42118040
1920.00000000,0.89175487,0.82910023,0.79143184,0.42429754
1950.00000000,0.89401264,0.84723240,0.80243709,0.42916669
1980.00000000,0.90569709,0.86857856,0.80996799,0.43129750
2010.00000000,0.93071121,0.89702720,0.81813347,0.43602846
2040.00000000,0.94764259,0.91900468,0.82580697,0.43865585
2070.00000000,0.94812365,0.93074245,0.83780697,0.43939915
2100.00000000,0.94860066,0.93706187,0.84154163,0.44246091
2130.00000000,0.95087892,0.94497359,0.84866330,0.44552923
2160.00000000,0.95523183,0.94742661,0.85368658,0.44731188
2190.00000000,0.95608378,0.94913240,0.85445250,0.44910369
2220.00000000,0.96265341,0.95082466,0.85547271,0.45296085
2250.00000000,0.97392816,0.96099737,0.85747442,0.45606461
2280.00000000,0.98291640,0.97321360,0.86134203,0.45670423
2310.00000000,0.98772246,0.98174169,0.87257143,0.46421159
2340.00000000,0.98884605,0.98507870,0.87554070,0.46496742
2370.00000000,0.99095315,0.98747446,0.87779792,0.47172750
2400.00000000,0.99263634,0.99688749,0.88669706,0.47392457
2430.00000000,0.99366764,1.00648305,0.89627641,0.47493966
2460.00000000,1.00175290,1.01760363,0.90180199,0.47742991
2490.00000000,1.00678580,1.02970852,0.91032850,0.47888444
2520.00000000,1.01051507,1.03364917,0.91604797,0.48083489
2550.00000000,1.01077399,1.04781772,0.93076102,0.48163831
2580.00000000,1.01163063,1.05603510,0.93775664,0.48200342
2610.00000000,1.01354815,1.06158777,0.94157347,0.48218511
2640.00000000,1.01503298,1.06993407,0.94341719,0.48720286
2670.00000000,1.01722147,1.07753615,0.94499698,0.49541365
2700.00000000,1.02105727,1.09046136,0.94825925,0.50124079
2730.00000000,1.03439810,1.10300197,0.95255261,0.50473393
2760.00000000,1.04799951,1.12106897,0.95397276,0.51061967
2790.00000000,1.06304567,1.13288042,0.96214483,0.51555703
2820.00000000,1.08358782,1.14476572,0.96971283,0.51664588
2850.00000000,1.10202784,1.15630277,0.97205357,0.52120812
2880.00000000,1.12037758,1.16756613,0.97416260,0.52618545
2910.00000000,1.13214854,1.18318196,0.97879085,0.52696885
2940.00000000,1.14316444,1.20052538,0.98516935,0.52701982
2970.00000000,1.14859706,1.20910984,0.98727635,0.52806464
3000.00000000,1.15774191,1.21945445,0.98939450,0.53138256
3030.00000000,1.16265652,1.22303018,0.99607535,0.53672453
3060.00000000,1.16987483,1.23152202,0.99915492,0.54107764
3090.00000000,1.17714293,1.23707346,1.00372232,0.54392837
3120.00000000,1.19199244,1.25035097,1.00953418,0.54816825
3150.00000000,1.21439110,1.26900856,1.01712718,0.55202018
3180.00000000,1.23766620,1.28821225,1.02214978,0.55297137
3210.00000000,1.26331040,1.30321452,1.02954366,0.55621943
3240.00000000,1.27971958,1.31157458,1.03960289,0.55822955
3270.00000000,1.29245684,1.32038170,1.04354469,0.55824121
3300.00000000,1.30648188,1.32568910,1.04893637,0.56156716
3330.00000000,1.31167844,1.33006425,1.05117685,0.56298623
3360.00000000,1.31207387,1.33290236,1.05707797,0.56644467
3390.00000000,1.31545864,1.33370041,1.06457822,0.56976209
3420.00000000,1.31869812,1.34143909,1.06991701,0.57060169
3450.00000000,1.32465068,1.35086941,1.07551493,0.57272186
3480.00000000,1.32493078,1.35623411,1.08288554,0.57444767
3510.00000000,1.32835116,1.36095641,1.08714603,0.57740625
3540.00000000,1.32866219,1.36245858,1.09501429,0.58346131
3570.00000000,1.33751553,1.36298477,1.10648063,0.58554813
3600.00000000,1.34598948,1.36441280,1.11756880,0.58959037
