times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00500692,0.00093685,0.00036482,0.00557895
60.00000000,0.00892831,0.00359690,0.00272222,0.00980299
90.00000000,0.00977922,0.00444749,0.00300393,0.01008438
120.00000000,0.01569142,0.00870474,0.00509762,0.01383301
150.00000000,0.01968655,0.01870736,0.01060723,0.01433089
180.00000000,0.02256874,0.02693751,0.01720047,0.01557617
210.00000000,0.02581688,0.03348756,0.02030038,0.01577816
240.00000000,0.03487042,0.03776139,0.02085275,0.02111024
270.00000000,0.03509273,0.04348396,0.03119582,0.02595304
300.00000000,0.04458377,0.05057100,0.04595530,0.02777163
330.00000000,0.05026606,0.05640221,0.04804569,0.03719474
360.00000000,0.05782564,0.06136863,0.05063019,0.03720339
390.00000000,0.06971744,0.06201223,0.06172354,0.03735824
420.00000000,0.07906646,0.06822523,0.07775531,0.03782798
450.00000000,0.09251783,0.07145359,0.09161690,0.04064612
480.00000000,0.10411171,0.07752428,0.10414268,0.04578492
510.00000000,0.11772036,0.08012337,0.11175445,0.05438089
540.00000000,0.12251221,0.09403828,0.11352393,0.06173446
570.00000000,0.13179870,0.10980340,0.11738745,0.06434958
600.00000000,0.13637098,0.11748444,0.11752263,0.06732316
630.00000000,0.13753404,0.11961181,0.11794811,0.07018809
660.00000000,0.14015969,0.12004486,0.11857585,0.07175295
690.00000000,0.14133572,0.12279793,0.11979178,0.07211406
720.00000000,0.14168635,0.12662358,0.12344502,0.07229228
750.00000000,0.14590838,0.12838573,0.12780616,0.07419354
780.00000000,0.14784261,0.12909645,0.12862109,0.07460211
810.00000000,0.15131126,0.12955041,0.13048190,0.07947762
840.00000000,0.15195739,0.13380138,0.13389656,0.08096006
870.00000000,0.15727563,0.14561635,0.14127880,0.08184558
900.00000000,0.16006682,0.14581645,0.14528579,0.08844364
930.00000000,0.16323254,0.14831998,0.15059292,0.09308857
960.00000000,0.16515033,0.15147982,0.15643018,0.10016790
990.00000000,0.16845617,0.15451104,0.16130381,0.10476690
1020.00000000,0.17399588,0.16566933,0.16512656,0.11420824
1050.00000000,0.18227629,0.17691258,0.17204226,0.12408677
1080.00000000,0.20120772,0.19324219,0.17811542,0.12755812
1110.00000000,0.21801968,0.20828712,0.18286018,0.13053584
1140.00000000,0.23190250,0.22062364,0.18829745,0.13442681
1170.00000000,0.24156159,0.22543294,0.19912349,0.14040306
1200.00000000,0.25562647,0.23798976,0.20720380,0.14697530
1230.00000000,0.27440502,0.24747732,0.21959862,0.15007914
1260.00000000,0.28784960,0.25191122,0.23178396,0.15325381
1290.00000000,0.29710559,0.25219410,0.24388936,0.15638608
1320.00000000,0.30996333,0.25263387,0.25801690,0.15721611
1350.00000000,0.31549229,0.25654466,0.27030644,0.16006590
1380.00000000,0.32153815,0.26286008,0.28413336,0.16153153
1410.00000000,0.32360789,0.27353864,0.29213697,0.16213674
1440.00000000,0.32634507,0.28464506,0.29860183,0.16404112
1470.00000000,0.33279176,0.29451341,0.30190103,0.16416359
1500.00000000,0.33489662,0.29851950,0.30387809,0.16829747
1530.00000000,0.33562806,0.30551969,0.31035569,0.16955150
1560.00000000,0.34256373,0.30950991,0.31672812,0.17410497
1590.00000000,0.34293971,0.31650211,0.32027899,0.17792227
1620.00000000,0.34497580,0.32697931,0.32526786,0.18137451
1650.00000000,0.34750058,0.33606425,0.32590050,0.18730203
1680.00000000,0.35303424,0.34695104,0.32852105,0.19003461
1710.00000000,0.35915012,0.35813600,0.32939440,0.19423034
1740.00000000,0.36867527,0.36998370,0.33093556,0.19501172
1770.00000000,0.37066018,0.37441269,0.33170119,0.19822143
1800.00000000,0.38014827,0.38195311,0.33471787,0.19929045
1830.00000000,0.38552721,0.38520240,0.33821001,0.20065295
1860.00000000,0.38567518,0.38717054,0.33962833,0.20389144
1890.00000000,0.38755786,0.38971872,0.34445479,0.20428705
1920.00000000,0.38932356,0.39563110,0.34812914,0.20475938
1950.00000000,0.39269442,0.39943727,0.34885549,0.20505042
1980.00000000,0.39902703,0.40729808,0.35015532,0.20527880
2010.00000000,0.41076411,0.41400283,0.35087659,0.20958988
2040.00000000,0.41905813,0.42072995,0.35227146,0.20976191
2070.00000000,0.42619261,0.42653047,0.35364921,0.21247361
2100.00000000,0.42631465,0.42773276,0.35408597,0.21311708
