times, G0G1_phase_csse, S_phase_csse, G2_phase_csse, M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00019152,0.00002824,0.00000012,0.00006685
60.00000000,0.00020097,0.00036098,0.00000231,0.00025419
90.00000000,0.00023554,0.00079074,0.00002118,0.00075000
120.00000000,0.00071522,0.00324857,0.00009365,0.00111719
150.00000000,0.00140903,0.00343030,0.00067644,0.00124446
180.00000000,0.00263579,0.00353752,0.00143690,0.00125291
210.00000000,0.00365145,0.00367306,0.00195030,0.00125882
240.00000000,0.00442248,0.00372066,0.00233621,0.00126032
270.00000000,0.00588937,0.00372157,0.00386824,0.00126356
300.00000000,0.00749191,0.00372895,0.00502250,0.00127473
330.00000000,0.00963433,0.00381339,0.00584258,0.00134630
360.00000000,0.01080462,0.00395701,0.00668358,0.00164193
390.00000000,0.01156093,0.00410934,0.00757173,0.00174276
420.00000000,0.01240734,0.00412435,0.00837658,0.00176390
450.00000000,0.01388454,0.00417252,0.00917657,0.00205597
480.00000000,0.01553882,0.00419755,0.00976827,0.00251187
510.00000000,0.01721163,0.00420137,0.01006162,0.00298794
540.00000000,0.01768769,0.00421544,0.01047381,0.00301569
570.00000000,0.01773104,0.00422414,0.01052507,0.00302132
600.00000000,0.01776811,0.00450779,0.01073706,0.00309140
630.00000000,0.01776972,0.00482038,0.01079778,0.00316575
660.00000000,0.01852320,0.00544447,0.01079983,0.00316682
690.00000000,0.01908426,0.00570978,0.01085276,0.00316683
720.00000000,0.01908483,0.00571280,0.01085492,0.00316788
750.00000000,0.01909306,0.00575958,0.01087056,0.00323070
780.00000000,0.01922186,0.00584451,0.01091285,0.00324979
810.00000000,0.01927490,0.00584495,0.01094473,0.00325074
840.00000000,0.01937140,0.00591574,0.01100130,0.00333050
870.00000000,0.01938091,0.00605743,0.01108353,0.00336554
900.00000000,0.01956789,0.00641732,0.01108379,0.00339925
930.00000000,0.01966388,0.00648280,0.01124701,0.00352180
960.00000000,0.02068847,0.00680143,0.01210835,0.00375253
990.00000000,0.02170891,0.00702108,0.01309127,0.00395496
1020.00000000,0.02258098,0.00702110,0.01415853,0.00396574
1050.00000000,0.02410076,0.00706694,0.01487322,0.00399577
1080.00000000,0.02530797,0.00721503,0.01502866,0.00409795
1110.00000000,0.02555810,0.00730355,0.01502985,0.00412618
1140.00000000,0.02631816,0.00749457,0.01516066,0.00413152
1170.00000000,0.02642332,0.00779660,0.01585484,0.00413318
1200.00000000,0.02654327,0.00846901,0.01690725,0.00415291
1230.00000000,0.02675271,0.00915148,0.01703549,0.00415302
1260.00000000,0.02684638,0.00954616,0.01710604,0.00415622
1290.00000000,0.02687537,0.00955220,0.01711576,0.00417853
1320.00000000,0.02689134,0.00955493,0.01716258,0.00417996
1350.00000000,0.02704828,0.00956062,0.01728385,0.00419516
1380.00000000,0.02717948,0.00956992,0.01741593,0.00420423
1410.00000000,0.02749563,0.00957346,0.01753690,0.00427928
1440.00000000,0.02749572,0.00966618,0.01754626,0.00431866
1470.00000000,0.02766336,0.00982191,0.01755435,0.00432964
1500.00000000,0.02781697,0.01003443,0.01767443,0.00440662
1530.00000000,0.02795952,0.01041199,0.01779048,0.00441739
1560.00000000,0.02796248,0.01051088,0.01782707,0.00442213
1590.00000000,0.02799871,0.01059447,0.01783461,0.00442227
1620.00000000,0.02801210,0.01059481,0.01784748,0.00442270
1650.00000000,0.02803948,0.01059565,0.01784895,0.00443232
1680.00000000,0.02806864,0.01061565,0.01785010,0.00443632
1710.00000000,0.02808462,0.01063939,0.01785568,0.00443853
1740.00000000,0.02810936,0.01063939,0.01785618,0.00445678
1770.00000000,0.02823304,0.01097638,0.01802526,0.00449003
1800.00000000,0.02823352,0.01107029,0.01819038,0.00449612
1830.00000000,0.02834752,0.01131101,0.01824723,0.00450341
1860.00000000,0.02836566,0.01135759,0.01824998,0.00450424
1890.00000000,0.02836786,0.01136964,0.01825003,0.00453094
1920.00000000,0.02849680,0.01145383,0.01830449,0.00462232
1950.00000000,0.02850446,0.01166661,0.01848172,0.00462456
1980.00000000,0.02850557,0.01172938,0.01865827,0.00464314
2010.00000000,0.02852839,0.01174130,0.01871070,0.00471650
2040.00000000,0.02861859,0.01178049,0.01873472,0.00471927
2070.00000000,0.02866010,0.01178312,0.01877454,0.00472234
2100.00000000,0.02881369,0.01185276,0.01877530,0.00474655
2130.00000000,0.02881994,0.01185609,0.01877720,0.00475077
2160.00000000,0.02882016,0.01190183,0.01878350,0.00477310
2190.00000000,0.02883094,0.01198017,0.01882894,0.00480219
2220.00000000,0.02892198,0.01202924,0.01897310,0.00482280
2250.00000000,0.02904668,0.01203654,0.01904764,0.00485021
2280.00000000,0.02905567,0.01208955,0.01915302,0.00485021
2310.00000000,0.02905674,0.01222389,0.01933706,0.00485110
2340.00000000,0.02906495,0.01238438,0.01946609,0.00485352
2370.00000000,0.02917229,0.01246572,0.01946883,0.00486250
2400.00000000,0.02932632,0.01268264,0.01949435,0.00486998
2430.00000000,0.02938589,0.01292787,0.01952938,0.00487407
2460.00000000,0.02941755,0.01314573,0.01960128,0.00487450
2490.00000000,0.02941835,0.01326725,0.01968061,0.00487599
2520.00000000,0.02941859,0.01330481,0.01968284,0.00490226
2550.00000000,0.02946213,0.01336822,0.01968564,0.00490235
2580.00000000,0.02946270,0.01337528,0.01969826,0.00490237
2610.00000000,0.02946278,0.01343590,0.01971596,0.00491733
2640.00000000,0.02946704,0.01345140,0.01971747,0.00494011
2670.00000000,0.02954911,0.01368876,0.01972935,0.00494852
2700.00000000,0.02963623,0.01398247,0.01973451,0.00497914
2730.00000000,0.02979842,0.01426235,0.01973888,0.00501617
2760.00000000,0.03044952,0.01468096,0.01974918,0.00508449
2790.00000000,0.03058996,0.01489199,0.01976905,0.00508767
2820.00000000,0.03062162,0.01492761,0.01979458,0.00510987
2850.00000000,0.03062583,0.01493783,0.01980558,0.00511458
2880.00000000,0.03068462,0.01497822,0.01981432,0.00513280
2910.00000000,0.03078324,0.01501600,0.01983031,0.00513285
2940.00000000,0.03083089,0.01504269,0.01986884,0.00515283
2970.00000000,0.03089544,0.01509119,0.01987045,0.00515287
3000.00000000,0.03092226,0.01510665,0.01987068,0.00515587
3030.00000000,0.03092592,0.01514291,0.01992485,0.00516644
3060.00000000,0.03093751,0.01522654,0.02004170,0.00519213
3090.00000000,0.03094087,0.01524175,0.02013048,0.00520576
3120.00000000,0.03094959,0.01526686,0.02021210,0.00520690
3150.00000000,0.03109926,0.01526728,0.02036533,0.00520716
3180.00000000,0.03119011,0.01528264,0.02053571,0.00520731
3210.00000000,0.03119343,0.01537759,0.02075331,0.00521746
3240.00000000,0.03128083,0.01540702,0.02099477,0.00521805
3270.00000000,0.03143118,0.01544179,0.02119231,0.00523489
3300.00000000,0.03147981,0.01551612,0.02144315,0.00523495
3330.00000000,0.03148139,0.01575299,0.02159899,0.00523767
3360.00000000,0.03154863,0.01590268,0.02174133,0.00530999
3390.00000000,0.03154926,0.01605732,0.02175100,0.00541241
3420.00000000,0.03169083,0.01639502,0.02179331,0.00541241
3450.00000000,0.03185858,0.01664351,0.02179977,0.00541248
3480.00000000,0.03191340,0.01684518,0.02183323,0.00541350
3510.00000000,0.03191996,0.01695269,0.02185516,0.00542327
3540.00000000,0.03216734,0.01728010,0.02185943,0.00544292
3570.00000000,0.03241139,0.01747571,0.02189530,0.00546187
3600.00000000,0.03269157,0.01771334,0.02190749,0.00546657
