times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00379191,0.00441212,0.00062022
60.00000000,0.00786043,0.00949472,0.00163430
90.00000000,0.01032339,0.01083953,0.00544207
120.00000000,0.01335333,0.01196913,0.00960162
150.00000000,0.01404919,0.01976807,0.01670470
180.00000000,0.02736552,0.03096711,0.01882198
210.00000000,0.03581939,0.03873138,0.01951158
240.00000000,0.04792372,0.04912804,0.02121926
270.00000000,0.05017351,0.05086447,0.02173262
300.00000000,0.05044237,0.05135296,0.02248996
330.00000000,0.06047027,0.05579246,0.02807834
360.00000000,0.06060572,0.05822751,0.03064885
390.00000000,0.06422798,0.05873183,0.03477544
420.00000000,0.06998661,0.06321056,0.03605534
450.00000000,0.08515231,0.06486196,0.05287245
480.00000000,0.09335812,0.06525414,0.06147043
510.00000000,0.10536308,0.06897126,0.06975827
540.00000000,0.10927362,0.07273166,0.06990842
570.00000000,0.11441008,0.07674213,0.07103441
600.00000000,0.12154210,0.08190666,0.07300190
630.00000000,0.12777030,0.08355118,0.08087461
660.00000000,0.12823793,0.08611783,0.08390890
690.00000000,0.13363276,0.08997752,0.08544404
720.00000000,0.14942721,0.10488422,0.08633179
750.00000000,0.15837067,0.11760606,0.09011017
780.00000000,0.15855797,0.12363481,0.09595161
810.00000000,0.15916661,0.12798483,0.09969298
840.00000000,0.17071607,0.13355572,0.10567156
870.00000000,0.17709588,0.13400730,0.11159979
900.00000000,0.18151491,0.13452577,0.11653728
930.00000000,0.19059011,0.13967836,0.12045990
960.00000000,0.20641046,0.15426255,0.12169604
990.00000000,0.22635130,0.16620258,0.12969686
1020.00000000,0.25302195,0.18131730,0.14125278
1050.00000000,0.26566367,0.18809308,0.14711873
1080.00000000,0.27260826,0.19416412,0.14799227
1110.00000000,0.27884336,0.20095204,0.14854510
1140.00000000,0.28396459,0.20470584,0.14991254
1170.00000000,0.28747121,0.21121362,0.15291370
1200.00000000,0.29102533,0.22264222,0.16078818
1230.00000000,0.30107290,0.23387997,0.16197837
1260.00000000,0.30667913,0.23890732,0.16255725
1290.00000000,0.31327015,0.24574184,0.16280075
1320.00000000,0.31593332,0.24765626,0.16737833
1350.00000000,0.31827369,0.24770890,0.16966606
1380.00000000,0.31833819,0.24868780,0.17070946
1410.00000000,0.31988533,0.25364337,0.17411788
1440.00000000,0.32288965,0.25524579,0.17872461
1470.00000000,0.32650047,0.25641023,0.18117101
1500.00000000,0.32972747,0.26059733,0.18213112
1530.00000000,0.33149671,0.26238328,0.18214783
1560.00000000,0.33491048,0.26391559,0.18402930
1590.00000000,0.34132855,0.26949621,0.18486675
1620.00000000,0.34273374,0.27071686,0.18505130
1650.00000000,0.34308460,0.27124302,0.18592831
1680.00000000,0.34465555,0.27175364,0.18800988
1710.00000000,0.35404061,0.27468860,0.19445998
1740.00000000,0.36036389,0.28073898,0.19473289
1770.00000000,0.36632632,0.28737796,0.19540942
1800.00000000,0.37482547,0.29568445,0.19560207
1830.00000000,0.38208400,0.30299237,0.19565146
1860.00000000,0.38761727,0.30662449,0.19755263
1890.00000000,0.39051484,0.30670489,0.20053061
1920.00000000,0.39075724,0.30900518,0.20258849
1950.00000000,0.39742500,0.31347956,0.20478186
1980.00000000,0.40434254,0.31488983,0.21028913
2010.00000000,0.41493850,0.32016101,0.21561391
2040.00000000,0.42571979,0.32178618,0.22477003
2070.00000000,0.42804072,0.32197817,0.22728296
2100.00000000,0.42941444,0.32367047,0.22760155
2130.00000000,0.43268333,0.32376782,0.23077309
2160.00000000,0.43754163,0.32402253,0.23537669
2190.00000000,0.44163339,0.32444750,0.23904349
2220.00000000,0.44276575,0.32735831,0.24308666
2250.00000000,0.44530364,0.33343454,0.24662499
2280.00000000,0.44863122,0.33604621,0.24734091
2310.00000000,0.44903577,0.33882116,0.24971132
2340.00000000,0.45170553,0.34541306,0.25363347
2370.00000000,0.45223971,0.34838406,0.25713864
2400.00000000,0.45471414,0.35465689,0.26093706
2430.00000000,0.45547071,0.36090104,0.26642463
2460.00000000,0.46015401,0.36946716,0.27030746
2490.00000000,0.46018180,0.37421077,0.27507884
2520.00000000,0.46186713,0.38077109,0.28332451
2550.00000000,0.46675527,0.38794083,0.29538237
2580.00000000,0.47264274,0.39395232,0.30728133
2610.00000000,0.47367157,0.40466494,0.31902279
2640.00000000,0.47427297,0.41596660,0.32972306
2670.00000000,0.47581905,0.42262570,0.33792822
2700.00000000,0.47773538,0.43108583,0.34447203
2730.00000000,0.48035320,0.44043383,0.35120221
2760.00000000,0.48371503,0.44855442,0.35596097
2790.00000000,0.48622754,0.45167631,0.36159537
2820.00000000,0.49181187,0.45254561,0.36631039
2850.00000000,0.49676596,0.45398988,0.37270876
2880.00000000,0.50524208,0.45682144,0.37835332
2910.00000000,0.51370716,0.46156445,0.38207539
2940.00000000,0.51843806,0.46399140,0.38437933
2970.00000000,0.52342557,0.46448793,0.38986337
3000.00000000,0.53159751,0.46720553,0.39531773
3030.00000000,0.53299249,0.47060791,0.40011509
3060.00000000,0.53529676,0.47671372,0.40391662
3090.00000000,0.53784061,0.48364146,0.40830052
3120.00000000,0.53806417,0.48752723,0.41196273
3150.00000000,0.54103004,0.48953687,0.41693823
3180.00000000,0.54163490,0.49337802,0.42138425
3210.00000000,0.54442787,0.49890451,0.42411778
3240.00000000,0.54825567,0.50667141,0.42805688
3270.00000000,0.55506737,0.51320825,0.42833173
3300.00000000,0.56173947,0.51860176,0.42961033
3330.00000000,0.56493088,0.52254638,0.43036354
3360.00000000,0.56699642,0.52588420,0.43163582
3390.00000000,0.57028152,0.53192450,0.43439102
3420.00000000,0.57246334,0.53731403,0.43759873
3450.00000000,0.57443684,0.54049857,0.44275676
3480.00000000,0.57687533,0.54144479,0.44614148
3510.00000000,0.57735659,0.54345143,0.44766687
3540.00000000,0.57979032,0.54775914,0.44954084
3570.00000000,0.58054076,0.55073719,0.45326933
3600.00000000,0.58333856,0.55243438,0.45776431
