times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.01442431,0.01364193,0.00078238
60.00000000,0.02771207,0.02422145,0.00349063
90.00000000,0.03950604,0.03297650,0.00652955
120.00000000,0.05028712,0.04296356,0.00732357
150.00000000,0.05827834,0.04420048,0.01407786
180.00000000,0.06732198,0.05411677,0.01495051
210.00000000,0.08134041,0.06468373,0.01840197
240.00000000,0.08155439,0.06476336,0.01869558
270.00000000,0.08452504,0.06903135,0.02593422
300.00000000,0.08668256,0.07398004,0.03304043
330.00000000,0.09561640,0.07750968,0.03844466
360.00000000,0.11530039,0.09091968,0.04471864
390.00000000,0.12902853,0.10280614,0.04656032
420.00000000,0.14484126,0.11438898,0.05079022
450.00000000,0.15402924,0.12414703,0.05136029
480.00000000,0.16093949,0.13500933,0.05531232
510.00000000,0.17343681,0.14414571,0.05867326
540.00000000,0.18266290,0.14675430,0.06529076
570.00000000,0.18358583,0.15087665,0.07033605
600.00000000,0.18476377,0.15496534,0.07560269
630.00000000,0.18738203,0.15523874,0.07849434
660.00000000,0.19156814,0.15852861,0.07939058
690.00000000,0.20254326,0.16621030,0.08268401
720.00000000,0.21091136,0.17580546,0.08391107
750.00000000,0.22167021,0.18469164,0.08578374
780.00000000,0.23270247,0.18662291,0.09488473
810.00000000,0.23394790,0.19553324,0.10254963
840.00000000,0.24640824,0.20996875,0.10452479
870.00000000,0.26437801,0.22235110,0.11011221
900.00000000,0.28503277,0.23770785,0.11541022
930.00000000,0.30079118,0.25197171,0.11690476
960.00000000,0.31407275,0.26420090,0.11795714
990.00000000,0.32348808,0.27172532,0.11984805
1020.00000000,0.32793781,0.27515676,0.12086634
1050.00000000,0.32968855,0.27997850,0.12393733
1080.00000000,0.33182520,0.28095803,0.12509445
1110.00000000,0.33362428,0.28416650,0.12650386
1140.00000000,0.33602831,0.28732562,0.12725895
1170.00000000,0.33743268,0.28755815,0.12889585
1200.00000000,0.34537289,0.29097969,0.13341452
1230.00000000,0.34928366,0.29333937,0.13496559
1260.00000000,0.34970014,0.29409318,0.13530293
1290.00000000,0.35020622,0.29426892,0.13563327
1320.00000000,0.35678986,0.29933835,0.13714750
1350.00000000,0.35991322,0.30606997,0.14075575
1380.00000000,0.36244404,0.31148484,0.14870143
1410.00000000,0.36880185,0.31329999,0.15687439
1440.00000000,0.37686610,0.31640018,0.16803885
1470.00000000,0.38852503,0.32055053,0.18384812
1500.00000000,0.39251839,0.32690319,0.19419415
1530.00000000,0.39605224,0.33233411,0.20315893
1560.00000000,0.40026733,0.34104565,0.20765538
1590.00000000,0.40841021,0.35451359,0.21298043
1620.00000000,0.41792532,0.37106612,0.22001784
1650.00000000,0.42800210,0.38088751,0.22027323
1680.00000000,0.43386854,0.39241668,0.22593596
1710.00000000,0.43548960,0.40239955,0.23429777
1740.00000000,0.44286372,0.41621485,0.24073895
1770.00000000,0.45185835,0.42882090,0.24435037
1800.00000000,0.45487294,0.43680832,0.24932320
1830.00000000,0.46745784,0.45046688,0.25039688
1860.00000000,0.47590833,0.45992786,0.25140736
1890.00000000,0.48991032,0.46979322,0.25554399
1920.00000000,0.50291196,0.47464999,0.26368886
1950.00000000,0.50776706,0.47540468,0.26778925
1980.00000000,0.51515778,0.47820019,0.27238447
