times, G0G1_phase_csse, S_phase_csse, G2M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00000033,0.00000041,0.00000148
60.00000000,0.00010262,0.00010705,0.00000153
90.00000000,0.00013381,0.00012037,0.00000528
120.00000000,0.00033509,0.00017708,0.00004959
150.00000000,0.00037592,0.00020795,0.00005028
180.00000000,0.00051667,0.00025475,0.00007551
210.00000000,0.00088633,0.00046838,0.00009677
240.00000000,0.00131583,0.00080227,0.00010278
270.00000000,0.00182358,0.00093651,0.00022262
300.00000000,0.00202943,0.00096126,0.00059599
330.00000000,0.00234186,0.00096345,0.00085837
360.00000000,0.00247655,0.00107926,0.00135866
390.00000000,0.00248270,0.00135630,0.00172442
420.00000000,0.00248537,0.00184354,0.00228635
450.00000000,0.00253113,0.00229088,0.00249330
480.00000000,0.00273393,0.00296729,0.00263176
510.00000000,0.00332257,0.00374152,0.00264446
540.00000000,0.00376662,0.00414846,0.00264527
570.00000000,0.00388391,0.00431650,0.00264982
600.00000000,0.00395262,0.00441502,0.00265250
630.00000000,0.00405826,0.00462756,0.00267099
660.00000000,0.00435903,0.00485812,0.00267564
690.00000000,0.00471233,0.00499219,0.00272773
720.00000000,0.00502849,0.00531582,0.00272778
750.00000000,0.00510571,0.00543755,0.00273282
780.00000000,0.00513163,0.00544145,0.00274254
810.00000000,0.00517982,0.00545122,0.00284391
840.00000000,0.00520291,0.00554606,0.00305543
870.00000000,0.00520296,0.00556872,0.00308034
900.00000000,0.00524656,0.00572985,0.00311744
930.00000000,0.00532608,0.00616114,0.00325786
960.00000000,0.00562430,0.00674247,0.00330467
990.00000000,0.00578164,0.00702785,0.00332359
1020.00000000,0.00593381,0.00711282,0.00333331
1050.00000000,0.00635461,0.00717164,0.00349829
1080.00000000,0.00657739,0.00718659,0.00385147
1110.00000000,0.00660607,0.00719616,0.00392285
1140.00000000,0.00663512,0.00729628,0.00394416
1170.00000000,0.00674430,0.00737906,0.00394598
1200.00000000,0.00687179,0.00743307,0.00396152
1230.00000000,0.00704564,0.00756208,0.00396486
1260.00000000,0.00729158,0.00760910,0.00404275
1290.00000000,0.00768371,0.00769299,0.00415602
1320.00000000,0.00812847,0.00777423,0.00430184
1350.00000000,0.00855120,0.00786175,0.00442741
1380.00000000,0.00889885,0.00786412,0.00471996
1410.00000000,0.00913658,0.00788022,0.00485007
1440.00000000,0.00927974,0.00788033,0.00500118
1470.00000000,0.00933406,0.00792138,0.00519100
1500.00000000,0.00947995,0.00792381,0.00530165
1530.00000000,0.00950678,0.00796392,0.00543420
1560.00000000,0.00951206,0.00807077,0.00559387
1590.00000000,0.00951801,0.00821374,0.00568446
1620.00000000,0.00956043,0.00836066,0.00571592
1650.00000000,0.00961231,0.00853564,0.00575222
1680.00000000,0.00961321,0.00856971,0.00579825
1710.00000000,0.00961438,0.00862841,0.00584152
1740.00000000,0.00961800,0.00870305,0.00588691
1770.00000000,0.00962911,0.00870902,0.00592027
1800.00000000,0.00963319,0.00870919,0.00592621
1830.00000000,0.00966599,0.00870960,0.00595206
1860.00000000,0.00969861,0.00871741,0.00602441
1890.00000000,0.00972026,0.00875049,0.00613265
1920.00000000,0.00972030,0.00891373,0.00630117
1950.00000000,0.00972548,0.00905975,0.00650736
1980.00000000,0.00989866,0.00907282,0.00678876
2010.00000000,0.00998802,0.00907336,0.00689253
2040.00000000,0.01005413,0.00910989,0.00709345
2070.00000000,0.01007901,0.00915234,0.00722579
2100.00000000,0.01008108,0.00925209,0.00729886
2130.00000000,0.01008130,0.00932532,0.00736428
2160.00000000,0.01008460,0.00947142,0.00755757
2190.00000000,0.01008588,0.00968021,0.00773500
2220.00000000,0.01011457,0.00980219,0.00776735
2250.00000000,0.01013727,0.00986642,0.00777791
2280.00000000,0.01019384,0.00992446,0.00777792
2310.00000000,0.01020478,0.00992446,0.00778908
2340.00000000,0.01023359,0.00992509,0.00781000
2370.00000000,0.01027036,0.00999903,0.00781643
2400.00000000,0.01038105,0.01010771,0.00781644
2430.00000000,0.01050292,0.01020844,0.00781744
2460.00000000,0.01057722,0.01025165,0.00782163
2490.00000000,0.01067655,0.01027345,0.00784970
2520.00000000,0.01074684,0.01027395,0.00793231
2550.00000000,0.01075642,0.01027456,0.00794735
2580.00000000,0.01075771,0.01030557,0.00799235
2610.00000000,0.01075929,0.01035484,0.00806083
2640.00000000,0.01077605,0.01042870,0.00808109
2670.00000000,0.01078567,0.01046326,0.00808880
2700.00000000,0.01080308,0.01048992,0.00808978
2730.00000000,0.01092540,0.01051486,0.00812657
2760.00000000,0.01094401,0.01051568,0.00813817
2790.00000000,0.01094403,0.01052616,0.00814959
2820.00000000,0.01094581,0.01053460,0.00815205
2850.00000000,0.01094722,0.01055903,0.00818964
2880.00000000,0.01095006,0.01061010,0.00821946
2910.00000000,0.01096235,0.01066374,0.00823404
2940.00000000,0.01096823,0.01075167,0.00828238
2970.00000000,0.01096979,0.01081366,0.00832626
3000.00000000,0.01097108,0.01083392,0.00833758
3030.00000000,0.01097113,0.01083394,0.00833758
3060.00000000,0.01097406,0.01084278,0.00833917
3090.00000000,0.01097564,0.01084372,0.00833926
3120.00000000,0.01097564,0.01085026,0.00834541
3150.00000000,0.01098131,0.01086638,0.00834808
3180.00000000,0.01100254,0.01089371,0.00834846
3210.00000000,0.01103651,0.01090552,0.00835418
3240.00000000,0.01105218,0.01093562,0.00835651
3270.00000000,0.01106290,0.01095120,0.00835697
3300.00000000,0.01106680,0.01096765,0.00836129
3330.00000000,0.01106825,0.01096977,0.00836136
3360.00000000,0.01106957,0.01097058,0.00836142
3390.00000000,0.01106963,0.01097259,0.00836278
3420.00000000,0.01110777,0.01097735,0.00837873
3450.00000000,0.01111009,0.01097748,0.00838228
3480.00000000,0.01111230,0.01097771,0.00838329
3510.00000000,0.01111729,0.01097953,0.00839613
3540.00000000,0.01111734,0.01099754,0.00841221
3570.00000000,0.01111970,0.01102069,0.00842294
3600.00000000,0.01112300,0.01103263,0.00842563
