times, G0G1_phase_csse, S_phase_csse, G2M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00000471,0.00000506,0.00000001
60.00000000,0.00036103,0.00070081,0.00005626
90.00000000,0.00057647,0.00108089,0.00007948
120.00000000,0.00076009,0.00124091,0.00008029
150.00000000,0.00096265,0.00145157,0.00008037
180.00000000,0.00097404,0.00145646,0.00011158
210.00000000,0.00124886,0.00145661,0.00039926
240.00000000,0.00127719,0.00146752,0.00047366
270.00000000,0.00165738,0.00147301,0.00076795
300.00000000,0.00192569,0.00148302,0.00094263
330.00000000,0.00246719,0.00149192,0.00163187
360.00000000,0.00308232,0.00151369,0.00203734
390.00000000,0.00337776,0.00162880,0.00281671
420.00000000,0.00385029,0.00164244,0.00314227
450.00000000,0.00400426,0.00175381,0.00366950
480.00000000,0.00417954,0.00238256,0.00380958
510.00000000,0.00431809,0.00283798,0.00390116
540.00000000,0.00445746,0.00289694,0.00391819
570.00000000,0.00453582,0.00293796,0.00415096
600.00000000,0.00467897,0.00294006,0.00426152
630.00000000,0.00501995,0.00295910,0.00446039
660.00000000,0.00567100,0.00296016,0.00505995
690.00000000,0.00590873,0.00307408,0.00574076
720.00000000,0.00598391,0.00309854,0.00592613
750.00000000,0.00598983,0.00361376,0.00655783
780.00000000,0.00641684,0.00523812,0.00694353
810.00000000,0.00715938,0.00717310,0.00722372
840.00000000,0.00776038,0.00913290,0.00761395
870.00000000,0.00805447,0.01118756,0.00840802
900.00000000,0.00909560,0.01273819,0.00845859
930.00000000,0.00947671,0.01349022,0.00852102
960.00000000,0.00950761,0.01382982,0.00868665
990.00000000,0.00981880,0.01427181,0.00869810
1020.00000000,0.01037600,0.01476646,0.00869996
1050.00000000,0.01042911,0.01537970,0.00900538
1080.00000000,0.01048377,0.01564865,0.00908649
1110.00000000,0.01060303,0.01683247,0.00963809
1140.00000000,0.01096970,0.01848141,0.01009856
1170.00000000,0.01245585,0.02012202,0.01010238
1200.00000000,0.01300117,0.02109784,0.01016457
1230.00000000,0.01402363,0.02175664,0.01020437
1260.00000000,0.01456309,0.02206001,0.01023812
1290.00000000,0.01497285,0.02239186,0.01024222
1320.00000000,0.01564518,0.02271859,0.01030390
1350.00000000,0.01583747,0.02295734,0.01030641
1380.00000000,0.01597279,0.02309546,0.01030643
1410.00000000,0.01638042,0.02354529,0.01030747
1440.00000000,0.01651798,0.02381429,0.01032930
1470.00000000,0.01691945,0.02520918,0.01062899
1500.00000000,0.01723214,0.02619165,0.01081562
1530.00000000,0.01725149,0.02660433,0.01106894
1560.00000000,0.01725275,0.02685905,0.01128900
1590.00000000,0.01725494,0.02704378,0.01143572
1620.00000000,0.01744494,0.02705007,0.01156283
1650.00000000,0.01754228,0.02705617,0.01171497
1680.00000000,0.01756253,0.02708499,0.01181237
1710.00000000,0.01789719,0.02716662,0.01189810
1740.00000000,0.01827389,0.02718374,0.01213131
1770.00000000,0.01834036,0.02718437,0.01221141
1800.00000000,0.01836241,0.02723877,0.01221859
1830.00000000,0.01841981,0.02734746,0.01222670
1860.00000000,0.01865042,0.02774704,0.01224978
1890.00000000,0.01868505,0.02788797,0.01228562
1920.00000000,0.01868661,0.02788993,0.01229264
1950.00000000,0.01869282,0.02797006,0.01233435
1980.00000000,0.01878380,0.02802340,0.01233935
2010.00000000,0.01913524,0.02851750,0.01235147
2040.00000000,0.01915889,0.02873379,0.01244838
2070.00000000,0.01918428,0.02878160,0.01245190
2100.00000000,0.01918699,0.02878414,0.01245190
2130.00000000,0.01919888,0.02878731,0.01247924
2160.00000000,0.01924075,0.02878872,0.01250715
2190.00000000,0.01924977,0.02880065,0.01250735
2220.00000000,0.01925754,0.02882848,0.01257238
2250.00000000,0.01936955,0.02882859,0.01267776
2280.00000000,0.01938817,0.02895992,0.01292663
2310.00000000,0.01939067,0.02907731,0.01301226
2340.00000000,0.01940956,0.02920816,0.01306257
2370.00000000,0.01941072,0.02922297,0.01308683
2400.00000000,0.01943148,0.02928241,0.01309678
2430.00000000,0.01944461,0.02928629,0.01309952
2460.00000000,0.01946157,0.02929764,0.01315558
2490.00000000,0.01946179,0.02931146,0.01316609
2520.00000000,0.01953999,0.02931982,0.01320150
2550.00000000,0.01956613,0.02932050,0.01323676
2580.00000000,0.01963512,0.02932387,0.01327861
2610.00000000,0.01966141,0.02932419,0.01331094
2640.00000000,0.01967311,0.02934420,0.01331205
2670.00000000,0.01970757,0.02934499,0.01333685
2700.00000000,0.01982052,0.02936662,0.01337258
2730.00000000,0.02014580,0.02943332,0.01346997
2760.00000000,0.02020642,0.02945426,0.01348027
2790.00000000,0.02021845,0.02946117,0.01348098
2820.00000000,0.02023497,0.02946128,0.01349491
2850.00000000,0.02034263,0.02951111,0.01350592
2880.00000000,0.02036305,0.02951163,0.01353342
2910.00000000,0.02037243,0.02962132,0.01358833
2940.00000000,0.02038601,0.02972817,0.01363257
2970.00000000,0.02039591,0.02977347,0.01373011
3000.00000000,0.02039625,0.02983710,0.01380344
3030.00000000,0.02044547,0.02987025,0.01396659
3060.00000000,0.02048028,0.02991548,0.01412599
3090.00000000,0.02053753,0.02994104,0.01428530
3120.00000000,0.02054302,0.03001157,0.01440068
3150.00000000,0.02054638,0.03006696,0.01443215
3180.00000000,0.02059472,0.03006709,0.01447555
3210.00000000,0.02060733,0.03006908,0.01450015
3240.00000000,0.02067542,0.03010510,0.01450521
3270.00000000,0.02071228,0.03013522,0.01450555
3300.00000000,0.02071834,0.03013873,0.01450590
3330.00000000,0.02072322,0.03020037,0.01453774
3360.00000000,0.02084400,0.03045378,0.01456203
3390.00000000,0.02087882,0.03051890,0.01456673
3420.00000000,0.02087993,0.03052443,0.01456841
3450.00000000,0.02092957,0.03059551,0.01457033
3480.00000000,0.02099295,0.03061545,0.01458256
3510.00000000,0.02106605,0.03063153,0.01460316
3540.00000000,0.02111434,0.03064110,0.01461803
3570.00000000,0.02113528,0.03065970,0.01461810
3600.00000000,0.02113646,0.03066448,0.01461931
