times, Ki67_negative_absolute_error, Ki67_positive_premitotic_absolute_error, Ki67_positive_postmitotic_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00462548,0.00606838,0.00144289
60.00000000,0.00860761,0.01312118,0.00451356
90.00000000,0.01108005,0.01951096,0.01337577
120.00000000,0.01600603,0.02233853,0.02112932
150.00000000,0.02296717,0.02321570,0.02721327
180.00000000,0.03365728,0.02734804,0.03377104
210.00000000,0.04181072,0.02852000,0.04309645
240.00000000,0.05052545,0.02932695,0.05100423
270.00000000,0.06054159,0.03103283,0.06272625
300.00000000,0.06435000,0.03486017,0.07036201
330.00000000,0.06620066,0.03746989,0.07482238
360.00000000,0.06757820,0.03816419,0.07689422
390.00000000,0.06956502,0.03869226,0.07835296
420.00000000,0.07416671,0.04062446,0.08102245
450.00000000,0.07450918,0.04613016,0.08687062
480.00000000,0.07613236,0.05192608,0.09428972
510.00000000,0.07645965,0.05333512,0.09602606
540.00000000,0.07965109,0.05618359,0.09636904
570.00000000,0.08261150,0.06327285,0.10049789
600.00000000,0.08856486,0.07318923,0.10446091
630.00000000,0.09150154,0.08208332,0.11041832
660.00000000,0.10056564,0.09245502,0.11172591
690.00000000,0.11158496,0.10200869,0.11319156
720.00000000,0.12228848,0.10796029,0.11794349
750.00000000,0.13196685,0.11686860,0.11871356
780.00000000,0.13789948,0.12151933,0.11999545
810.00000000,0.13847135,0.12629900,0.12534699
840.00000000,0.14240510,0.13260348,0.12771771
870.00000000,0.14736408,0.13263916,0.13264102
900.00000000,0.15238172,0.13388495,0.13641287
930.00000000,0.15830559,0.13618001,0.14004167
960.00000000,0.16318318,0.13988748,0.14862673
990.00000000,0.16874168,0.14210556,0.15640331
1020.00000000,0.17667990,0.14880717,0.17104316
1050.00000000,0.18087433,0.15800949,0.18443991
1080.00000000,0.19101619,0.16622606,0.20279832
1110.00000000,0.19648052,0.17531669,0.21735328
1140.00000000,0.19810517,0.18487012,0.22853136
1170.00000000,0.20002113,0.19223522,0.23781242
1200.00000000,0.20327800,0.20137071,0.25020478
1230.00000000,0.20633515,0.21352977,0.26542099
1260.00000000,0.20733875,0.22641718,0.27730481
1290.00000000,0.20823157,0.23847747,0.28847228
1320.00000000,0.20950483,0.24971023,0.29843178
1350.00000000,0.21156709,0.26172475,0.30838405
1380.00000000,0.21166168,0.26878386,0.31553775
1410.00000000,0.21196839,0.27745063,0.32389780
1440.00000000,0.21408309,0.28617880,0.33051128
1470.00000000,0.21465872,0.29226004,0.33716815
1500.00000000,0.21768743,0.29795503,0.33983441
1530.00000000,0.22483477,0.29992828,0.34500848
1560.00000000,0.22635098,0.30361450,0.35021091
1590.00000000,0.22723901,0.30936717,0.35685161
1620.00000000,0.22913238,0.31727126,0.36286232
1650.00000000,0.23287318,0.32161368,0.36346394
1680.00000000,0.23862592,0.32834209,0.36443961
1710.00000000,0.24331299,0.33482503,0.36623547
1740.00000000,0.24632494,0.33654720,0.36752525
1770.00000000,0.24664760,0.33956699,0.37022237
1800.00000000,0.24734520,0.34202435,0.37198214
1830.00000000,0.24794908,0.34259558,0.37315725
1860.00000000,0.25003563,0.34508756,0.37356269
1890.00000000,0.25249586,0.34997114,0.37598602
1920.00000000,0.25417193,0.35032868,0.37801963
1950.00000000,0.25443066,0.35295729,0.38090697
1980.00000000,0.25908793,0.35566302,0.38826996
2010.00000000,0.25918075,0.35829091,0.39080503
2040.00000000,0.25955025,0.36472223,0.39760585
2070.00000000,0.25986025,0.36969828,0.40227190
2100.00000000,0.26168647,0.37640385,0.40715125
2130.00000000,0.26500341,0.38132578,0.40875625
2160.00000000,0.26743289,0.38225604,0.41025547
2190.00000000,0.26970521,0.38478683,0.41051395
