times, Ki67_negative_absolute_error, Ki67_positive_premitotic_absolute_error, Ki67_positive_postmitotic_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.01764507,0.01642003,0.00122505
60.00000000,0.04983134,0.04447259,0.00535874
90.00000000,0.07045669,0.05978042,0.01067626
120.00000000,0.07807600,0.07006124,0.01333777
150.00000000,0.07977666,0.07098987,0.01596708
180.00000000,0.08416804,0.08562780,0.02621363
210.00000000,0.08585496,0.08819890,0.02709780
240.00000000,0.10342650,0.09005619,0.04281204
270.00000000,0.11350967,0.09401431,0.05685333
300.00000000,0.13562526,0.09958773,0.08454234
330.00000000,0.14883267,0.10390760,0.10206962
360.00000000,0.15109740,0.10742978,0.10785652
390.00000000,0.17004699,0.10788430,0.12635159
420.00000000,0.18531579,0.11946812,0.13003657
450.00000000,0.19287066,0.12042092,0.13854424
480.00000000,0.20183389,0.13087931,0.15796586
510.00000000,0.20213421,0.13709080,0.16387702
540.00000000,0.21320513,0.14201918,0.17001957
570.00000000,0.21939351,0.15075384,0.18494261
600.00000000,0.22799280,0.15927219,0.20206025
630.00000000,0.22974463,0.16346386,0.20800374
660.00000000,0.23267674,0.17081885,0.21242661
690.00000000,0.23328078,0.18823224,0.23044406
720.00000000,0.23702113,0.19256090,0.23851308
750.00000000,0.23741897,0.20060141,0.24615574
780.00000000,0.24350929,0.20946513,0.24892915
810.00000000,0.24853790,0.21906821,0.25350361
840.00000000,0.25399509,0.22254531,0.26243790
870.00000000,0.25958132,0.22579364,0.27127245
900.00000000,0.26377817,0.22902787,0.27870353
930.00000000,0.27624487,0.23214011,0.29428247
960.00000000,0.28352967,0.23924928,0.30867644
990.00000000,0.28864167,0.25196866,0.32650783
1020.00000000,0.29010911,0.25250116,0.32850776
1050.00000000,0.29459741,0.26037767,0.34087258
1080.00000000,0.29877662,0.27341876,0.34973447
1110.00000000,0.30983933,0.29012845,0.35538144
1140.00000000,0.31885806,0.32158797,0.37782223
1170.00000000,0.33176173,0.34106138,0.38439198
1200.00000000,0.34426948,0.36209525,0.39291809
1230.00000000,0.36372551,0.38072022,0.39374915
1260.00000000,0.39000560,0.40786851,0.39461736
1290.00000000,0.41647047,0.43592009,0.39620406
1320.00000000,0.44794174,0.46937617,0.39818886
1350.00000000,0.46506966,0.49313054,0.40481531
1380.00000000,0.48313342,0.51998799,0.41360899
1410.00000000,0.50198035,0.54628433,0.42105839
1440.00000000,0.52464469,0.57585078,0.42796052
1470.00000000,0.54188745,0.59957568,0.43444265
1500.00000000,0.55681002,0.61923512,0.43917953
1530.00000000,0.57951062,0.64005382,0.44106142
1560.00000000,0.59733484,0.65376714,0.44517233
1590.00000000,0.60291612,0.65595639,0.44856435
1620.00000000,0.60740039,0.65835762,0.45544985
1650.00000000,0.61272225,0.66044923,0.45868010
1680.00000000,0.62027218,0.66072421,0.46595504
1710.00000000,0.62250719,0.67458703,0.48205287
1740.00000000,0.62554161,0.68960627,0.49403768
1770.00000000,0.62639515,0.70503016,0.51031512
1800.00000000,0.63178509,0.71543133,0.51532636
1830.00000000,0.63562604,0.72728140,0.52333547
1860.00000000,0.64727309,0.74702165,0.53142866
1890.00000000,0.66651737,0.77170955,0.53687228
1920.00000000,0.68524487,0.79267400,0.53910923
1950.00000000,0.69865308,0.80547135,0.53972010
1980.00000000,0.71399131,0.81507896,0.54545072
2010.00000000,0.72867381,0.82063215,0.55458003
2040.00000000,0.73524690,0.82261858,0.55916669
2070.00000000,0.73792259,0.82545351,0.56467731
2100.00000000,0.73799932,0.82736452,0.56651159
2130.00000000,0.74251562,0.83715575,0.57178652
2160.00000000,0.74306688,0.84358812,0.57766764
2190.00000000,0.74691196,0.84926793,0.58719253
2220.00000000,0.75183679,0.84932453,0.59217395
2250.00000000,0.75711911,0.85306327,0.60119501
2280.00000000,0.77102367,0.85799744,0.61016540
2310.00000000,0.78043539,0.86624552,0.61132904
2340.00000000,0.78319532,0.86984965,0.61217324
2370.00000000,0.78630232,0.87906102,0.61827762
2400.00000000,0.79097517,0.89046750,0.62501126
2430.00000000,0.79367979,0.89984611,0.63168523
2460.00000000,0.79422206,0.90726711,0.63964850
2490.00000000,0.79527520,0.91546254,0.64889707
2520.00000000,0.79640795,0.91922616,0.65152794
2550.00000000,0.79796915,0.92508150,0.65582209
2580.00000000,0.80057742,0.92969167,0.65782399
2610.00000000,0.80066960,0.93302773,0.66106789
2640.00000000,0.80145607,0.93383407,0.66108776
2670.00000000,0.80510018,0.93446295,0.66536076
2700.00000000,0.80762470,0.93447234,0.66789465
2730.00000000,0.80781086,0.93579048,0.66939895
2760.00000000,0.80847894,0.93635392,0.67063048
2790.00000000,0.81181594,0.93694169,0.67337971
2820.00000000,0.81332932,0.93772209,0.67567347
2850.00000000,0.81396620,0.93833693,0.67692520
2880.00000000,0.81447466,0.94064424,0.67872406
2910.00000000,0.81776718,0.94615245,0.68093974
2940.00000000,0.82231460,0.94943220,0.68220742
2970.00000000,0.82286118,0.94971925,0.68304105
3000.00000000,0.82301823,0.95092365,0.68440249
3030.00000000,0.83323830,0.95292925,0.69662816
3060.00000000,0.83911372,0.95819128,0.70776561
3090.00000000,0.84059616,0.96967897,0.72073574
3120.00000000,0.84211730,0.98189091,0.73142654
3150.00000000,0.84612197,0.99375320,0.73928415
3180.00000000,0.85250646,1.00228334,0.74142981
3210.00000000,0.85821916,1.00516673,0.74425911
3240.00000000,0.86207568,1.00584547,0.74743690
3270.00000000,0.86984116,1.00901466,0.75837157
3300.00000000,0.87358932,1.01328287,0.76638794
3330.00000000,0.87505245,1.01822558,0.76986751
3360.00000000,0.87581552,1.01939253,0.77179753
3390.00000000,0.87634875,1.02351499,0.77538677
3420.00000000,0.87684181,1.02527730,0.77764215
3450.00000000,0.87736272,1.02668029,0.77956605
3480.00000000,0.87858466,1.02907816,0.78074198
3510.00000000,0.88120234,1.03317097,0.78745247
3540.00000000,0.88491512,1.03406180,0.79205607
3570.00000000,0.88563117,1.03564408,0.79292230
3600.00000000,0.88682309,1.03912747,0.79759762
