times, Ki67_negative_csse, Ki67_positive_premitotic_csse, Ki67_positive_postmitotic_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00002794,0.00008905,0.00001723
60.00000000,0.00002819,0.00008915,0.00001789
90.00000000,0.00003367,0.00009833,0.00001837
120.00000000,0.00003414,0.00013429,0.00006302
150.00000000,0.00003654,0.00013817,0.00006319
180.00000000,0.00003721,0.00013851,0.00006514
210.00000000,0.00013037,0.00028062,0.00007029
240.00000000,0.00019824,0.00042875,0.00008575
270.00000000,0.00042573,0.00057569,0.00009452
300.00000000,0.00073217,0.00072090,0.00012428
330.00000000,0.00096482,0.00114028,0.00015159
360.00000000,0.00135915,0.00139090,0.00016781
390.00000000,0.00152617,0.00149843,0.00017433
420.00000000,0.00157472,0.00158809,0.00018058
450.00000000,0.00157531,0.00162123,0.00022318
480.00000000,0.00157635,0.00166730,0.00025646
510.00000000,0.00157640,0.00170065,0.00029228
540.00000000,0.00158321,0.00182331,0.00036393
570.00000000,0.00162261,0.00208304,0.00046074
600.00000000,0.00166057,0.00222015,0.00049152
630.00000000,0.00173813,0.00226829,0.00049501
660.00000000,0.00178677,0.00227909,0.00050861
690.00000000,0.00178696,0.00228716,0.00051436
720.00000000,0.00180816,0.00230108,0.00058384
750.00000000,0.00184052,0.00230445,0.00064048
780.00000000,0.00184086,0.00235243,0.00069680
810.00000000,0.00184191,0.00235244,0.00069769
840.00000000,0.00184383,0.00237120,0.00073035
870.00000000,0.00186780,0.00237145,0.00075956
900.00000000,0.00187814,0.00239395,0.00076189
930.00000000,0.00188435,0.00240137,0.00078908
960.00000000,0.00189810,0.00251413,0.00099433
990.00000000,0.00198560,0.00251422,0.00107620
1020.00000000,0.00199316,0.00251462,0.00108762
1050.00000000,0.00199510,0.00251578,0.00108771
1080.00000000,0.00199688,0.00251603,0.00108841
1110.00000000,0.00200307,0.00252402,0.00111664
1140.00000000,0.00200327,0.00252552,0.00111945
1170.00000000,0.00203300,0.00258449,0.00112441
1200.00000000,0.00209077,0.00260004,0.00113778
1230.00000000,0.00211780,0.00260327,0.00114937
1260.00000000,0.00215286,0.00260377,0.00119327
1290.00000000,0.00216612,0.00260505,0.00121607
1320.00000000,0.00217106,0.00261086,0.00121610
1350.00000000,0.00219490,0.00261108,0.00124470
1380.00000000,0.00223297,0.00264637,0.00124475
1410.00000000,0.00223750,0.00265318,0.00124498
1440.00000000,0.00224608,0.00265357,0.00125765
1470.00000000,0.00225846,0.00266550,0.00130627
1500.00000000,0.00227652,0.00268898,0.00130662
1530.00000000,0.00228046,0.00272718,0.00132422
1560.00000000,0.00228088,0.00272771,0.00132611
1590.00000000,0.00228091,0.00272871,0.00132746
1620.00000000,0.00228578,0.00272912,0.00133559
1650.00000000,0.00228806,0.00272997,0.00134151
1680.00000000,0.00229056,0.00274961,0.00137764
1710.00000000,0.00229841,0.00276107,0.00141595
1740.00000000,0.00231266,0.00280056,0.00151712
1770.00000000,0.00234155,0.00282935,0.00163247
1800.00000000,0.00239948,0.00282961,0.00169839
1830.00000000,0.00244205,0.00283758,0.00171209
1860.00000000,0.00246961,0.00287174,0.00171245
1890.00000000,0.00248744,0.00287241,0.00172404
1920.00000000,0.00248754,0.00287836,0.00173160
1950.00000000,0.00249162,0.00288243,0.00173160
1980.00000000,0.00249524,0.00288313,0.00173912
2010.00000000,0.00251538,0.00288808,0.00178417
2040.00000000,0.00252723,0.00295237,0.00191553
2070.00000000,0.00258747,0.00295244,0.00197974
2100.00000000,0.00258767,0.00296097,0.00199114
2130.00000000,0.00259351,0.00296163,0.00199371
2160.00000000,0.00262129,0.00296228,0.00203066
2190.00000000,0.00262467,0.00299722,0.00209070
2220.00000000,0.00263108,0.00299864,0.00210457
2250.00000000,0.00263216,0.00308384,0.00220999
2280.00000000,0.00264134,0.00317707,0.00225389
2310.00000000,0.00265762,0.00329513,0.00230055
2340.00000000,0.00265763,0.00341614,0.00241917
2370.00000000,0.00267944,0.00366802,0.00254463
2400.00000000,0.00275079,0.00390981,0.00259508
2430.00000000,0.00285951,0.00407349,0.00260068
2460.00000000,0.00292320,0.00412695,0.00260113
2490.00000000,0.00295145,0.00415788,0.00260119
2520.00000000,0.00298775,0.00420355,0.00260172
2550.00000000,0.00300506,0.00424495,0.00260690
2580.00000000,0.00303544,0.00426818,0.00260738
2610.00000000,0.00306698,0.00428262,0.00261067
2640.00000000,0.00307328,0.00428457,0.00261192
2670.00000000,0.00307568,0.00429090,0.00261285
2700.00000000,0.00307573,0.00429124,0.00261299
2730.00000000,0.00307707,0.00429186,0.00261313
2760.00000000,0.00307739,0.00429973,0.00262453
2790.00000000,0.00307888,0.00433542,0.00267631
2820.00000000,0.00309883,0.00440069,0.00268936
2850.00000000,0.00312165,0.00449463,0.00271353
2880.00000000,0.00315905,0.00458193,0.00272395
2910.00000000,0.00322327,0.00460535,0.00273402
2940.00000000,0.00327594,0.00462266,0.00274361
2970.00000000,0.00330463,0.00462272,0.00276961
3000.00000000,0.00331127,0.00462763,0.00276974
3030.00000000,0.00331617,0.00462904,0.00277080
3060.00000000,0.00331899,0.00462987,0.00277139
3090.00000000,0.00331900,0.00462991,0.00277147
3120.00000000,0.00332406,0.00466038,0.00283185
3150.00000000,0.00332409,0.00471256,0.00288615
3180.00000000,0.00332504,0.00479790,0.00295436
3210.00000000,0.00332566,0.00483082,0.00299690
3240.00000000,0.00332742,0.00486205,0.00301507
3270.00000000,0.00332838,0.00486340,0.00301510
3300.00000000,0.00332855,0.00486764,0.00301783
3330.00000000,0.00333238,0.00486769,0.00302266
3360.00000000,0.00333525,0.00486813,0.00302818
3390.00000000,0.00333577,0.00487216,0.00302984
3420.00000000,0.00333592,0.00488338,0.00304388
3450.00000000,0.00334031,0.00492378,0.00306203
3480.00000000,0.00334038,0.00497561,0.00311755
3510.00000000,0.00334252,0.00500464,0.00316450
3540.00000000,0.00334280,0.00502640,0.00318159
3570.00000000,0.00335064,0.00504470,0.00318377
3600.00000000,0.00335091,0.00504475,0.00318386
