times, Ki67_negative_csse, Ki67_positive_premitotic_csse, Ki67_positive_postmitotic_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00001364,0.00000023,0.00001036
60.00000000,0.00003643,0.00004094,0.00013478
90.00000000,0.00011977,0.00047223,0.00027023
120.00000000,0.00018360,0.00048568,0.00040608
150.00000000,0.00019563,0.00049231,0.00044261
180.00000000,0.00022852,0.00099535,0.00072129
210.00000000,0.00029712,0.00195637,0.00226443
240.00000000,0.00030989,0.00199697,0.00227226
270.00000000,0.00072390,0.00274229,0.00232060
300.00000000,0.00072400,0.00284384,0.00241616
330.00000000,0.00074826,0.00378507,0.00307940
360.00000000,0.00113250,0.00479358,0.00322714
390.00000000,0.00154914,0.00555154,0.00327783
420.00000000,0.00181282,0.00555187,0.00356035
450.00000000,0.00253734,0.00557563,0.00404619
480.00000000,0.00260116,0.00573297,0.00446777
510.00000000,0.00260121,0.00577146,0.00450363
540.00000000,0.00260892,0.00578905,0.00455222
570.00000000,0.00263498,0.00594828,0.00460868
600.00000000,0.00278328,0.00596206,0.00468037
630.00000000,0.00279318,0.00614556,0.00478855
660.00000000,0.00288281,0.00625607,0.00518775
690.00000000,0.00290362,0.00672928,0.00588021
720.00000000,0.00302119,0.00712076,0.00681833
750.00000000,0.00304069,0.00716575,0.00682358
780.00000000,0.00305054,0.00731828,0.00706346
810.00000000,0.00306254,0.00771159,0.00760620
840.00000000,0.00330163,0.00947390,0.00830937
870.00000000,0.00398166,0.01129134,0.00858341
900.00000000,0.00524940,0.01317419,0.00864404
930.00000000,0.00711896,0.01534798,0.00865550
960.00000000,0.00812367,0.01648611,0.00865966
990.00000000,0.00971393,0.01716053,0.00885310
1020.00000000,0.01048332,0.01767778,0.00887805
1050.00000000,0.01062277,0.01769266,0.00912349
1080.00000000,0.01064118,0.01820726,0.00985117
1110.00000000,0.01087828,0.01912408,0.01007261
1140.00000000,0.01195400,0.02065561,0.01011277
1170.00000000,0.01315802,0.02137038,0.01017619
1200.00000000,0.01466377,0.02172327,0.01057693
1230.00000000,0.01536741,0.02186422,0.01079167
1260.00000000,0.01548649,0.02193464,0.01116431
1290.00000000,0.01549348,0.02196368,0.01122886
1320.00000000,0.01557394,0.02196472,0.01129205
1350.00000000,0.01558784,0.02198651,0.01136254
1380.00000000,0.01561990,0.02201466,0.01148282
1410.00000000,0.01562755,0.02202243,0.01148282
1440.00000000,0.01562797,0.02206667,0.01153611
1470.00000000,0.01565853,0.02207281,0.01160022
1500.00000000,0.01568491,0.02252161,0.01229301
1530.00000000,0.01578333,0.02292839,0.01319838
1560.00000000,0.01607077,0.02345514,0.01479079
1590.00000000,0.01638630,0.02453621,0.01735548
1620.00000000,0.01638768,0.02536415,0.01811720
1650.00000000,0.01640958,0.02559992,0.01823118
1680.00000000,0.01651370,0.02560387,0.01829870
1710.00000000,0.01677172,0.02560423,0.01853775
1740.00000000,0.01679597,0.02560865,0.01858710
1770.00000000,0.01679674,0.02563198,0.01860274
1800.00000000,0.01697448,0.02566272,0.01866338
1830.00000000,0.01714385,0.02566635,0.01878678
1860.00000000,0.01714673,0.02567136,0.01878707
1890.00000000,0.01714855,0.02568018,0.01880571
1920.00000000,0.01732203,0.02589927,0.01880837
1950.00000000,0.01735476,0.02590942,0.01881480
1980.00000000,0.01746736,0.02591110,0.01890152
2010.00000000,0.01767653,0.02597042,0.01894723
2040.00000000,0.01798616,0.02619677,0.01895374
2070.00000000,0.01802280,0.02626173,0.01895777
2100.00000000,0.01802925,0.02627548,0.01895913
2130.00000000,0.01805013,0.02628687,0.01896056
2160.00000000,0.01828701,0.02632099,0.01941133
2190.00000000,0.01840736,0.02642425,0.01985790
2220.00000000,0.01840929,0.02662467,0.02009962
2250.00000000,0.01842360,0.02667665,0.02011137
2280.00000000,0.01843869,0.02669061,0.02011139
2310.00000000,0.01855104,0.02669483,0.02018441
2340.00000000,0.01863843,0.02670367,0.02022505
2370.00000000,0.01876202,0.02673977,0.02051835
2400.00000000,0.01881850,0.02682276,0.02079474
2430.00000000,0.01896311,0.02706801,0.02156126
2460.00000000,0.01906070,0.02710047,0.02180386
2490.00000000,0.01909800,0.02711721,0.02180792
2520.00000000,0.01911109,0.02719803,0.02196688
2550.00000000,0.01918058,0.02722109,0.02213949
2580.00000000,0.01930643,0.02726530,0.02216038
2610.00000000,0.01950067,0.02741659,0.02216306
2640.00000000,0.01969387,0.02756728,0.02216569
2670.00000000,0.01983124,0.02765445,0.02217138
2700.00000000,0.01993505,0.02768809,0.02219064
2730.00000000,0.01995783,0.02768959,0.02222663
2760.00000000,0.02000055,0.02769210,0.02229254
2790.00000000,0.02000055,0.02770951,0.02231002
2820.00000000,0.02001245,0.02782181,0.02250734
2850.00000000,0.02010911,0.02782242,0.02262004
2880.00000000,0.02010945,0.02785651,0.02266131
2910.00000000,0.02010973,0.02786479,0.02267291
2940.00000000,0.02012432,0.02786573,0.02269586
2970.00000000,0.02022450,0.02788603,0.02290652
3000.00000000,0.02026403,0.02788625,0.02294036
3030.00000000,0.02030272,0.02792242,0.02309006
