times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.01203242
60.00000000,0.04348940
90.00000000,0.06129785
120.00000000,0.07580567
150.00000000,0.08866827
180.00000000,0.09452353
210.00000000,0.10260598
240.00000000,0.12999731
270.00000000,0.20125641
300.00000000,0.27536317
330.00000000,0.31516076
360.00000000,0.35676096
390.00000000,0.42802756
420.00000000,0.48907840
450.00000000,0.51397207
480.00000000,0.52922527
510.00000000,0.53570124
540.00000000,0.53967722
570.00000000,0.54919994
600.00000000,0.56407033
630.00000000,0.57976856
660.00000000,0.59344061
690.00000000,0.61767499
720.00000000,0.61929444
750.00000000,0.62676477
780.00000000,0.63111119
810.00000000,0.63614560
840.00000000,0.63630523
870.00000000,0.64684757
900.00000000,0.66445770
930.00000000,0.68890733
960.00000000,0.70541881
990.00000000,0.71143184
1020.00000000,0.71798624
1050.00000000,0.72997665
1080.00000000,0.73280179
1110.00000000,0.73556702
1140.00000000,0.74523164
1170.00000000,0.74857398
1200.00000000,0.75139380
1230.00000000,0.75883973
1260.00000000,0.76563446
1290.00000000,0.76563955
1320.00000000,0.77374669
1350.00000000,0.78097527
1380.00000000,0.78384083
1410.00000000,0.79851785
1440.00000000,0.80605256
1470.00000000,0.82245064
1500.00000000,0.84365485
1530.00000000,0.84766126
1560.00000000,0.86937554
1590.00000000,0.89345139
1620.00000000,0.91520776
1650.00000000,0.92516186
1680.00000000,0.94036218
1710.00000000,0.96598481
1740.00000000,0.99246005
1770.00000000,1.02153024
1800.00000000,1.04787292
1830.00000000,1.07747098
1860.00000000,1.10464921
1890.00000000,1.13529094
1920.00000000,1.16506994
1950.00000000,1.19852562
1980.00000000,1.22296034
2010.00000000,1.23901916
2040.00000000,1.25966077
2070.00000000,1.27644471
2100.00000000,1.29050894
2130.00000000,1.30043454
2160.00000000,1.31444985
2190.00000000,1.33330009
2220.00000000,1.35750766
2250.00000000,1.38051469
2280.00000000,1.41156796
2310.00000000,1.45000218
2340.00000000,1.47508641
2370.00000000,1.48888363
2400.00000000,1.49857081
2430.00000000,1.50427972
2460.00000000,1.50764358
2490.00000000,1.51387137
2520.00000000,1.52131773
2550.00000000,1.52902653
2580.00000000,1.53866321
2610.00000000,1.55444701
2640.00000000,1.57090845
2670.00000000,1.58724274
2700.00000000,1.59389498
2730.00000000,1.61488400
2760.00000000,1.63161071
2790.00000000,1.64722711
2820.00000000,1.66094195
2850.00000000,1.67177776
2880.00000000,1.68902434
2910.00000000,1.69950636
2940.00000000,1.70933524
2970.00000000,1.71156576
3000.00000000,1.71607865
3030.00000000,1.72076371
3060.00000000,1.72582905
3090.00000000,1.73023073
3120.00000000,1.73790521
3150.00000000,1.74064700
3180.00000000,1.74819117
3210.00000000,1.74947894
3240.00000000,1.75010629
3270.00000000,1.75240439
3300.00000000,1.76034210
3330.00000000,1.76409684
3360.00000000,1.76705307
3390.00000000,1.76946745
3420.00000000,1.77290573
3450.00000000,1.77561289
3480.00000000,1.78014332
3510.00000000,1.78189658
3540.00000000,1.78208977
3570.00000000,1.78582323
3600.00000000,1.78838558
