times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.00005861
60.00000000,0.00351544
90.00000000,0.00618108
120.00000000,0.00969478
150.00000000,0.01431696
180.00000000,0.02489453
210.00000000,0.02749544
240.00000000,0.02971234
270.00000000,0.03911915
300.00000000,0.05130284
330.00000000,0.06632555
360.00000000,0.08254613
390.00000000,0.10411645
420.00000000,0.12826563
450.00000000,0.14584226
480.00000000,0.15739797
510.00000000,0.15904546
540.00000000,0.16655996
570.00000000,0.16992158
600.00000000,0.17084639
630.00000000,0.18144891
660.00000000,0.19056601
690.00000000,0.20530216
720.00000000,0.22386094
750.00000000,0.24564626
780.00000000,0.26769167
810.00000000,0.27775033
840.00000000,0.28781260
870.00000000,0.30430177
900.00000000,0.32207831
930.00000000,0.33377694
960.00000000,0.34913786
990.00000000,0.35851081
1020.00000000,0.37269304
1050.00000000,0.39436857
1080.00000000,0.40570423
1110.00000000,0.42476349
1140.00000000,0.44635132
1170.00000000,0.46550308
1200.00000000,0.48160903
1230.00000000,0.48378399
1260.00000000,0.48612429
1290.00000000,0.49163626
1320.00000000,0.49287799
1350.00000000,0.49726854
1380.00000000,0.50043903
1410.00000000,0.50256575
1440.00000000,0.50424812
1470.00000000,0.50804208
1500.00000000,0.50903033
1530.00000000,0.51206024
1560.00000000,0.51220268
1590.00000000,0.51639906
1620.00000000,0.51962780
1650.00000000,0.52152290
1680.00000000,0.52305062
1710.00000000,0.52338936
1740.00000000,0.52776556
1770.00000000,0.53307564
1800.00000000,0.54358202
1830.00000000,0.55151453
1860.00000000,0.55321722
1890.00000000,0.55942588
1920.00000000,0.56803375
1950.00000000,0.56812014
1980.00000000,0.56957854
2010.00000000,0.57389772
2040.00000000,0.57483052
2070.00000000,0.57890825
2100.00000000,0.58554779
2130.00000000,0.58923751
2160.00000000,0.59267673
2190.00000000,0.59846616
2220.00000000,0.60427178
2250.00000000,0.60488581
2280.00000000,0.60841474
2310.00000000,0.61097512
2340.00000000,0.61119219
2370.00000000,0.61403732
2400.00000000,0.61550550
2430.00000000,0.61842046
2460.00000000,0.61979906
2490.00000000,0.62069675
2520.00000000,0.62321963
2550.00000000,0.62525900
2580.00000000,0.62896197
2610.00000000,0.63409399
2640.00000000,0.63553648
2670.00000000,0.63677867
2700.00000000,0.63859934
2730.00000000,0.64161046
2760.00000000,0.64329190
2790.00000000,0.64660609
2820.00000000,0.65104938
2850.00000000,0.65348562
2880.00000000,0.65407350
2910.00000000,0.65509128
2940.00000000,0.65587960
2970.00000000,0.65614753
3000.00000000,0.65801394
3030.00000000,0.66124937
3060.00000000,0.66695211
3090.00000000,0.67379320
3120.00000000,0.67629185
3150.00000000,0.67765942
3180.00000000,0.67930784
3210.00000000,0.68497031
3240.00000000,0.69167745
3270.00000000,0.69906990
3300.00000000,0.70534042
3330.00000000,0.70973576
3360.00000000,0.71261934
3390.00000000,0.71431946
3420.00000000,0.71476135
3450.00000000,0.71551181
3480.00000000,0.71628934
3510.00000000,0.71689123
3540.00000000,0.71913411
3570.00000000,0.72352756
3600.00000000,0.73202903
