times, tumor_cell_fraction_error
720.00000000,0.00405894
750.00000000,0.01022740
780.00000000,0.01128612
810.00000000,0.01369432
840.00000000,0.01412510
870.00000000,0.01864148
900.00000000,0.02378195
930.00000000,0.03190526
960.00000000,0.03604482
990.00000000,0.04685809
1020.00000000,0.05822384
1050.00000000,0.07025735
1080.00000000,0.07900325
1110.00000000,0.08806645
1140.00000000,0.09437538
1170.00000000,0.10120318
1200.00000000,0.10862955
1230.00000000,0.11593486
1260.00000000,0.11746210
1290.00000000,0.12458655
1320.00000000,0.13008750
1350.00000000,0.13345050
1380.00000000,0.13706615
1410.00000000,0.13874378
1440.00000000,0.14149996
1470.00000000,0.14746204
1500.00000000,0.14977380
1530.00000000,0.15145192
1560.00000000,0.15362639
1590.00000000,0.15549749
1620.00000000,0.15883545
1650.00000000,0.16181759
1680.00000000,0.16279573
1710.00000000,0.16580098
1740.00000000,0.17098308
1770.00000000,0.17876221
1800.00000000,0.18445204
1830.00000000,0.19073381
1860.00000000,0.19879455
1890.00000000,0.20426572
1920.00000000,0.20509171
1950.00000000,0.20734381
1980.00000000,0.21049347
2010.00000000,0.21468828
2040.00000000,0.21854670
2070.00000000,0.22001293
2100.00000000,0.22254230
2130.00000000,0.22465444
2160.00000000,0.22478395
2190.00000000,0.22558978
2220.00000000,0.22559449
2250.00000000,0.22672568
2280.00000000,0.22875567
2310.00000000,0.23199226
2340.00000000,0.23883836
2370.00000000,0.24681383
2400.00000000,0.25415182
2430.00000000,0.26039117
2460.00000000,0.26457637
2490.00000000,0.26509972
2520.00000000,0.26591677
2550.00000000,0.26780937
2580.00000000,0.26868477
2610.00000000,0.26896418
2640.00000000,0.27143072
2670.00000000,0.27154847
2700.00000000,0.27510357
2730.00000000,0.27755296
2760.00000000,0.28000803
2790.00000000,0.28027641
2820.00000000,0.28112385
2850.00000000,0.28288608
2880.00000000,0.28399266
2910.00000000,0.28402462
2940.00000000,0.28536246
2970.00000000,0.28639643
3000.00000000,0.28714707
3030.00000000,0.29067387
3060.00000000,0.29285243
3090.00000000,0.29699345
3120.00000000,0.30078513
3150.00000000,0.30252303
3180.00000000,0.30699706
3210.00000000,0.30946189
3240.00000000,0.31304836
3270.00000000,0.31822366
3300.00000000,0.32249540
3330.00000000,0.32687389
3360.00000000,0.33009838
3390.00000000,0.33218643
3420.00000000,0.33381351
3450.00000000,0.33451341
3480.00000000,0.33608339
3510.00000000,0.33899050
3540.00000000,0.34380416
3570.00000000,0.34876462
3600.00000000,0.35274781
