times, tumor_cell_fraction_error
720.00000000,0.02217465
750.00000000,0.04072983
780.00000000,0.05011229
810.00000000,0.05574244
840.00000000,0.06494102
870.00000000,0.07860644
900.00000000,0.08805272
930.00000000,0.10421502
960.00000000,0.13157045
990.00000000,0.16068105
1020.00000000,0.17945431
1050.00000000,0.21043293
1080.00000000,0.22237580
1110.00000000,0.23864625
1140.00000000,0.23869719
1170.00000000,0.23946879
1200.00000000,0.24350085
1230.00000000,0.27135528
1260.00000000,0.31051044
1290.00000000,0.33236980
1320.00000000,0.36289762
1350.00000000,0.39480434
1380.00000000,0.41683471
1410.00000000,0.42631881
1440.00000000,0.43251201
1470.00000000,0.45160575
1500.00000000,0.46903530
1530.00000000,0.47373997
1560.00000000,0.47849823
1590.00000000,0.48831484
1620.00000000,0.49585307
1650.00000000,0.51373753
1680.00000000,0.52223823
1710.00000000,0.52664764
1740.00000000,0.53210454
1770.00000000,0.53638619
1800.00000000,0.55603176
1830.00000000,0.56917840
1860.00000000,0.58022072
1890.00000000,0.58685615
1920.00000000,0.59632016
1950.00000000,0.59829811
1980.00000000,0.60170859
2010.00000000,0.60329524
2040.00000000,0.61054833
2070.00000000,0.63017915
2100.00000000,0.64159340
2130.00000000,0.64299656
2160.00000000,0.64746493
2190.00000000,0.65361406
2220.00000000,0.66263273
2250.00000000,0.66847608
2280.00000000,0.67297266
2310.00000000,0.67418406
2340.00000000,0.67524369
2370.00000000,0.68879997
2400.00000000,0.69065512
2430.00000000,0.69212012
2460.00000000,0.69490421
2490.00000000,0.70345906
2520.00000000,0.70947042
2550.00000000,0.71053225
2580.00000000,0.71070366
2610.00000000,0.71164468
2640.00000000,0.71505535
2670.00000000,0.72010530
2700.00000000,0.72317012
2730.00000000,0.72409439
2760.00000000,0.73787997
2790.00000000,0.74289326
2820.00000000,0.75314236
2850.00000000,0.75864502
2880.00000000,0.76748471
2910.00000000,0.78186677
2940.00000000,0.78321388
2970.00000000,0.78516227
3000.00000000,0.78555365
3030.00000000,0.78724390
3060.00000000,0.79144635
3090.00000000,0.79353515
3120.00000000,0.79674266
3150.00000000,0.79835231
3180.00000000,0.80484542
3210.00000000,0.80597882
3240.00000000,0.81023072
3270.00000000,0.81655416
3300.00000000,0.82381992
3330.00000000,0.82872140
3360.00000000,0.83774708
3390.00000000,0.84356073
3420.00000000,0.84827529
3450.00000000,0.85126013
3480.00000000,0.85842311
3510.00000000,0.86712047
3540.00000000,0.88189832
3570.00000000,0.89881603
3600.00000000,0.91694561
