times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.00014478
60.00000000,0.00113432
90.00000000,0.00145146
120.00000000,0.00166194
150.00000000,0.00182738
180.00000000,0.00186167
210.00000000,0.00192699
240.00000000,0.00267728
270.00000000,0.00775514
300.00000000,0.01324695
330.00000000,0.01483080
360.00000000,0.01656138
390.00000000,0.02164030
420.00000000,0.02536751
450.00000000,0.02598720
480.00000000,0.02621986
510.00000000,0.02626180
540.00000000,0.02627761
570.00000000,0.02636829
600.00000000,0.02658942
630.00000000,0.02683586
660.00000000,0.02702278
690.00000000,0.02761009
720.00000000,0.02761271
750.00000000,0.02766851
780.00000000,0.02768741
810.00000000,0.02771275
840.00000000,0.02771278
870.00000000,0.02782392
900.00000000,0.02813403
930.00000000,0.02873182
960.00000000,0.02900445
990.00000000,0.02904060
1020.00000000,0.02908356
1050.00000000,0.02922733
1080.00000000,0.02923532
1110.00000000,0.02924296
1140.00000000,0.02933637
1170.00000000,0.02934754
1200.00000000,0.02935549
1230.00000000,0.02941093
1260.00000000,0.02945710
1290.00000000,0.02945710
1320.00000000,0.02952283
1350.00000000,0.02957508
1380.00000000,0.02958329
1410.00000000,0.02979870
1440.00000000,0.02985548
1470.00000000,0.03012437
1500.00000000,0.03057399
1530.00000000,0.03059004
1560.00000000,0.03106155
1590.00000000,0.03164120
1620.00000000,0.03211454
1650.00000000,0.03221362
1680.00000000,0.03244467
1710.00000000,0.03310119
1740.00000000,0.03380213
1770.00000000,0.03464721
1800.00000000,0.03534114
1830.00000000,0.03621719
1860.00000000,0.03695584
1890.00000000,0.03789476
1920.00000000,0.03878155
1950.00000000,0.03990083
1980.00000000,0.04049789
2010.00000000,0.04075577
2040.00000000,0.04118185
2070.00000000,0.04146355
2100.00000000,0.04166135
2130.00000000,0.04175987
2160.00000000,0.04195630
2190.00000000,0.04231163
2220.00000000,0.04289764
2250.00000000,0.04342696
2280.00000000,0.04439127
2310.00000000,0.04586845
2340.00000000,0.04649767
2370.00000000,0.04668804
2400.00000000,0.04678188
2430.00000000,0.04681447
2460.00000000,0.04682579
2490.00000000,0.04686457
2520.00000000,0.04692002
2550.00000000,0.04697944
2580.00000000,0.04707231
2610.00000000,0.04732144
2640.00000000,0.04759242
2670.00000000,0.04785923
2700.00000000,0.04790348
2730.00000000,0.04834402
2760.00000000,0.04862380
2790.00000000,0.04886767
2820.00000000,0.04905577
2850.00000000,0.04917318
2880.00000000,0.04947063
2910.00000000,0.04958050
2940.00000000,0.04967711
2970.00000000,0.04968208
3000.00000000,0.04970245
3030.00000000,0.04972440
3060.00000000,0.04975006
3090.00000000,0.04976943
3120.00000000,0.04982833
3150.00000000,0.04983585
3180.00000000,0.04989276
3210.00000000,0.04989442
3240.00000000,0.04989481
3270.00000000,0.04990009
3300.00000000,0.04996310
3330.00000000,0.04997720
3360.00000000,0.04998594
3390.00000000,0.04999177
3420.00000000,0.05000359
3450.00000000,0.05001092
3480.00000000,0.05003144
3510.00000000,0.05003452
3540.00000000,0.05003455
3570.00000000,0.05004849
3600.00000000,0.05005506
