times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.00000149
60.00000000,0.00072097
90.00000000,0.00147278
120.00000000,0.00167616
150.00000000,0.00180195
180.00000000,0.00187660
210.00000000,0.00188135
240.00000000,0.00194981
270.00000000,0.00213368
300.00000000,0.00239800
330.00000000,0.00260165
360.00000000,0.00279056
390.00000000,0.00364162
420.00000000,0.00380294
450.00000000,0.00382930
480.00000000,0.00395579
510.00000000,0.00436245
540.00000000,0.00507259
570.00000000,0.00522720
600.00000000,0.00586756
630.00000000,0.00587625
660.00000000,0.00611112
690.00000000,0.00611848
720.00000000,0.00661020
750.00000000,0.00695449
780.00000000,0.00704252
810.00000000,0.00707422
840.00000000,0.00715884
870.00000000,0.00734558
900.00000000,0.00743481
930.00000000,0.00769603
960.00000000,0.00844435
990.00000000,0.00929178
1020.00000000,0.00964421
1050.00000000,0.01060389
1080.00000000,0.01074652
1110.00000000,0.01101125
1140.00000000,0.01101125
1170.00000000,0.01101185
1200.00000000,0.01102810
1230.00000000,0.01180397
1260.00000000,0.01333710
1290.00000000,0.01381493
1320.00000000,0.01474688
1350.00000000,0.01576492
1380.00000000,0.01625025
1410.00000000,0.01634020
1440.00000000,0.01637856
1470.00000000,0.01674313
1500.00000000,0.01704692
1530.00000000,0.01706905
1560.00000000,0.01709169
1590.00000000,0.01718806
1620.00000000,0.01724488
1650.00000000,0.01756474
1680.00000000,0.01763700
1710.00000000,0.01765644
1740.00000000,0.01768622
1770.00000000,0.01770455
1800.00000000,0.01809050
1830.00000000,0.01826334
1860.00000000,0.01838527
1890.00000000,0.01842930
1920.00000000,0.01851886
1950.00000000,0.01852278
1980.00000000,0.01853441
2010.00000000,0.01853693
2040.00000000,0.01858953
2070.00000000,0.01897490
2100.00000000,0.01910519
2130.00000000,0.01910716
2160.00000000,0.01912712
2190.00000000,0.01916493
2220.00000000,0.01924627
2250.00000000,0.01928042
2280.00000000,0.01930063
2310.00000000,0.01930210
2340.00000000,0.01930322
2370.00000000,0.01948700
2400.00000000,0.01949044
2430.00000000,0.01949259
2460.00000000,0.01950034
2490.00000000,0.01957352
2520.00000000,0.01960966
2550.00000000,0.01961079
2580.00000000,0.01961082
2610.00000000,0.01961170
2640.00000000,0.01962333
2670.00000000,0.01964884
2700.00000000,0.01965823
2730.00000000,0.01965908
2760.00000000,0.01984913
2790.00000000,0.01987426
2820.00000000,0.01997930
2850.00000000,0.02000958
2880.00000000,0.02008772
2910.00000000,0.02029457
2940.00000000,0.02029638
2970.00000000,0.02030018
3000.00000000,0.02030033
3030.00000000,0.02030319
3060.00000000,0.02032085
3090.00000000,0.02032521
3120.00000000,0.02033550
3150.00000000,0.02033809
3180.00000000,0.02038025
3210.00000000,0.02038153
3240.00000000,0.02039961
3270.00000000,0.02043960
3300.00000000,0.02049239
3330.00000000,0.02051641
3360.00000000,0.02059788
3390.00000000,0.02063168
3420.00000000,0.02065390
3450.00000000,0.02066281
3480.00000000,0.02071412
3510.00000000,0.02078976
3540.00000000,0.02100815
3570.00000000,0.02129436
3600.00000000,0.02162304
