times, tumor_cell_fraction_error
720.00000000,0.00034405
750.00000000,0.00034409
780.00000000,0.00041406
810.00000000,0.00066310
840.00000000,0.00127731
870.00000000,0.00156720
900.00000000,0.00190278
930.00000000,0.00191575
960.00000000,0.00196329
990.00000000,0.00199579
1020.00000000,0.00206863
1050.00000000,0.00222743
1080.00000000,0.00275509
1110.00000000,0.00342833
1140.00000000,0.00366978
1170.00000000,0.00368068
1200.00000000,0.00369355
1230.00000000,0.00375744
1260.00000000,0.00383512
1290.00000000,0.00410224
1320.00000000,0.00427606
1350.00000000,0.00442822
1380.00000000,0.00462069
1410.00000000,0.00539486
1440.00000000,0.00674524
1470.00000000,0.00741693
1500.00000000,0.00797535
1530.00000000,0.00833320
1560.00000000,0.00863416
1590.00000000,0.00871851
1620.00000000,0.00879342
1650.00000000,0.00890227
1680.00000000,0.00890456
1710.00000000,0.00890463
1740.00000000,0.00891081
1770.00000000,0.00896209
1800.00000000,0.00897487
1830.00000000,0.00910548
1860.00000000,0.00925629
1890.00000000,0.00955861
1920.00000000,0.00967213
1950.00000000,0.00983565
1980.00000000,0.01010922
2010.00000000,0.01020424
2040.00000000,0.01050627
2070.00000000,0.01069274
2100.00000000,0.01078984
2130.00000000,0.01097384
2160.00000000,0.01097466
2190.00000000,0.01097918
2220.00000000,0.01099298
2250.00000000,0.01106474
2280.00000000,0.01106784
2310.00000000,0.01107080
2340.00000000,0.01107080
2370.00000000,0.01107104
2400.00000000,0.01107160
2430.00000000,0.01107306
2460.00000000,0.01112451
2490.00000000,0.01122440
2520.00000000,0.01128510
2550.00000000,0.01147292
2580.00000000,0.01154041
2610.00000000,0.01164248
2640.00000000,0.01164284
2670.00000000,0.01166508
2700.00000000,0.01169149
2730.00000000,0.01170923
2760.00000000,0.01170928
2790.00000000,0.01172229
2820.00000000,0.01172859
2850.00000000,0.01172879
2880.00000000,0.01173195
2910.00000000,0.01176278
2940.00000000,0.01176704
2970.00000000,0.01177577
3000.00000000,0.01177718
3030.00000000,0.01179723
3060.00000000,0.01181445
3090.00000000,0.01187581
3120.00000000,0.01192951
3150.00000000,0.01194457
3180.00000000,0.01194458
3210.00000000,0.01194473
3240.00000000,0.01194492
3270.00000000,0.01194492
3300.00000000,0.01194507
3330.00000000,0.01195770
3360.00000000,0.01195777
3390.00000000,0.01196014
3420.00000000,0.01196058
3450.00000000,0.01196165
3480.00000000,0.01200613
3510.00000000,0.01205143
3540.00000000,0.01210325
3570.00000000,0.01216826
3600.00000000,0.01228021
