times, tumor_cell_fraction_error
720.00000000,0.00001619
750.00000000,0.00002832
780.00000000,0.00004223
810.00000000,0.00034307
840.00000000,0.00051038
870.00000000,0.00054414
900.00000000,0.00063172
930.00000000,0.00091139
960.00000000,0.00119415
990.00000000,0.00150180
1020.00000000,0.00175411
1050.00000000,0.00205392
1080.00000000,0.00244946
1110.00000000,0.00303130
1140.00000000,0.00325501
1170.00000000,0.00331150
1200.00000000,0.00331624
1230.00000000,0.00332770
1260.00000000,0.00333448
1290.00000000,0.00333929
1320.00000000,0.00334575
1350.00000000,0.00335235
1380.00000000,0.00343069
1410.00000000,0.00343312
1440.00000000,0.00343330
1470.00000000,0.00344787
1500.00000000,0.00345159
1530.00000000,0.00346910
1560.00000000,0.00347091
1590.00000000,0.00347095
1620.00000000,0.00347253
1650.00000000,0.00347410
1680.00000000,0.00349139
1710.00000000,0.00349140
1740.00000000,0.00352651
1770.00000000,0.00356261
1800.00000000,0.00356343
1830.00000000,0.00356534
1860.00000000,0.00357549
1890.00000000,0.00358832
1920.00000000,0.00365087
1950.00000000,0.00374284
1980.00000000,0.00376473
2010.00000000,0.00377349
2040.00000000,0.00377352
2070.00000000,0.00377586
2100.00000000,0.00377590
2130.00000000,0.00377602
2160.00000000,0.00377707
2190.00000000,0.00379254
2220.00000000,0.00381262
2250.00000000,0.00381832
2280.00000000,0.00382160
2310.00000000,0.00382216
2340.00000000,0.00383363
2370.00000000,0.00386599
2400.00000000,0.00387833
2430.00000000,0.00389474
2460.00000000,0.00389515
2490.00000000,0.00389851
2520.00000000,0.00392586
2550.00000000,0.00395869
2580.00000000,0.00396724
2610.00000000,0.00396808
2640.00000000,0.00397321
2670.00000000,0.00399763
2700.00000000,0.00401744
2730.00000000,0.00403086
2760.00000000,0.00403122
2790.00000000,0.00404766
2820.00000000,0.00408199
2850.00000000,0.00415175
2880.00000000,0.00425673
2910.00000000,0.00437458
2940.00000000,0.00441283
2970.00000000,0.00445386
3000.00000000,0.00448783
3030.00000000,0.00453370
3060.00000000,0.00459252
3090.00000000,0.00459330
3120.00000000,0.00459957
3150.00000000,0.00461940
3180.00000000,0.00462239
3210.00000000,0.00462770
3240.00000000,0.00463264
3270.00000000,0.00464766
3300.00000000,0.00464778
3330.00000000,0.00464985
3360.00000000,0.00465047
3390.00000000,0.00465310
3420.00000000,0.00465363
3450.00000000,0.00465681
3480.00000000,0.00467462
3510.00000000,0.00469595
3540.00000000,0.00475749
3570.00000000,0.00481540
3600.00000000,0.00488048
