times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
30.00000000,0.00111564,0.00039394
60.00000000,0.00138817,0.00048254
90.00000000,0.00138823,0.00048281
120.00000000,0.00156602,0.00048657
150.00000000,0.00158691,0.00050137
180.00000000,0.00236951,0.00092732
210.00000000,0.00446189,0.00229769
240.00000000,0.00820011,0.00416502
270.00000000,0.01412063,0.00693008
300.00000000,0.02670282,0.01305302
330.00000000,0.03266065,0.01700182
360.00000000,0.04410397,0.02215644
390.00000000,0.05471503,0.02565329
420.00000000,0.05913981,0.02704527
450.00000000,0.06075484,0.02739372
480.00000000,0.06137455,0.02763273
510.00000000,0.06219231,0.02768155
540.00000000,0.06220151,0.02770117
570.00000000,0.06293852,0.02792349
600.00000000,0.06503042,0.02853597
630.00000000,0.06521331,0.02858223
660.00000000,0.06547857,0.02865154
690.00000000,0.06548323,0.02868539
720.00000000,0.06624619,0.02892113
750.00000000,0.06787962,0.02917283
780.00000000,0.07662236,0.03083623
810.00000000,0.08469646,0.03212284
840.00000000,0.08765098,0.03272056
870.00000000,0.08969588,0.03329678
900.00000000,0.09054015,0.03358210
930.00000000,0.09207072,0.03400682
960.00000000,0.09383899,0.03414293
990.00000000,0.09526804,0.03420032
1020.00000000,0.09711785,0.03420621
1050.00000000,0.10044124,0.03439497
1080.00000000,0.11367218,0.03663425
1110.00000000,0.12037163,0.03771334
1140.00000000,0.12208702,0.03774273
1170.00000000,0.12281854,0.03787681
1200.00000000,0.13069000,0.03869823
1230.00000000,0.13937002,0.03940259
1260.00000000,0.15466968,0.04060873
1290.00000000,0.16112542,0.04075746
1320.00000000,0.16257837,0.04079299
1350.00000000,0.16563949,0.04079786
1380.00000000,0.17894137,0.04110632
1410.00000000,0.18925065,0.04125797
1440.00000000,0.19447217,0.04125815
1470.00000000,0.19575820,0.04133852
1500.00000000,0.19755094,0.04151705
1530.00000000,0.19762186,0.04216016
1560.00000000,0.19792560,0.04291261
1590.00000000,0.19869490,0.04329736
1620.00000000,0.19921071,0.04367852
1650.00000000,0.19921638,0.04441820
1680.00000000,0.20032034,0.04504867
1710.00000000,0.20098450,0.04510413
1740.00000000,0.20105753,0.04519237
1770.00000000,0.20177642,0.04566392
1800.00000000,0.20696087,0.04823378
1830.00000000,0.21168731,0.04956598
1860.00000000,0.21618480,0.05057677
1890.00000000,0.23633459,0.05490759
1920.00000000,0.28777421,0.06559045
1950.00000000,0.31726108,0.07024900
1980.00000000,0.33780454,0.07318111
2010.00000000,0.35558612,0.07506653
2040.00000000,0.38625609,0.07734465
2070.00000000,0.39845319,0.07741610
2100.00000000,0.40158290,0.07817860
2130.00000000,0.40538476,0.07856005
2160.00000000,0.40815758,0.07997660
2190.00000000,0.40830940,0.08275492
2220.00000000,0.41070884,0.08401714
2250.00000000,0.41213312,0.08601700
2280.00000000,0.41596885,0.08756576
2310.00000000,0.43508783,0.08775181
2340.00000000,0.43516128,0.09398009
2370.00000000,0.43527324,0.10409239
2400.00000000,0.43530801,0.11027534
2430.00000000,0.43702147,0.11542658
2460.00000000,0.44205848,0.11933091
2490.00000000,0.44208633,0.12672407
2520.00000000,0.44711758,0.12969397
2550.00000000,0.45706398,0.13220341
2580.00000000,0.47017425,0.13594189
2610.00000000,0.52789164,0.13607619
2640.00000000,0.55638910,0.14036640
2670.00000000,0.57205749,0.14922412
2700.00000000,0.58065636,0.16247057
2730.00000000,0.58843640,0.17611485
2760.00000000,0.58890383,0.20488978
2790.00000000,0.58930773,0.22585987
2820.00000000,0.59094323,0.24948812
2850.00000000,0.59100119,0.26691722
2880.00000000,0.59146363,0.28151445
2910.00000000,0.59689725,0.29891951
2940.00000000,0.60215878,0.31746113
2970.00000000,0.61604988,0.34594861
3000.00000000,0.61614375,0.36293157
3030.00000000,0.61740231,0.37606291
3060.00000000,0.62286611,0.39712898
3090.00000000,0.62374092,0.40940730
3120.00000000,0.62564443,0.41818695
3150.00000000,0.62649507,0.42494798
3180.00000000,0.62774891,0.43273084
3210.00000000,0.63276605,0.45432516
3240.00000000,0.63287449,0.46440836
3270.00000000,0.64055636,0.46955425
3300.00000000,0.66646489,0.47402981
3330.00000000,0.66869214,0.49016963
3360.00000000,0.67265904,0.50541176
3390.00000000,0.67293064,0.53156194
3420.00000000,0.71650628,0.53453570
3450.00000000,0.76592784,0.53744160
3480.00000000,0.78137164,0.54894983
3510.00000000,0.78294761,0.56817722
3540.00000000,0.78565139,0.58844595
3570.00000000,0.82035021,0.59540421
3600.00000000,0.83625360,0.60166168
