times, Ki67_negative_error, Ki67_positive_error
0.00000000,0.00000000,0.00000000
30.00000000,0.00435649,0.00226133
60.00000000,0.01813617,0.01067555
90.00000000,0.02125725,0.01226533
120.00000000,0.02469159,0.01440024
150.00000000,0.02783073,0.01750040
180.00000000,0.02992495,0.02254382
210.00000000,0.03092458,0.02658083
240.00000000,0.03097332,0.02887201
270.00000000,0.03144325,0.03171859
300.00000000,0.03756688,0.03832054
330.00000000,0.05555573,0.05003268
360.00000000,0.05674489,0.05259846
390.00000000,0.05677142,0.05270717
420.00000000,0.05678087,0.05355236
450.00000000,0.05816388,0.05844205
480.00000000,0.06121201,0.06259126
510.00000000,0.06161564,0.06369023
540.00000000,0.07342658,0.06379563
570.00000000,0.07370160,0.06490802
600.00000000,0.10328966,0.06647067
630.00000000,0.14908441,0.06783656
660.00000000,0.17998000,0.06783889
690.00000000,0.18867533,0.07005871
720.00000000,0.19941064,0.07107334
750.00000000,0.21406005,0.07178922
780.00000000,0.21561045,0.07631075
810.00000000,0.22054010,0.09011887
840.00000000,0.23653528,0.11124022
870.00000000,0.23885713,0.12138037
900.00000000,0.24962715,0.14005732
930.00000000,0.26303875,0.15843210
960.00000000,0.26930000,0.17609124
990.00000000,0.26949440,0.18835861
1020.00000000,0.27193414,0.19590818
1050.00000000,0.27556392,0.20332698
1080.00000000,0.28550715,0.21586541
1110.00000000,0.28976689,0.26024053
1140.00000000,0.28980452,0.29623744
1170.00000000,0.29347354,0.32644909
1200.00000000,0.30308581,0.34646371
1230.00000000,0.30840478,0.36479344
1260.00000000,0.31155903,0.38183872
1290.00000000,0.31934778,0.39794778
1320.00000000,0.32211903,0.42025431
1350.00000000,0.33138235,0.44007728
1380.00000000,0.37935927,0.45104838
1410.00000000,0.39551343,0.47191369
1440.00000000,0.39661661,0.50231152
1470.00000000,0.40054202,0.55198856
1500.00000000,0.40824069,0.58817919
1530.00000000,0.45265416,0.60692375
1560.00000000,0.48138701,0.64076402
1590.00000000,0.49859994,0.68199924
1620.00000000,0.50593400,0.74508245
1650.00000000,0.52674475,0.79095935
1680.00000000,0.52863965,0.84937408
1710.00000000,0.58121716,0.88454575
1740.00000000,0.71972026,0.90640551
1770.00000000,0.82542642,0.93737503
1800.00000000,0.87377442,0.98986642
1830.00000000,0.91109533,1.05424151
1860.00000000,0.96624982,1.12582583
1890.00000000,0.98943685,1.20291226
1920.00000000,0.98945231,1.32905419
1950.00000000,1.01598404,1.51290751
1980.00000000,1.02738337,1.70461808
2010.00000000,1.02743644,1.84269685
2040.00000000,1.03808782,1.94444370
2070.00000000,1.08940507,2.00946087
2100.00000000,1.11812073,2.09561137
2130.00000000,1.13119009,2.19604425
2160.00000000,1.13121325,2.33663439
2190.00000000,1.13290014,2.49087159
2220.00000000,1.14413639,2.65263846
2250.00000000,1.14640827,2.78519251
2280.00000000,1.16454817,2.95334613
2310.00000000,1.16564727,3.05982228
2340.00000000,1.17916891,3.14858986
2370.00000000,1.25577010,3.19456323
2400.00000000,1.32398672,3.25191760
2430.00000000,1.46726898,3.28991206
2460.00000000,1.50257110,3.38958774
2490.00000000,1.51575202,3.51375562
2520.00000000,1.53389263,3.73338568
2550.00000000,1.55079147,3.91462485
2580.00000000,1.55771171,4.05649130
2610.00000000,1.56180045,4.20504406
2640.00000000,1.58042169,4.32656350
2670.00000000,1.60404437,4.45775925
2700.00000000,1.63695923,4.57868849
2730.00000000,1.67467497,4.69966510
2760.00000000,1.88672001,4.75954561
2790.00000000,2.15090644,4.79351911
2820.00000000,2.55197586,4.81356014
2850.00000000,3.05158083,4.82256863
2880.00000000,3.61356796,4.83508621
2910.00000000,4.24095406,4.84432562
2940.00000000,4.57221162,4.89204954
2970.00000000,5.03133717,4.92821104
3000.00000000,5.59911953,4.97105507
3030.00000000,6.08463853,5.03950556
3060.00000000,6.60319120,5.08571760
3090.00000000,6.75339657,5.26772228
3120.00000000,6.77439863,5.52587257
3150.00000000,6.79100031,5.83034397
3180.00000000,6.90264600,6.04648376
3210.00000000,6.96713118,6.31848898
3240.00000000,7.03902854,6.57628100
3270.00000000,7.07289575,6.90041151
3300.00000000,7.17250995,7.17169906
3330.00000000,7.55336674,7.35335810
3360.00000000,7.75585549,7.60944485
3390.00000000,7.98412823,7.87396734
3420.00000000,8.24198583,8.21753704
3450.00000000,8.60279275,8.56084542
3480.00000000,8.72237329,9.08441342
3510.00000000,8.84560861,9.63023929
3540.00000000,8.84850185,10.45040465
3570.00000000,8.86427868,11.37235546
3600.00000000,8.87167266,12.19273476
