times, live_error
0.00000000,0.00000000
30.00000000,0.00000012
60.00000000,0.00005658
90.00000000,0.00026867
120.00000000,0.00053385
150.00000000,0.00082828
180.00000000,0.00098878
210.00000000,0.00112790
240.00000000,0.00115834
270.00000000,0.00121188
300.00000000,0.00122538
330.00000000,0.00138331
360.00000000,0.00151499
390.00000000,0.00160293
420.00000000,0.00164202
450.00000000,0.00164790
480.00000000,0.00165797
510.00000000,0.00167380
540.00000000,0.00167482
570.00000000,0.00170961
600.00000000,0.00170999
630.00000000,0.00181740
660.00000000,0.00189959
690.00000000,0.00262938
720.00000000,0.00299960
750.00000000,0.00316270
780.00000000,0.00330992
810.00000000,0.00333636
840.00000000,0.00333853
870.00000000,0.00342891
900.00000000,0.00363901
930.00000000,0.00364782
960.00000000,0.00376786
990.00000000,0.00381680
1020.00000000,0.00400222
1050.00000000,0.00416753
1080.00000000,0.00425310
1110.00000000,0.00430689
1140.00000000,0.00444245
1170.00000000,0.00461712
1200.00000000,0.00489242
1230.00000000,0.00496148
1260.00000000,0.00508050
1290.00000000,0.00531868
1320.00000000,0.00548563
1350.00000000,0.00615732
1380.00000000,0.00717906
1410.00000000,0.00735094
1440.00000000,0.00744891
1470.00000000,0.00776840
1500.00000000,0.00832476
1530.00000000,0.00865190
1560.00000000,0.00902912
1590.00000000,0.00905559
1620.00000000,0.00906091
1650.00000000,0.00910262
1680.00000000,0.00917757
1710.00000000,0.00935870
1740.00000000,0.00979627
1770.00000000,0.00996777
1800.00000000,0.01090098
1830.00000000,0.01146926
1860.00000000,0.01291532
1890.00000000,0.01647666
1920.00000000,0.02215487
1950.00000000,0.03188139
1980.00000000,0.04334181
2010.00000000,0.05259891
2040.00000000,0.05894690
2070.00000000,0.06686883
2100.00000000,0.07246129
2130.00000000,0.08075675
2160.00000000,0.08858448
2190.00000000,0.09742894
2220.00000000,0.10906518
2250.00000000,0.12161737
2280.00000000,0.13204674
2310.00000000,0.14722948
2340.00000000,0.16423572
2370.00000000,0.17846417
2400.00000000,0.19011392
2430.00000000,0.20220369
2460.00000000,0.21374656
2490.00000000,0.22384366
2520.00000000,0.23631866
2550.00000000,0.25039944
2580.00000000,0.26305597
2610.00000000,0.27863422
2640.00000000,0.29759732
2670.00000000,0.31658451
2700.00000000,0.33225669
2730.00000000,0.35199809
2760.00000000,0.36886212
2790.00000000,0.38445724
2820.00000000,0.40641548
2850.00000000,0.42277376
2880.00000000,0.44517019
2910.00000000,0.46044318
2940.00000000,0.48259007
2970.00000000,0.50218981
3000.00000000,0.51763179
3030.00000000,0.53917028
3060.00000000,0.55880716
3090.00000000,0.57855568
3120.00000000,0.60467212
3150.00000000,0.62702842
3180.00000000,0.64314008
3210.00000000,0.65778170
3240.00000000,0.67517935
3270.00000000,0.69658180
3300.00000000,0.71800452
3330.00000000,0.74059022
3360.00000000,0.75781427
3390.00000000,0.77469207
3420.00000000,0.79238074
3450.00000000,0.81901053
3480.00000000,0.85828478
3510.00000000,0.91717565
3540.00000000,0.98523760
3570.00000000,1.05869263
3600.00000000,1.15716697
