times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00023887,0.00005280,0.00039935,0.00010768
60.00000000,0.00120349,0.00019359,0.00075955,0.00057131
90.00000000,0.00302338,0.00156223,0.00131350,0.00157650
120.00000000,0.01026786,0.00682085,0.00332007,0.00159721
150.00000000,0.01577428,0.00703981,0.00750702,0.00313565
180.00000000,0.02168289,0.00792851,0.01077697,0.00666300
210.00000000,0.02688062,0.00841081,0.01339166,0.00876374
240.00000000,0.02851342,0.01429974,0.02426909,0.01211944
270.00000000,0.03108341,0.01812099,0.03291624,0.01437536
300.00000000,0.03474454,0.02404114,0.04247478,0.01439810
330.00000000,0.03988904,0.02472461,0.04523003,0.01610389
360.00000000,0.04212775,0.03237926,0.05006288,0.01668698
390.00000000,0.04296569,0.03848315,0.05290419,0.01911160
420.00000000,0.04356438,0.03913973,0.05362402,0.01988932
450.00000000,0.04594138,0.04367327,0.05674134,0.02085011
480.00000000,0.04968021,0.05076632,0.05914815,0.02179752
510.00000000,0.05459139,0.05455317,0.06087923,0.02465293
540.00000000,0.05695559,0.06072413,0.06741408,0.02738101
570.00000000,0.05935499,0.06874486,0.07565025,0.02999586
600.00000000,0.06255640,0.08083627,0.08624736,0.03170296
630.00000000,0.06691770,0.09390277,0.09289898,0.03375654
660.00000000,0.06996344,0.10436891,0.09493796,0.03913796
690.00000000,0.07494291,0.11572339,0.10055592,0.03989500
720.00000000,0.08067386,0.12596864,0.10497421,0.03999101
750.00000000,0.08390598,0.13323625,0.10871650,0.04028421
780.00000000,0.08395214,0.13848150,0.11406528,0.04034158
810.00000000,0.08989580,0.14521201,0.11445421,0.04073951
840.00000000,0.09856861,0.15448930,0.11497105,0.04186085
870.00000000,0.10717393,0.15947909,0.12162344,0.04489772
900.00000000,0.11331108,0.16140461,0.12922045,0.04828310
930.00000000,0.12073553,0.16170275,0.14153191,0.05346824
960.00000000,0.12771180,0.16463731,0.14727949,0.05517412
990.00000000,0.13730014,0.17055248,0.15357545,0.05779692
1020.00000000,0.14157779,0.17087398,0.15962779,0.05989310
1050.00000000,0.14408265,0.17480414,0.15997414,0.06097205
1080.00000000,0.14561159,0.17868381,0.16262336,0.06373147
