times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00178617,0.00204179,0.00014795,0.00010768
60.00000000,0.02007155,0.02869830,0.00780545,0.00082131
90.00000000,0.03392862,0.04951926,0.01276415,0.00282650
120.00000000,0.04910688,0.06771625,0.01371974,0.00680081
150.00000000,0.05910181,0.08161687,0.01381327,0.01061297
180.00000000,0.05998846,0.08363020,0.01505813,0.01475780
210.00000000,0.07135722,0.08649867,0.02830313,0.01950252
240.00000000,0.09068775,0.08858689,0.04012874,0.02491922
270.00000000,0.11472525,0.09760918,0.05099970,0.02906346
300.00000000,0.11500858,0.10578041,0.06349731,0.03367317
330.00000000,0.12484343,0.11044222,0.08768910,0.04336830
360.00000000,0.15304876,0.11794918,0.10905667,0.04403750
390.00000000,0.19694290,0.13284375,0.12837110,0.05372264
420.00000000,0.21729827,0.13782848,0.15049423,0.06047514
450.00000000,0.21940560,0.15183930,0.18540175,0.07926450
480.00000000,0.23226252,0.17000046,0.19486557,0.08342407
510.00000000,0.24882975,0.17364094,0.20502833,0.09346901
540.00000000,0.25758668,0.18163740,0.21196750,0.10328324
570.00000000,0.25793200,0.18783141,0.21299708,0.11085214
600.00000000,0.25891491,0.19652454,0.22500207,0.11514691
630.00000000,0.26950227,0.21594845,0.23891803,0.12022631
660.00000000,0.28872610,0.22109877,0.25765932,0.12489408
690.00000000,0.30566977,0.23899778,0.28142370,0.13597239
720.00000000,0.30578585,0.25483581,0.28284357,0.15050663
750.00000000,0.31977071,0.27260536,0.28441066,0.15272423
780.00000000,0.33436250,0.27674054,0.29302322,0.15456828
810.00000000,0.33808225,0.27690951,0.29392629,0.15936006
840.00000000,0.35455279,0.29503088,0.29468707,0.16177166
870.00000000,0.37103350,0.31799529,0.30499620,0.16559709
900.00000000,0.37701808,0.32893359,0.30824398,0.17379859
930.00000000,0.39456169,0.35601290,0.31565659,0.17592169
960.00000000,0.40956909,0.38528040,0.31808089,0.18775749
990.00000000,0.41865547,0.39510193,0.33773344,0.20814520
1020.00000000,0.43142681,0.39674862,0.35778760,0.21707470
1050.00000000,0.43988829,0.39957017,0.37070801,0.21871207
1080.00000000,0.45887591,0.40604003,0.37926375,0.22267408
1110.00000000,0.49678931,0.41844033,0.39049268,0.23695825
1140.00000000,0.50971009,0.42133336,0.40629247,0.23697226
1170.00000000,0.52659790,0.42509085,0.41653172,0.23986334
1200.00000000,0.54794860,0.42784463,0.42605768,0.24893428
1230.00000000,0.57476891,0.44646740,0.43181090,0.25137859
1260.00000000,0.59235513,0.44729957,0.44789349,0.25371439
1290.00000000,0.60762854,0.45220883,0.47469520,0.26033343
1320.00000000,0.62860613,0.45711448,0.50749701,0.26725201
1350.00000000,0.64954879,0.46639145,0.54047984,0.27001519
1380.00000000,0.66531364,0.47339644,0.55796995,0.27529492
