times, G0G1_phase_csse, S_phase_csse, G2_phase_csse, M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00000006,0.00000000,0.00000016,0.00000001
60.00000000,0.00000099,0.00000002,0.00000029,0.00000023
90.00000000,0.00000430,0.00000190,0.00000060,0.00000124
120.00000000,0.00005678,0.00002955,0.00000462,0.00000124
150.00000000,0.00008710,0.00002960,0.00002215,0.00000360
180.00000000,0.00012201,0.00003039,0.00003285,0.00001605
210.00000000,0.00014903,0.00003062,0.00003968,0.00002046
240.00000000,0.00015170,0.00006530,0.00015800,0.00003172
270.00000000,0.00015830,0.00007990,0.00023277,0.00003681
300.00000000,0.00017171,0.00011495,0.00032414,0.00003681
330.00000000,0.00019817,0.00011542,0.00033173,0.00003972
360.00000000,0.00020318,0.00017401,0.00035509,0.00004006
390.00000000,0.00020389,0.00021127,0.00036316,0.00004594
420.00000000,0.00020424,0.00021170,0.00036368,0.00004654
450.00000000,0.00020989,0.00023225,0.00037340,0.00004747
480.00000000,0.00022387,0.00028256,0.00037919,0.00004836
510.00000000,0.00024799,0.00029690,0.00038219,0.00005652
540.00000000,0.00025358,0.00033498,0.00042489,0.00006396
570.00000000,0.00025934,0.00039932,0.00049272,0.00007080
600.00000000,0.00026959,0.00054552,0.00060502,0.00007371
630.00000000,0.00028861,0.00071625,0.00064927,0.00007793
660.00000000,0.00029789,0.00082579,0.00065342,0.00010689
690.00000000,0.00032268,0.00095472,0.00068499,0.00010746
720.00000000,0.00035552,0.00105968,0.00070451,0.00010747
750.00000000,0.00036597,0.00111250,0.00071851,0.00010756
780.00000000,0.00036597,0.00114001,0.00074712,0.00010756
810.00000000,0.00040130,0.00118531,0.00074727,0.00010772
840.00000000,0.00047652,0.00127138,0.00074754,0.00010898
870.00000000,0.00055057,0.00129628,0.00079179,0.00011820
900.00000000,0.00058823,0.00129998,0.00084951,0.00012966
930.00000000,0.00064336,0.00130007,0.00100108,0.00015654
960.00000000,0.00069202,0.00130869,0.00103412,0.00015945
990.00000000,0.00078396,0.00134367,0.00107375,0.00016633
1020.00000000,0.00080226,0.00134378,0.00111039,0.00017073
1050.00000000,0.00080853,0.00135922,0.00111051,0.00017189
1080.00000000,0.00081087,0.00137428,0.00111752,0.00017951
1110.00000000,0.00083953,0.00139535,0.00111757,0.00017981
