times, G0G1_phase_csse, S_phase_csse, G2_phase_csse, M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00009978,0.00011984,0.00000072,0.00000001
60.00000000,0.00025071,0.00024887,0.00000085,0.00000167
90.00000000,0.00026595,0.00026197,0.00000148,0.00000192
120.00000000,0.00046069,0.00050932,0.00000468,0.00000192
150.00000000,0.00060242,0.00082242,0.00001874,0.00000608
180.00000000,0.00065274,0.00089585,0.00001957,0.00000640
210.00000000,0.00077088,0.00094813,0.00002603,0.00000760
240.00000000,0.00095674,0.00096696,0.00008471,0.00001027
270.00000000,0.00107736,0.00100704,0.00008728,0.00001956
300.00000000,0.00114143,0.00104700,0.00009763,0.00004357
330.00000000,0.00114992,0.00104796,0.00009782,0.00004582
360.00000000,0.00115628,0.00108362,0.00010051,0.00004909
390.00000000,0.00115763,0.00111490,0.00012436,0.00004929
420.00000000,0.00115914,0.00119335,0.00016399,0.00005107
450.00000000,0.00116345,0.00130587,0.00021801,0.00005246
480.00000000,0.00116408,0.00144146,0.00039789,0.00005342
510.00000000,0.00116450,0.00147368,0.00044535,0.00005373
540.00000000,0.00116490,0.00161679,0.00055833,0.00005423
570.00000000,0.00117561,0.00171833,0.00071139,0.00005518
600.00000000,0.00120720,0.00173408,0.00078791,0.00005589
630.00000000,0.00122555,0.00173966,0.00086088,0.00005949
660.00000000,0.00122864,0.00180129,0.00100335,0.00006491
690.00000000,0.00132013,0.00210621,0.00111317,0.00007158
720.00000000,0.00136916,0.00227461,0.00118742,0.00007856
750.00000000,0.00137558,0.00238538,0.00120041,0.00009781
780.00000000,0.00141487,0.00252294,0.00120510,0.00010867
810.00000000,0.00142076,0.00254349,0.00120865,0.00012462
840.00000000,0.00150622,0.00258950,0.00121794,0.00015496
870.00000000,0.00160086,0.00259559,0.00122141,0.00018411
900.00000000,0.00160253,0.00260723,0.00123713,0.00018752
930.00000000,0.00167009,0.00263715,0.00123727,0.00019728
960.00000000,0.00177957,0.00278199,0.00126114,0.00020827
990.00000000,0.00187109,0.00293359,0.00129425,0.00021732
1020.00000000,0.00189758,0.00294701,0.00129498,0.00021772
1050.00000000,0.00192628,0.00295660,0.00129988,0.00021772
1080.00000000,0.00199920,0.00296016,0.00130521,0.00023658
1110.00000000,0.00200967,0.00296868,0.00130711,0.00023946
1140.00000000,0.00200968,0.00297095,0.00130711,0.00024202
1170.00000000,0.00201132,0.00298489,0.00130852,0.00028045
1200.00000000,0.00202087,0.00306860,0.00132554,0.00028418
1230.00000000,0.00204128,0.00310389,0.00132668,0.00029037
1260.00000000,0.00217689,0.00316703,0.00134818,0.00029125
1290.00000000,0.00250141,0.00323822,0.00140177,0.00029634
1320.00000000,0.00265892,0.00325767,0.00143253,0.00030307
1350.00000000,0.00279447,0.00328928,0.00145455,0.00030484
1380.00000000,0.00316285,0.00344117,0.00150437,0.00030487
1410.00000000,0.00342644,0.00350493,0.00151125,0.00033654
1440.00000000,0.00358298,0.00353833,0.00151308,0.00036548
1470.00000000,0.00361441,0.00354658,0.00151448,0.00036788
1500.00000000,0.00361496,0.00355204,0.00151913,0.00036820
1530.00000000,0.00363353,0.00355775,0.00153607,0.00037302
1560.00000000,0.00364228,0.00356238,0.00157151,0.00037373
1590.00000000,0.00365335,0.00359662,0.00158897,0.00037647
1620.00000000,0.00374419,0.00369751,0.00160017,0.00038450
1650.00000000,0.00378262,0.00379139,0.00162972,0.00038828
1680.00000000,0.00385186,0.00387154,0.00165015,0.00040340
1710.00000000,0.00387121,0.00394199,0.00167325,0.00040406
1740.00000000,0.00389205,0.00397131,0.00167380,0.00040407
1770.00000000,0.00393106,0.00397434,0.00170211,0.00040474
1800.00000000,0.00395132,0.00399883,0.00170276,0.00040633
1830.00000000,0.00398931,0.00404664,0.00170430,0.00040657
1860.00000000,0.00401068,0.00406326,0.00170538,0.00040908
1890.00000000,0.00408568,0.00407915,0.00170567,0.00042621
1920.00000000,0.00409364,0.00408156,0.00170579,0.00042706
1950.00000000,0.00421603,0.00416317,0.00170584,0.00043034
1980.00000000,0.00432496,0.00417540,0.00172798,0.00043533
2010.00000000,0.00436039,0.00419783,0.00172914,0.00044059
2040.00000000,0.00437371,0.00420540,0.00172963,0.00044063
2070.00000000,0.00438431,0.00420942,0.00173391,0.00044130
2100.00000000,0.00438502,0.00421404,0.00173410,0.00044436
2130.00000000,0.00439107,0.00422046,0.00175291,0.00044479
2160.00000000,0.00443107,0.00422170,0.00176961,0.00044605
2190.00000000,0.00445335,0.00422945,0.00179990,0.00045005
2220.00000000,0.00445498,0.00426805,0.00183413,0.00045273
2250.00000000,0.00445522,0.00429045,0.00183447,0.00046605
2280.00000000,0.00447143,0.00430407,0.00187089,0.00049854
2310.00000000,0.00453205,0.00432486,0.00190635,0.00050599
2340.00000000,0.00466650,0.00433395,0.00197462,0.00050609
2370.00000000,0.00474521,0.00433595,0.00205602,0.00050769
2400.00000000,0.00475261,0.00437262,0.00208742,0.00051775
2430.00000000,0.00475557,0.00441788,0.00208933,0.00053091
2460.00000000,0.00478450,0.00446433,0.00209144,0.00053925
2490.00000000,0.00481715,0.00448247,0.00209372,0.00053925
2520.00000000,0.00484764,0.00449363,0.00209372,0.00054381
2550.00000000,0.00487204,0.00450221,0.00209588,0.00054410
2580.00000000,0.00488303,0.00450245,0.00209904,0.00054520
2610.00000000,0.00488579,0.00450270,0.00211046,0.00056582
2640.00000000,0.00488601,0.00450379,0.00212871,0.00057948
2670.00000000,0.00490174,0.00451104,0.00212889,0.00058020
2700.00000000,0.00490224,0.00452396,0.00215376,0.00058067
2730.00000000,0.00490412,0.00454432,0.00219762,0.00058122
2760.00000000,0.00490444,0.00457405,0.00222647,0.00058146
2790.00000000,0.00490933,0.00463797,0.00227289,0.00058252
2820.00000000,0.00492039,0.00465360,0.00232058,0.00058265
2850.00000000,0.00492971,0.00466094,0.00233572,0.00058615
2880.00000000,0.00493448,0.00467930,0.00234403,0.00059903
2910.00000000,0.00494255,0.00468653,0.00234892,0.00061004
2940.00000000,0.00495748,0.00468768,0.00235291,0.00063300
2970.00000000,0.00496180,0.00469205,0.00236066,0.00064082
3000.00000000,0.00496619,0.00469645,0.00238589,0.00064151
3030.00000000,0.00499061,0.00469882,0.00242702,0.00064151
3060.00000000,0.00500173,0.00471462,0.00244909,0.00064834
3090.00000000,0.00500528,0.00478271,0.00247312,0.00065049
3120.00000000,0.00503255,0.00482371,0.00247316,0.00065238
3150.00000000,0.00510703,0.00487483,0.00247420,0.00065259
3180.00000000,0.00517675,0.00493774,0.00247428,0.00065261
3210.00000000,0.00519575,0.00496573,0.00247447,0.00065286
3240.00000000,0.00523458,0.00500387,0.00247447,0.00065286
3270.00000000,0.00527177,0.00502650,0.00247448,0.00065491
3300.00000000,0.00527483,0.00502760,0.00247491,0.00065491
3330.00000000,0.00531220,0.00503582,0.00247796,0.00065717
3360.00000000,0.00534511,0.00505718,0.00247812,0.00065946
3390.00000000,0.00535298,0.00508135,0.00250668,0.00066993
3420.00000000,0.00535677,0.00511535,0.00254295,0.00067449
3450.00000000,0.00535727,0.00515588,0.00256482,0.00067545
3480.00000000,0.00536023,0.00519784,0.00258752,0.00067545
3510.00000000,0.00536047,0.00523614,0.00259586,0.00068338
3540.00000000,0.00538049,0.00529545,0.00259849,0.00068595
3570.00000000,0.00538938,0.00533456,0.00260011,0.00068995
3600.00000000,0.00539221,0.00534454,0.00260076,0.00069040
