times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.30000000,2.65329983,0.40000000,0.45825757,0.00000000
60.00000000,2.49799920,2.40000000,1.16619038,0.67082039,0.00000000
90.00000000,3.03479818,3.40734501,1.85472370,0.97979590,0.00000000
120.00000000,3.14483704,3.18747549,2.40000000,0.89442719,0.00000000
150.00000000,3.46554469,3.66060104,2.40000000,0.87177979,0.00000000
180.00000000,3.14483704,3.02654919,1.95192213,0.78102497,0.00000000
210.00000000,2.83725219,3.82099463,1.73493516,0.91651514,0.00000000
240.00000000,4.38292140,4.28485706,1.53622915,0.97979590,0.00000000
270.00000000,4.27083130,4.63033476,2.87054002,1.00498756,0.00000000
300.00000000,5.74543297,4.35889894,2.95972972,1.02469508,0.00000000
330.00000000,5.95399026,3.35410197,2.80000000,1.32664992,0.00000000
360.00000000,5.91692488,2.41039416,3.96988665,1.30000000,0.00000000
390.00000000,6.25219961,2.61533937,4.67439836,1.30000000,0.00000000
420.00000000,7.76916984,4.96890330,3.91918359,1.30000000,0.00000000
450.00000000,7.77174369,5.20480547,3.78945906,1.34164079,0.00000000
480.00000000,6.82641927,5.76194412,4.27083130,1.35646600,0.00000000
510.00000000,6.76830850,4.86209831,4.83735465,1.35646600,0.00000000
540.00000000,10.48618138,6.00749532,7.07742891,1.00498756,0.00000000
570.00000000,6.57343137,4.75920161,6.18061486,1.07703296,0.00000000
600.00000000,7.22218803,5.14295635,5.53172667,1.30000000,0.00000000
630.00000000,6.26178888,5.71051661,5.51724569,1.30000000,0.00000000
660.00000000,5.72363521,6.49692235,5.56417110,1.44568323,0.00000000
690.00000000,7.67072356,6.59090282,4.50000000,1.51327460,0.00000000
720.00000000,6.68206555,4.47213595,3.35261092,1.22065556,0.00000000
750.00000000,7.18052923,3.45832329,3.17647603,1.04403065,0.00000000
780.00000000,7.49399760,3.15594677,3.50570963,1.20415946,0.00000000
810.00000000,6.08276253,4.31277173,3.47706773,1.13578167,0.00000000
840.00000000,7.13021739,5.62938718,4.10974452,0.87177979,0.00000000
870.00000000,8.55803716,5.32916504,4.31277173,0.94339811,0.00000000
900.00000000,10.01798383,5.87281874,4.42266888,1.09544512,0.00000000
930.00000000,8.22253002,6.94334213,3.78945906,1.26885775,0.00000000
960.00000000,9.74114983,8.07527089,4.22374242,1.24899960,0.00000000
990.00000000,9.81070844,7.66550716,3.97994975,1.26885775,0.00000000
1020.00000000,9.80612054,7.25258575,2.89827535,1.00498756,0.00000000
1050.00000000,8.76869432,6.78896163,4.92341345,1.10000000,0.00000000
1080.00000000,8.10000000,6.21369455,6.24179461,1.13578167,0.00000000
1110.00000000,10.09950494,5.63914887,7.28354309,1.28452326,0.00000000
1140.00000000,10.40240357,4.89489530,6.92892488,1.46969385,0.00000000
1170.00000000,10.12126474,6.37495098,7.31846979,1.40000000,0.00000000
1200.00000000,8.47112743,7.00071425,6.15142260,1.22065556,0.00000000
1230.00000000,7.90189851,5.87877538,4.96084670,1.46969385,0.00000000
1260.00000000,6.52686755,4.77598157,3.94461658,1.32664992,0.00000000
1290.00000000,5.42678542,6.60378679,5.65331761,1.74355958,0.00000000
1320.00000000,6.79411510,6.99213844,7.04627561,1.61245155,0.00000000
1350.00000000,7.43572458,9.97446740,7.19444230,1.75783958,0.00000000
1380.00000000,6.21369455,8.43148860,6.02411819,1.55241747,0.00000000
1410.00000000,5.16139516,6.34350061,4.74236228,1.61554944,0.00000000
1440.00000000,4.19046537,6.38435588,5.19711458,1.67332005,0.00000000
1470.00000000,5.50999093,6.88767014,6.48151217,1.64012195,0.00000000
1500.00000000,7.36274405,7.48064168,5.90677577,1.60000000,0.00000000
1530.00000000,5.81033562,6.30555311,5.96741150,1.61554944,0.00000000
1560.00000000,8.47348807,6.72978454,5.45893763,1.93907194,0.00000000
1590.00000000,10.43839068,6.13921819,6.88549199,1.85472370,0.00000000
1620.00000000,11.51564154,9.76933979,7.37631344,1.96214169,0.00000000
1650.00000000,10.66067540,10.25134138,7.02922471,2.03960781,0.00000000
1680.00000000,10.94029250,8.37197707,6.51152824,1.97230829,0.00000000
1710.00000000,9.73447482,8.09011743,5.74543297,2.04939015,0.00000000
1740.00000000,11.25166654,7.76466355,6.26418391,2.00000000,0.00000000
1770.00000000,10.17300349,8.73441469,6.25219961,1.75783958,0.00000000
1800.00000000,10.29757253,7.86193360,3.96106046,1.95959179,0.00000000
1830.00000000,9.76780426,7.79807669,5.16236380,1.85472370,0.00000000
1860.00000000,10.45179410,7.10211236,4.65725241,1.84661853,0.00000000
1890.00000000,8.23650411,7.49733286,5.73149195,2.07123152,0.00000000
1920.00000000,9.84682690,7.13862732,5.84465568,2.33452351,0.00000000
1950.00000000,9.71853898,7.48932574,6.40000000,2.13541565,0.00000000
