times, G0G1_phase_mean, S_phase_mean, G2M_phase_mean, apoptotic_mean, necrotic_mean
0.0,1000.0,0.0,0.0,0.0,0.0
30.0,904.8,91.4,2.3,1.5,0.0
60.0,817.1,170.1,9.2,4.2,0.0
90.0,737.1,238.6,19.8,6.1,0.0
120.0,671.3,291.8,32.8,7.7,0.0
150.0,616.2,335.5,46.6,8.5,0.0
180.0,566.1,371.0,64.2,10.1,0.0
210.0,523.1,399.6,84.3,11.1,0.0
240.0,487.6,424.1,100.8,14.0,0.0
270.0,458.4,444.3,117.8,15.6,0.0
300.0,438.1,460.8,132.9,16.8,0.0
330.0,425.1,475.4,145.7,17.9,0.0
360.0,412.0,486.7,160.1,19.5,0.0
390.0,402.9,495.9,174.7,21.1,0.0
420.0,397.3,501.6,189.4,23.0,0.0
450.0,394.6,505.0,205.5,24.9,0.0
480.0,399.2,511.2,214.1,26.5,0.0
510.0,396.0,518.2,227.3,29.1,0.0
540.0,402.3,519.7,241.2,29.3,0.0
570.0,405.8,527.3,250.3,29.2,0.0
600.0,417.8,533.9,256.3,28.8,0.0
630.0,433.5,537.2,262.1,29.7,0.0
660.0,439.1,545.2,270.7,30.4,0.0
690.0,447.6,551.2,279.1,31.0,0.0
720.0,463.9,558.6,284.8,31.4,0.0
750.0,467.0,573.7,289.7,32.5,0.0
780.0,484.8,578.4,295.1,32.7,0.0
810.0,494.9,587.4,303.2,33.1,0.0
840.0,502.8,595.6,313.9,34.3,0.0
870.0,512.9,604.3,321.2,36.0,0.0
900.0,530.2,613.5,326.2,36.7,0.0
930.0,540.2,621.9,335.1,37.9,0.0
960.0,560.2,632.6,338.0,38.8,0.0
990.0,570.8,643.0,347.3,39.5,0.0
1020.0,581.8,653.9,356.3,39.5,0.0
1050.0,600.4,665.1,361.4,40.2,0.0
1080.0,616.6,677.0,367.1,40.4,0.0
1110.0,624.2,692.7,376.1,42.2,0.0
1140.0,633.2,710.1,383.0,41.7,0.0
1170.0,648.0,723.2,390.2,42.7,0.0
1200.0,657.2,739.8,397.6,43.3,0.0
1230.0,675.0,757.5,399.4,44.6,0.0
1260.0,689.4,771.4,409.3,44.4,0.0
1290.0,708.0,785.6,414.7,45.2,0.0
1320.0,722.6,807.1,418.1,46.8,0.0
1350.0,743.8,825.5,420.2,47.7,0.0
1380.0,749.3,846.1,431.9,48.3,0.0
1410.0,758.0,860.9,447.1,48.2,0.0
1440.0,776.9,880.6,453.0,49.0,0.0
1470.0,797.9,895.1,461.5,49.2,0.0
1500.0,818.6,914.7,465.7,49.4,0.0
1530.0,822.6,936.1,478.6,50.9,0.0
1560.0,837.0,956.7,488.1,51.7,0.0
1590.0,858.7,971.3,498.2,53.9,0.0
1620.0,867.2,994.8,509.8,54.8,0.0
1650.0,889.3,1014.3,519.5,56.2,0.0
1680.0,910.2,1033.3,527.8,58.2,0.0
1710.0,919.4,1052.3,544.8,58.9,0.0
1740.0,948.8,1074.3,549.2,60.6,0.0
1770.0,950.6,1106.9,561.7,60.4,0.0
1800.0,968.1,1128.7,575.2,61.0,0.0
1830.0,989.0,1153.7,584.8,62.2,0.0
1860.0,1007.8,1177.4,595.9,64.6,0.0
1890.0,1026.9,1197.8,609.8,66.8,0.0
1920.0,1045.9,1220.1,624.2,68.5,0.0
1950.0,1065.1,1247.3,636.1,69.2,0.0
1980.0,1084.0,1275.9,648.1,71.7,0.0
2010.0,1098.1,1297.8,668.0,75.0,0.0
2040.0,1120.5,1318.6,685.8,76.8,0.0
2070.0,1137.7,1341.5,704.0,79.8,0.0
2100.0,1176.3,1361.4,715.4,79.7,0.0
2130.0,1204.5,1381.2,732.3,80.1,0.0
2160.0,1228.6,1406.9,747.0,82.4,0.0
2190.0,1247.6,1435.3,763.0,82.7,0.0
2220.0,1275.4,1465.5,775.3,84.8,0.0
2250.0,1300.7,1497.6,791.5,85.2,0.0
2280.0,1328.9,1527.0,807.4,87.0,0.0
2310.0,1359.1,1564.9,815.3,90.9,0.0
2340.0,1393.0,1591.7,829.9,92.6,0.0
2370.0,1420.9,1626.9,841.7,93.7,0.0
2400.0,1451.6,1657.0,856.6,96.2,0.0
2430.0,1479.8,1697.6,871.2,96.9,0.0
2460.0,1511.4,1730.6,888.7,99.0,0.0
2490.0,1543.3,1769.7,901.9,99.6,0.0
2520.0,1577.2,1802.7,922.2,101.1,0.0
2550.0,1603.5,1835.4,947.0,102.8,0.0
2580.0,1634.3,1871.8,966.6,103.3,0.0
2610.0,1668.7,1909.0,986.2,104.1,0.0
2640.0,1712.3,1947.5,1001.4,106.0,0.0
2670.0,1759.3,1983.8,1016.9,108.3,0.0
2700.0,1784.9,2031.0,1038.0,110.2,0.0
2730.0,1823.2,2061.8,1064.1,113.7,0.0
2760.0,1856.1,2096.2,1095.0,115.3,0.0
2790.0,1882.0,2155.3,1112.4,118.1,0.0
2820.0,1912.9,2191.8,1144.8,118.9,0.0
2850.0,1931.7,2246.0,1171.2,119.8,0.0
2880.0,1976.0,2285.5,1197.3,121.7,0.0
2910.0,2019.2,2330.1,1220.3,123.6,0.0
2940.0,2071.2,2372.3,1242.4,126.4,0.0
2970.0,2121.3,2419.1,1265.6,128.9,0.0
3000.0,2159.0,2469.1,1292.9,132.5,0.0
3030.0,2204.8,2524.3,1314.9,133.8,0.0
3060.0,2261.7,2577.7,1331.3,137.0,0.0
3090.0,2301.5,2630.0,1362.9,141.3,0.0
3120.0,2347.3,2684.4,1389.2,144.9,0.0
3150.0,2385.8,2746.3,1416.2,148.3,0.0
3180.0,2440.2,2801.1,1437.9,153.3,0.0
3210.0,2474.7,2859.5,1474.5,157.4,0.0
3240.0,2522.7,2910.7,1510.3,159.5,0.0
3270.0,2580.6,2965.8,1538.2,163.0,0.0
3300.0,2639.6,3031.2,1562.0,166.3,0.0
3330.0,2684.9,3098.5,1593.9,169.1,0.0
3360.0,2749.7,3159.2,1622.3,173.6,0.0
3390.0,2806.1,3238.1,1645.5,175.6,0.0
3420.0,2860.2,3304.1,1678.6,179.3,0.0
3450.0,2909.6,3377.6,1713.6,183.1,0.0
3480.0,2976.8,3444.2,1745.9,187.3,0.0
3510.0,3042.5,3507.6,1782.6,190.9,0.0
3540.0,3087.4,3595.3,1816.4,195.0,0.0
3570.0,3151.9,3660.6,1859.5,199.4,0.0
3600.0,3221.1,3725.0,1899.4,202.7,0.0
