times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,10.34214678,10.46135746,1.34536240,1.36014705,0.00000000
60.00000000,14.03174971,13.43465668,3.24961536,1.16619038,0.00000000
90.00000000,14.65230357,14.13647764,5.09509568,2.21133444,0.00000000
120.00000000,15.80537883,14.68877122,5.21152569,2.10000000,0.00000000
150.00000000,16.87483333,14.36836804,6.24819974,2.72946881,0.00000000
180.00000000,12.23478647,12.67280553,8.31624915,3.04795013,0.00000000
210.00000000,11.19330157,13.07057765,10.31552228,2.98161030,0.00000000
240.00000000,18.62900964,17.44391011,11.30309692,3.54964787,0.00000000
270.00000000,15.88836052,14.35304846,11.01635148,3.90384426,0.00000000
300.00000000,13.52368293,12.69488086,10.51142236,3.18747549,0.00000000
330.00000000,12.49359836,13.50703520,12.60198397,2.98161030,0.00000000
360.00000000,16.84636459,12.00041666,11.58835623,3.00832179,0.00000000
390.00000000,12.25112240,19.50102561,15.49870962,2.91376046,0.00000000
420.00000000,14.84621164,18.77871135,15.91979899,2.09761770,0.00000000
450.00000000,16.84161512,20.43526364,12.69054766,2.11896201,0.00000000
480.00000000,19.39484468,23.28862383,12.29186723,1.85741756,0.00000000
510.00000000,20.77979788,20.27214838,11.67090399,1.92093727,0.00000000
540.00000000,19.58596436,16.64962462,11.55681617,2.90000000,0.00000000
570.00000000,25.73246976,18.75126662,14.61540283,3.12409987,0.00000000
600.00000000,19.00947132,16.69401090,10.44078541,3.34065862,0.00000000
630.00000000,14.06591625,16.99882349,11.56243919,3.68917335,0.00000000
660.00000000,12.63685087,20.59514506,10.96403211,4.05462699,0.00000000
690.00000000,10.64142848,16.60602300,9.17005998,4.51663592,0.00000000
720.00000000,14.85563866,13.77824372,12.40000000,4.38634244,0.00000000
750.00000000,16.03745616,17.47026044,12.67320007,5.40832691,0.00000000
780.00000000,17.93766986,14.88086019,13.97461985,5.67538545,0.00000000
810.00000000,19.13347851,15.50612782,14.94523335,5.26212885,0.00000000
840.00000000,20.01399510,13.59558752,16.00905993,5.40462765,0.00000000
870.00000000,17.77892010,13.22913451,16.54569430,4.85798312,0.00000000
900.00000000,15.91100248,11.81736011,14.31642413,5.64003546,0.00000000
