times, G0G1_phase_mean, S_phase_mean, G2M_phase_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0,0.0,0.0
30.0,89.0,10.6,0.4,0.0,0.0
60.0,81.4,17.4,1.4,0.0,0.0
90.0,74.1,24.1,2.4,0.0,0.0
120.0,67.1,30.1,3.7,0.0,0.0
150.0,60.8,35.3,5.3,0.0,0.0
180.0,55.2,39.3,7.5,0.0,0.0
210.0,51.3,43.5,8.4,0.0,0.0
240.0,47.2,46.8,9.8,0.0,0.0
270.0,45.0,49.8,10.4,0.0,0.0
300.0,42.0,51.6,12.4,0.0,0.0
330.0,40.7,52.5,14.4,0.0,0.0
360.0,38.2,53.4,16.7,0.0,0.0
390.0,37.1,53.2,19.3,0.0,0.0
420.0,38.5,53.7,20.2,0.0,0.0
450.0,39.4,53.5,21.7,0.0,0.0
480.0,39.9,54.5,22.4,0.0,0.0
510.0,40.5,54.6,24.2,0.0,0.0
540.0,40.8,55.4,25.5,0.0,0.0
570.0,41.7,55.8,26.7,0.0,0.0
600.0,43.8,55.0,28.2,0.0,0.0
630.0,44.4,56.3,29.0,0.0,0.0
660.0,46.7,57.4,28.9,0.0,0.0
690.0,50.4,57.9,28.7,0.0,0.0
720.0,49.0,60.2,30.1,0.0,0.0
750.0,50.1,62.8,29.6,0.0,0.0
780.0,51.2,64.5,30.0,0.0,0.0
810.0,51.9,66.2,30.5,0.0,0.0
840.0,52.8,68.0,31.1,0.0,0.0
870.0,51.0,69.0,34.0,0.0,0.0
900.0,53.4,70.0,34.2,0.0,0.0
930.0,54.9,70.3,35.8,0.0,0.0
960.0,58.7,68.9,37.5,0.0,0.0
990.0,59.1,70.7,38.7,0.0,0.0
1020.0,61.5,71.6,39.3,0.0,0.0
1050.0,60.6,74.0,40.7,0.0,0.0
1080.0,62.0,73.7,43.0,0.0,0.0
1110.0,62.9,75.6,44.0,0.0,0.0
1140.0,64.3,76.3,45.7,0.0,0.0
1170.0,69.0,76.9,45.5,0.0,0.0
1200.0,68.9,78.6,47.1,0.0,0.0
1230.0,72.0,80.8,47.2,0.0,0.0
1260.0,73.1,83.6,48.1,0.0,0.0
1290.0,77.8,87.1,46.1,0.0,0.0
1320.0,80.0,90.2,46.0,0.0,0.0
1350.0,79.3,93.4,47.4,0.0,0.0
1380.0,82.8,95.2,47.9,0.0,0.0
1410.0,85.5,95.4,49.8,0.0,0.0
1440.0,86.3,96.6,52.2,0.0,0.0
1470.0,87.7,99.8,52.8,0.0,0.0
1500.0,91.3,102.7,52.2,0.0,0.0
1530.0,92.5,104.5,54.3,0.0,0.0
1560.0,92.3,107.4,56.5,0.0,0.0
1590.0,93.3,109.9,58.1,0.0,0.0
1620.0,96.9,110.4,60.0,0.0,0.0
1650.0,100.0,113.8,60.1,0.0,0.0
1680.0,103.8,116.0,61.0,0.0,0.0
1710.0,102.8,118.0,65.1,0.0,0.0
1740.0,102.3,122.2,66.4,0.0,0.0
1770.0,108.4,123.3,67.0,0.0,0.0
1800.0,108.0,127.6,69.1,0.0,0.0
1830.0,113.3,129.6,69.7,0.0,0.0
1860.0,117.8,132.2,70.2,0.0,0.0
1890.0,117.3,137.2,71.9,0.0,0.0
1920.0,121.5,140.8,72.3,0.0,0.0
1950.0,128.3,141.0,73.6,0.0,0.0
1980.0,132.6,143.3,75.0,0.0,0.0
2010.0,132.8,147.3,77.0,0.0,0.0
2040.0,136.6,149.4,79.3,0.0,0.0
2070.0,137.8,152.3,82.4,0.0,0.0
2100.0,141.4,157.2,82.9,0.0,0.0
2130.0,144.2,163.1,83.1,0.0,0.0
2160.0,147.5,166.2,84.7,0.0,0.0
2190.0,150.7,169.4,87.2,0.0,0.0
2220.0,156.5,174.3,86.7,0.0,0.0
2250.0,161.4,179.9,85.9,0.0,0.0
2280.0,162.1,184.7,89.1,0.0,0.0
2310.0,163.5,191.9,90.3,0.0,0.0
2340.0,166.6,196.9,91.5,0.0,0.0
2370.0,171.9,201.0,92.2,0.0,0.0
2400.0,174.4,205.5,95.5,0.0,0.0
2430.0,176.4,211.4,97.0,0.0,0.0
2460.0,177.8,218.1,98.7,0.0,0.0
2490.0,176.9,220.2,106.0,0.0,0.0
2520.0,181.1,222.0,110.1,0.0,0.0
2550.0,185.3,225.7,113.1,0.0,0.0
2580.0,189.4,234.4,112.9,0.0,0.0
2610.0,197.8,238.2,114.3,0.0,0.0
2640.0,204.5,239.6,118.6,0.0,0.0
2670.0,207.6,244.7,122.5,0.0,0.0
2700.0,210.0,250.8,124.9,0.0,0.0
2730.0,214.5,253.9,129.7,0.0,0.0
2760.0,219.6,257.4,133.8,0.0,0.0
2790.0,227.7,261.2,137.0,0.0,0.0
2820.0,231.1,266.5,141.6,0.0,0.0
2850.0,236.8,269.7,146.4,0.0,0.0
2880.0,243.7,279.1,145.5,0.0,0.0
2910.0,251.3,282.4,149.7,0.0,0.0
2940.0,251.5,290.6,154.5,0.0,0.0
2970.0,258.7,296.9,156.6,0.0,0.0
3000.0,268.9,303.0,157.9,0.0,0.0
3030.0,274.2,313.0,158.6,0.0,0.0
3060.0,276.6,321.6,163.2,0.0,0.0
3090.0,277.6,331.3,167.8,0.0,0.0
3120.0,283.3,339.2,170.2,0.0,0.0
3150.0,293.0,344.6,173.9,0.0,0.0
3180.0,296.9,353.7,177.5,0.0,0.0
3210.0,301.3,365.2,179.8,0.0,0.0
3240.0,308.9,368.9,187.4,0.0,0.0
3270.0,318.2,374.5,190.8,0.0,0.0
3300.0,325.4,379.6,197.7,0.0,0.0
3330.0,328.4,390.1,202.2,0.0,0.0
3360.0,333.4,395.1,210.2,0.0,0.0
3390.0,343.7,402.1,213.9,0.0,0.0
3420.0,351.5,411.1,217.9,0.0,0.0
3450.0,360.4,421.7,221.2,0.0,0.0
3480.0,371.1,425.2,228.5,0.0,0.0
3510.0,379.1,437.0,232.7,0.0,0.0
3540.0,382.4,447.1,239.9,0.0,0.0
3570.0,395.1,455.4,243.5,0.0,0.0
3600.0,410.2,466.3,243.5,0.0,0.0
