times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.36643191,2.37486842,0.66332496,0.00000000,0.00000000
60.00000000,2.15406592,1.80000000,1.11355287,0.00000000,0.00000000
90.00000000,2.73678644,2.80891438,1.56204994,0.00000000,0.00000000
120.00000000,3.56230263,3.17647603,2.00249844,0.00000000,0.00000000
150.00000000,3.60000000,3.06757233,2.14709106,0.00000000,0.00000000
180.00000000,5.26877595,4.07553677,2.24722051,0.00000000,0.00000000
210.00000000,4.62709412,3.69459064,2.90516781,0.00000000,0.00000000
240.00000000,3.78945906,3.48711915,3.48711915,0.00000000,0.00000000
270.00000000,5.03984127,4.40000000,3.44093011,0.00000000,0.00000000
300.00000000,5.69209979,5.00399840,4.29418211,0.00000000,0.00000000
330.00000000,4.71274867,5.35256948,3.85227206,0.00000000,0.00000000
360.00000000,3.86781592,5.12249939,4.05092582,0.00000000,0.00000000
390.00000000,5.41202365,5.84465568,3.95094925,0.00000000,0.00000000
420.00000000,3.35410197,4.94064773,3.94461658,0.00000000,0.00000000
450.00000000,3.44093011,4.90407993,2.90000000,0.00000000,0.00000000
480.00000000,5.94053870,5.59016994,3.41174442,0.00000000,0.00000000
510.00000000,7.18679344,5.67802783,4.42266888,0.00000000,0.00000000
540.00000000,6.92531588,6.37495098,5.02493781,0.00000000,0.00000000
570.00000000,7.01498396,6.69029147,4.47325385,0.00000000,0.00000000
600.00000000,5.07543102,6.16441400,4.01995025,0.00000000,0.00000000
630.00000000,4.12795349,5.78013841,3.66060104,0.00000000,0.00000000
660.00000000,6.64906008,5.55337735,2.98161030,0.00000000,0.00000000
690.00000000,6.52993109,5.18555686,2.96816442,0.00000000,0.00000000
720.00000000,7.88669766,5.21152569,3.38969025,0.00000000,0.00000000
750.00000000,8.96046874,6.92531588,3.66606056,0.00000000,0.00000000
780.00000000,10.54324428,6.28092350,4.79583152,0.00000000,0.00000000
810.00000000,7.72593036,6.41560597,3.17017350,0.00000000,0.00000000
840.00000000,6.46219777,4.42718872,4.74236228,0.00000000,0.00000000
870.00000000,5.62138773,4.95983871,3.87298335,0.00000000,0.00000000
900.00000000,7.83836718,4.95983871,3.31058907,0.00000000,0.00000000
930.00000000,7.35459040,5.78013841,2.89136646,0.00000000,0.00000000
960.00000000,6.00083328,6.02411819,3.10644491,0.00000000,0.00000000
990.00000000,6.74462749,5.83180932,3.71618084,0.00000000,0.00000000
1020.00000000,8.12711511,5.88557559,5.02095608,0.00000000,0.00000000
1050.00000000,5.44426304,5.31036722,5.42309875,0.00000000,0.00000000
1080.00000000,7.41619849,7.14212853,4.93963561,0.00000000,0.00000000
1110.00000000,6.77421582,5.98665182,4.69041576,0.00000000,0.00000000
1140.00000000,7.74661216,7.08590150,5.11957029,0.00000000,0.00000000
1170.00000000,8.18535277,6.25219961,4.94469413,0.00000000,0.00000000
1200.00000000,9.24608025,6.31189354,5.26212885,0.00000000,0.00000000
1230.00000000,8.47348807,4.60000000,4.19046537,0.00000000,0.00000000
1260.00000000,6.78896163,4.52106182,5.48543526,0.00000000,0.00000000
1290.00000000,4.33128157,4.30000000,4.65725241,0.00000000,0.00000000
1320.00000000,7.28010989,5.36283507,5.79655070,0.00000000,0.00000000
1350.00000000,5.71051661,5.44426304,4.00499688,0.00000000,0.00000000
1380.00000000,6.52380257,6.43117408,4.82597140,0.00000000,0.00000000
1410.00000000,5.55427763,5.02394267,4.60000000,0.00000000,0.00000000
1440.00000000,6.43506022,7.21387552,4.57820926,0.00000000,0.00000000
1470.00000000,7.41687266,7.41350120,5.15363949,0.00000000,0.00000000
1500.00000000,7.55049667,8.48587061,5.23067873,0.00000000,0.00000000
1530.00000000,8.26135582,8.59360227,4.60543158,0.00000000,0.00000000
1560.00000000,7.21179589,11.33313725,5.74891294,0.00000000,0.00000000
1590.00000000,7.77238702,9.90403958,4.94873721,0.00000000,0.00000000
1620.00000000,7.27255113,8.61626369,4.49444101,0.00000000,0.00000000
1650.00000000,9.20869155,8.95321171,6.86221539,0.00000000,0.00000000
1680.00000000,9.30376268,9.54986911,8.87693641,0.00000000,0.00000000
1710.00000000,6.63023378,10.63954886,7.20347139,0.00000000,0.00000000
1740.00000000,7.41687266,13.04453909,8.07712820,0.00000000,0.00000000
