times, G0G1_phase_mean, S_phase_mean, G2M_phase_mean, apoptotic_mean, necrotic_mean
0.0,37.0,42.0,21.0,0.0,0.0
30.0,36.3,42.5,22.7,0.3,0.0
60.0,38.5,43.6,22.2,0.4,0.0
90.0,39.5,44.0,22.7,0.5,0.0
120.0,41.0,45.5,22.2,0.7,0.0
150.0,41.2,46.6,23.1,0.8,0.0
180.0,41.6,46.9,24.5,1.0,0.0
210.0,43.1,47.6,24.7,1.1,0.0
240.0,43.0,49.2,25.2,1.4,0.0
270.0,42.5,51.1,25.6,1.5,0.0
300.0,43.9,51.0,26.8,1.6,0.0
330.0,46.3,51.8,26.4,1.9,0.0
360.0,47.0,53.0,27.1,2.0,0.0
390.0,47.7,53.9,27.9,2.1,0.0
420.0,48.6,55.1,28.4,2.1,0.0
450.0,48.9,57.1,28.7,2.3,0.0
480.0,51.1,57.3,29.6,2.3,0.0
510.0,50.8,58.8,30.9,2.4,0.0
540.0,51.1,61.4,31.2,2.2,0.0
570.0,50.4,62.1,33.0,2.8,0.0
600.0,50.2,63.8,34.2,2.9,0.0
630.0,51.9,64.1,35.3,2.9,0.0
660.0,52.6,66.1,35.3,2.9,0.0
690.0,55.6,66.9,35.4,3.1,0.0
720.0,55.0,67.6,37.7,3.1,0.0
750.0,57.2,68.4,38.3,3.2,0.0
780.0,60.8,69.4,38.0,3.0,0.0
810.0,61.6,71.6,38.5,3.0,0.0
840.0,66.1,74.0,36.9,3.2,0.0
870.0,68.3,75.7,37.1,3.4,0.0
900.0,67.9,78.2,38.0,3.5,0.0
930.0,68.6,81.2,38.0,3.8,0.0
960.0,68.8,81.7,40.0,4.3,0.0
990.0,69.4,84.2,41.0,4.3,0.0
1020.0,70.9,85.6,41.5,4.8,0.0
1050.0,71.8,87.4,42.4,5.2,0.0
1080.0,73.7,87.7,44.4,5.0,0.0
1110.0,72.6,91.9,45.2,5.0,0.0
1140.0,76.1,91.0,47.0,5.2,0.0
1170.0,78.5,91.4,48.1,5.9,0.0
1200.0,79.9,93.5,48.8,6.4,0.0
1230.0,82.9,94.1,50.1,6.5,0.0
1260.0,86.3,96.6,49.4,6.9,0.0
1290.0,89.2,99.2,49.0,7.1,0.0
1320.0,90.3,102.2,50.0,7.5,0.0
1350.0,89.5,103.6,52.9,7.2,0.0
1380.0,91.6,104.7,54.5,7.1,0.0
1410.0,92.2,105.9,56.8,7.1,0.0
1440.0,95.9,108.1,57.0,6.8,0.0
1470.0,101.4,109.9,56.4,6.7,0.0
1500.0,102.7,111.1,58.8,7.1,0.0
1530.0,103.2,111.9,62.5,6.8,0.0
1560.0,104.2,115.1,63.1,7.1,0.0
1590.0,105.4,119.4,63.1,7.4,0.0
1620.0,113.3,123.0,60.4,7.6,0.0
1650.0,114.3,126.0,62.5,7.6,0.0
1680.0,116.6,128.7,63.7,7.1,0.0
1710.0,117.2,131.7,65.8,7.2,0.0
1740.0,117.7,134.2,68.1,7.6,0.0
1770.0,120.2,134.6,71.0,7.5,0.0
1800.0,124.3,135.5,72.8,7.4,0.0
1830.0,125.6,139.7,73.8,7.6,0.0
1860.0,127.2,143.9,74.9,8.4,0.0
1890.0,126.9,149.6,75.3,8.9,0.0
1920.0,132.0,151.3,75.8,9.5,0.0
1950.0,132.2,154.2,78.3,10.3,0.0
1980.0,134.0,158.9,79.4,10.4,0.0
2010.0,136.8,163.1,80.6,10.2,0.0
2040.0,140.6,163.8,83.8,10.5,0.0
2070.0,143.9,164.7,87.1,10.2,0.0
2100.0,147.1,166.7,90.4,10.1,0.0
2130.0,148.8,168.6,94.6,9.9,0.0
2160.0,153.5,173.2,94.3,10.1,0.0
2190.0,155.8,176.1,96.9,10.4,0.0
2220.0,160.3,179.5,97.9,10.3,0.0
2250.0,165.4,182.7,98.7,10.1,0.0
2280.0,167.3,184.9,102.8,10.0,0.0
2310.0,172.0,189.1,104.0,10.1,0.0
2340.0,178.5,192.3,104.0,10.6,0.0
2370.0,180.5,198.1,105.5,10.8,0.0
2400.0,185.1,200.4,107.8,11.3,0.0
2430.0,183.3,207.2,111.0,10.9,0.0
2460.0,186.4,213.0,111.9,10.7,0.0
2490.0,191.2,216.6,114.1,11.3,0.0
2520.0,194.6,220.5,116.6,11.8,0.0
2550.0,200.2,223.8,118.7,12.0,0.0
2580.0,204.9,228.6,121.0,12.8,0.0
2610.0,208.4,234.2,123.4,12.9,0.0
2640.0,209.3,242.1,125.8,12.7,0.0
2670.0,216.7,247.6,125.9,13.4,0.0
2700.0,216.9,254.0,129.8,13.5,0.0
2730.0,223.5,258.1,131.7,13.6,0.0
2760.0,228.3,261.9,135.1,13.9,0.0
2790.0,230.9,268.1,138.4,14.2,0.0
2820.0,236.5,272.9,141.3,14.7,0.0
2850.0,241.9,279.1,142.9,15.1,0.0
2880.0,244.2,285.7,146.5,14.9,0.0
2910.0,249.0,292.7,148.4,14.9,0.0
2940.0,255.7,296.0,153.6,15.4,0.0
2970.0,261.7,300.5,157.0,15.9,0.0
3000.0,267.4,306.9,159.0,16.3,0.0
3030.0,273.5,314.0,161.0,16.7,0.0
3060.0,278.6,323.2,162.8,16.7,0.0
3090.0,285.9,326.9,166.4,16.3,0.0
3120.0,294.6,332.7,170.0,16.8,0.0
3150.0,300.3,337.8,173.8,18.5,0.0
3180.0,309.6,341.2,177.4,18.7,0.0
3210.0,314.1,352.1,177.9,20.1,0.0
3240.0,318.7,361.9,180.2,20.9,0.0
3270.0,323.8,374.0,182.0,21.3,0.0
3300.0,329.4,379.0,187.9,22.3,0.0
3330.0,336.7,385.8,191.6,23.3,0.0
3360.0,342.2,393.8,196.2,23.4,0.0
3390.0,345.0,404.2,201.2,25.0,0.0
3420.0,352.3,410.8,206.5,25.6,0.0
3450.0,356.8,417.2,213.7,26.2,0.0
3480.0,364.2,425.7,216.9,27.0,0.0
3510.0,369.4,433.5,223.1,27.6,0.0
3540.0,373.4,439.2,231.7,28.4,0.0
3570.0,380.4,449.9,234.6,29.0,0.0
3600.0,393.5,454.9,240.0,29.7,0.0
