times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,3.87427413,2.06155281,1.90000000,0.45825757,0.00000000
60.00000000,4.67439836,2.33238076,3.40000000,0.66332496,0.00000000
90.00000000,3.93064880,2.68328157,3.03479818,0.80622577,0.00000000
120.00000000,5.47722558,3.69459064,3.51567917,0.78102497,0.00000000
150.00000000,5.11468474,3.49857114,3.33016516,0.87177979,0.00000000
180.00000000,5.37028863,3.72692903,3.77491722,0.89442719,0.00000000
210.00000000,5.02891638,2.61533937,3.06757233,0.83066239,0.00000000
240.00000000,4.93963561,2.03960781,3.24961536,0.91651514,0.00000000
270.00000000,7.29725976,3.20780299,4.69467784,1.02469508,0.00000000
300.00000000,6.47224845,3.94968353,4.35430821,1.11355287,0.00000000
330.00000000,4.33704969,3.91918359,3.55527777,1.30000000,0.00000000
360.00000000,4.19523539,3.46410162,2.62488095,1.18321596,0.00000000
390.00000000,4.42831797,3.85875628,2.80891438,1.30000000,0.00000000
420.00000000,5.66038868,4.90815648,4.92341345,1.30000000,0.00000000
450.00000000,6.62495283,5.04876222,4.22018957,1.34536240,0.00000000
480.00000000,4.01123422,5.51452627,3.87814389,1.34536240,0.00000000
510.00000000,4.99599840,4.83321839,5.26212885,1.20000000,0.00000000
540.00000000,5.83866423,5.76541412,4.60000000,1.16619038,0.00000000
570.00000000,5.81721583,3.14483704,3.52136337,0.97979590,0.00000000
600.00000000,5.63560112,3.84187454,3.76297754,1.13578167,0.00000000
630.00000000,5.55787729,3.41906420,3.34813381,1.13578167,0.00000000
660.00000000,6.32771681,4.10974452,3.90000000,1.30000000,0.00000000
690.00000000,5.33291665,5.53985559,4.88262225,1.22065556,0.00000000
720.00000000,7.05691151,5.55337735,5.11957029,1.37477271,0.00000000
750.00000000,6.95413546,5.33291665,3.37786915,1.16619038,0.00000000
780.00000000,6.95413546,4.00499688,2.93257566,1.18321596,0.00000000
810.00000000,6.42183774,4.22374242,3.10644491,1.41421356,0.00000000
840.00000000,5.90677577,4.83735465,4.96890330,1.93907194,0.00000000
870.00000000,5.51452627,4.60543158,6.45677938,2.05912603,0.00000000
900.00000000,6.31585307,5.03587132,6.54217089,2.01246118,0.00000000
930.00000000,7.05974504,6.43117408,5.65685425,1.83303028,0.00000000
960.00000000,8.93084542,6.06712452,7.01427117,1.84661853,0.00000000
990.00000000,10.02197585,5.09509568,5.72712843,1.79164729,0.00000000
1020.00000000,11.28228700,5.18073354,8.05294977,1.32664992,0.00000000
1050.00000000,10.23523327,6.06959636,8.74299720,1.32664992,0.00000000
1080.00000000,10.43120319,6.37259759,8.42852300,1.26491106,0.00000000
1110.00000000,10.24890238,7.42226381,9.11921049,1.41421356,0.00000000
1140.00000000,7.54254599,8.46167832,8.25832913,1.77763888,0.00000000
1170.00000000,9.11317727,10.40384544,7.95550124,1.22065556,0.00000000
1200.00000000,9.10439454,8.98053451,5.41848687,1.49666295,0.00000000
1230.00000000,9.67935948,7.91770169,3.83275358,1.43178211,0.00000000
1260.00000000,9.03382532,6.24819974,3.95474399,1.51327460,0.00000000
1290.00000000,8.66948672,5.63560112,4.53872229,1.57797338,0.00000000
1320.00000000,7.52396172,6.30555311,5.17687164,1.68819430,0.00000000
1350.00000000,6.85930026,8.33306666,4.76340215,1.88679623,0.00000000
1380.00000000,9.71802449,10.14938422,5.20096145,2.21133444,0.00000000
1410.00000000,10.55272477,10.66255129,6.24179461,2.11896201,0.00000000
1440.00000000,12.44548111,9.52312974,7.08519583,1.88679623,0.00000000
1470.00000000,10.60377291,8.56095789,7.57891813,2.14709106,0.00000000
1500.00000000,9.31718842,8.21522976,6.64529909,2.50798724,0.00000000
1530.00000000,9.42125257,10.13360745,8.36958780,2.27156334,0.00000000
1560.00000000,8.82949602,10.99499886,7.35459040,2.07123152,0.00000000
1590.00000000,6.49923072,10.58489490,6.56429737,2.37486842,0.00000000
1620.00000000,8.50940656,10.38267788,5.49909083,2.61533937,0.00000000
1650.00000000,9.11098238,9.84885780,6.59166140,3.10483494,0.00000000
1680.00000000,5.46260011,10.39278596,6.22976725,3.36005952,0.00000000
1710.00000000,7.93473377,10.13952662,6.55438784,3.57211422,0.00000000
1740.00000000,5.96741150,10.66583330,5.64712316,3.82622529,0.00000000
1770.00000000,5.47357287,10.40384544,6.08276253,3.72155881,0.00000000
1800.00000000,5.55067563,9.46836839,7.44043010,3.61109402,0.00000000
1830.00000000,6.31189354,9.78825827,6.70522185,3.82622529,0.00000000
1860.00000000,8.45931439,10.71867529,5.10783712,3.85227206,0.00000000
1890.00000000,10.11385189,9.67677632,5.23545605,3.80657326,0.00000000
1920.00000000,13.47590442,11.00954132,6.61513416,3.74833296,0.00000000
1950.00000000,12.29471431,8.02246845,9.12195155,3.55105618,0.00000000
1980.00000000,12.72006289,7.73886297,9.71802449,3.10483494,0.00000000
2010.00000000,11.78812962,7.30000000,8.85663593,3.21869539,0.00000000
2040.00000000,11.75755077,7.33212111,10.42880626,2.57875939,0.00000000
2070.00000000,11.64001718,7.43034320,9.32148057,2.78567766,0.00000000
2100.00000000,12.61308844,5.72800140,9.32952303,2.87923601,0.00000000
2130.00000000,14.48309359,8.15107355,9.26498786,2.70000000,0.00000000
2160.00000000,13.96603022,10.12719112,9.60260381,2.54754784,0.00000000
2190.00000000,14.71597771,10.09405766,9.44933860,2.80000000,0.00000000
2220.00000000,16.24222891,9.85139584,10.76522178,3.10000000,0.00000000
2250.00000000,18.00111108,11.39341915,9.00055554,2.94788059,0.00000000
2280.00000000,16.51090549,10.63437821,8.81816307,2.72029410,0.00000000
2310.00000000,11.20714058,10.45418576,10.78888317,2.77308492,0.00000000
2340.00000000,9.72882316,9.97045636,11.94152419,2.80000000,0.00000000
2370.00000000,10.32714869,11.04943437,10.81896483,3.42928564,0.00000000
2400.00000000,17.12571166,10.08166653,10.77775487,3.31813200,0.00000000
2430.00000000,11.17183960,10.71260939,12.11610498,3.50570963,0.00000000
2460.00000000,11.90126044,10.39230485,11.91175890,2.90000000,0.00000000
2490.00000000,12.32720568,8.89044431,9.54410813,3.28785644,0.00000000
2520.00000000,11.92644121,10.51903037,11.53429668,4.30813185,0.00000000
2550.00000000,11.70299107,10.74988372,11.26099463,4.17133072,0.00000000
2580.00000000,12.01207726,9.90151504,11.46298390,4.81248377,0.00000000
2610.00000000,14.69149414,11.15168149,9.02441134,5.12737750,0.00000000
2640.00000000,17.67512376,11.14854251,10.16661202,5.02095608,0.00000000
2670.00000000,10.28639879,10.12126474,7.03491293,4.40908154,0.00000000
2700.00000000,15.02298239,7.54983444,9.44245731,4.47772264,0.00000000
2730.00000000,13.93735986,11.22007130,7.75951029,4.20000000,0.00000000
2760.00000000,15.91885674,15.00299970,7.91770169,3.61801050,0.00000000
2790.00000000,15.81423409,15.75722057,6.28012739,3.68239053,0.00000000
2820.00000000,17.88435070,18.21235844,5.60446251,3.97617907,0.00000000
2850.00000000,17.62072643,16.79553512,8.26377638,3.30000000,0.00000000
2880.00000000,23.34866163,16.85852900,12.04367054,2.46779254,0.00000000
2910.00000000,16.65532948,14.62908063,10.96540013,2.98161030,0.00000000
2940.00000000,18.21016200,16.13071604,13.63964809,3.16859590,0.00000000
2970.00000000,20.63516416,13.55175265,11.48912529,3.44818793,0.00000000
3000.00000000,18.36954001,13.83076281,10.81665383,2.60959767,0.00000000
3030.00000000,19.08533468,12.77497554,9.24121204,2.64764046,0.00000000
3060.00000000,18.53752950,13.31765745,14.20422472,2.14709106,0.00000000
3090.00000000,21.30469432,12.16922348,14.10106379,2.32594067,0.00000000
3120.00000000,21.40186908,12.75970219,12.10784869,2.60000000,0.00000000
3150.00000000,26.51810702,15.48418548,12.36769987,3.20156212,0.00000000
3180.00000000,23.65671152,16.44262753,11.95993311,3.28785644,0.00000000
3210.00000000,25.60644450,20.11690831,10.02447006,2.73678644,0.00000000
3240.00000000,30.27887052,16.72991333,10.97087052,3.38969025,0.00000000
3270.00000000,26.69756543,16.47422229,10.30533842,3.63455637,0.00000000
3300.00000000,20.20989856,13.41640786,9.71030381,3.97617907,0.00000000
3330.00000000,23.06100605,12.97536127,11.25344392,4.64865572,0.00000000
3360.00000000,17.15109326,15.86694678,10.97087052,4.22374242,0.00000000
3390.00000000,17.74260409,15.42595216,12.82809417,4.26614580,0.00000000
3420.00000000,23.29399064,18.66440462,12.26580613,5.31413210,0.00000000
3450.00000000,24.00333310,22.74115213,12.84562182,5.97996656,0.00000000
3480.00000000,23.75626233,22.15423210,13.25481045,4.89897949,0.00000000
3510.00000000,28.57691376,21.88721088,12.07849328,4.20000000,0.00000000
3540.00000000,35.65725733,21.73844521,14.58800877,4.07921561,0.00000000
3570.00000000,32.37344591,22.96279600,12.77654100,4.31277173,0.00000000
3600.00000000,26.46601594,20.27535450,9.69535971,3.97617907,0.00000000
