times, G0G1_phase_mean, S_phase_mean, G2M_phase_mean, apoptotic_mean, necrotic_mean
0.0,370.0,420.0,210.0,0.0,0.0
30.0,377.9,428.4,214.6,1.2,0.0
60.0,382.7,437.6,222.0,2.2,0.0
90.0,391.7,445.6,226.4,3.9,0.0
120.0,402.0,459.6,225.3,5.7,0.0
150.0,405.9,466.7,234.5,8.2,0.0
180.0,418.0,472.5,240.6,9.9,0.0
210.0,422.0,486.3,245.5,12.0,0.0
240.0,431.0,493.4,251.5,14.2,0.0
270.0,439.7,505.5,254.6,16.5,0.0
300.0,447.1,515.2,260.6,18.8,0.0
330.0,453.0,526.2,267.0,21.1,0.0
360.0,465.9,539.6,269.2,22.9,0.0
390.0,476.0,549.8,273.8,25.1,0.0
420.0,485.3,557.4,282.2,27.4,0.0
450.0,497.0,566.0,289.3,29.8,0.0
480.0,506.2,577.7,295.1,32.8,0.0
510.0,508.9,586.8,306.8,34.7,0.0
540.0,518.9,596.9,314.0,36.5,0.0
570.0,531.3,608.8,317.8,38.6,0.0
600.0,541.4,619.6,324.8,40.0,0.0
630.0,554.0,633.8,329.3,39.8,0.0
660.0,567.6,644.4,335.1,40.8,0.0
690.0,580.7,658.3,341.2,41.2,0.0
720.0,590.0,673.1,348.5,41.3,0.0
750.0,601.4,682.5,358.6,40.9,0.0
780.0,618.0,696.0,363.3,40.6,0.0
810.0,635.5,704.4,372.6,40.6,0.0
840.0,652.6,715.2,378.5,41.8,0.0
870.0,670.3,734.5,380.8,42.6,0.0
900.0,683.2,748.7,388.3,44.3,0.0
930.0,689.3,770.4,394.6,46.0,0.0
960.0,696.2,788.5,403.3,47.1,0.0
990.0,713.7,801.7,413.2,46.6,0.0
1020.0,726.8,819.8,421.3,47.3,0.0
1050.0,739.1,837.2,431.3,48.2,0.0
1080.0,752.7,855.9,440.1,47.5,0.0
1110.0,765.0,874.1,449.2,48.4,0.0
1140.0,785.5,886.5,459.3,49.7,0.0
1170.0,805.7,901.4,468.2,50.3,0.0
