times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,10.91283648,5.78273292,5.98665182,1.07703296,0.00000000
60.00000000,17.61845623,8.12649986,8.88819442,1.32664992,0.00000000
90.00000000,26.12297839,8.32105763,12.96302434,1.13578167,0.00000000
120.00000000,25.35350074,10.89219904,12.28861261,2.14709106,0.00000000
150.00000000,18.78004260,11.70512708,11.67261753,1.93907194,0.00000000
180.00000000,21.89520495,13.13963470,11.80847154,1.75783958,0.00000000
210.00000000,18.39021479,14.13541651,12.72202814,2.09761770,0.00000000
240.00000000,14.16333294,17.02468796,8.76641318,2.27156334,0.00000000
270.00000000,11.90000000,12.91704301,5.85149554,2.57875939,0.00000000
300.00000000,11.59698237,14.06982587,7.67072356,3.40000000,0.00000000
330.00000000,11.04536102,12.78905782,11.39298029,3.93573373,0.00000000
360.00000000,20.53996105,17.51684903,13.03687079,4.52658812,0.00000000
390.00000000,24.16195356,19.78282083,12.68700122,4.03608721,0.00000000
420.00000000,25.08804496,18.61289875,12.82809417,3.63868108,0.00000000
450.00000000,23.00000000,21.23676058,12.88448680,3.96988665,0.00000000
480.00000000,19.98899697,19.07904610,11.94529196,4.87442304,0.00000000
510.00000000,19.79621176,16.79166460,12.40000000,4.51774280,0.00000000
540.00000000,22.79671029,19.43939299,17.00588134,5.12347538,0.00000000
570.00000000,20.73185954,13.98427689,12.38386046,4.56508488,0.00000000
600.00000000,20.30861886,11.94319890,11.05260150,5.44058820,0.00000000
630.00000000,23.90815760,10.83328205,7.65571682,5.24976190,0.00000000
660.00000000,27.78920654,14.90771612,8.38391317,5.75847202,0.00000000
690.00000000,30.08338412,12.38587906,14.17603612,6.40000000,0.00000000
720.00000000,33.30165161,10.09405766,15.33134045,5.58659109,0.00000000
750.00000000,26.07374158,14.17921013,15.87576770,5.00899191,0.00000000
780.00000000,19.65705980,15.67801008,13.21400772,5.16139516,0.00000000
810.00000000,16.04524852,21.58332690,12.18359553,5.06359556,0.00000000
840.00000000,26.22670395,18.48675201,15.12778900,5.43691089,0.00000000
870.00000000,22.17678967,15.60288435,14.87144916,5.90254183,0.00000000
900.00000000,28.98206342,15.40811475,11.04581369,6.13269924,0.00000000
