times, G0G1_phase_mean, S_phase_mean, G2M_phase_mean, apoptotic_mean, necrotic_mean
0.0,37.0,42.0,21.0,0.0,0.0
30.0,36.2,42.5,22.9,0.0,0.0
60.0,37.9,44.3,22.6,0.0,0.0
90.0,39.9,44.4,22.8,0.0,0.0
120.0,41.9,45.4,22.7,0.0,0.0
150.0,41.2,48.3,22.5,0.0,0.0
180.0,41.3,49.3,23.7,0.0,0.0
210.0,41.9,49.4,24.8,0.0,0.0
240.0,43.5,51.0,24.4,0.0,0.0
270.0,44.6,51.8,24.8,0.0,0.0
300.0,47.3,52.1,25.2,0.0,0.0
330.0,47.5,55.5,24.4,0.0,0.0
360.0,47.5,56.6,25.9,0.0,0.0
390.0,46.6,56.4,28.8,0.0,0.0
420.0,49.8,57.0,28.6,0.0,0.0
450.0,51.5,59.6,27.9,0.0,0.0
480.0,50.8,61.4,29.4,0.0,0.0
510.0,52.8,62.7,29.4,0.0,0.0
540.0,52.6,63.3,31.4,0.0,0.0
570.0,54.5,62.8,32.9,0.0,0.0
600.0,53.6,65.1,34.1,0.0,0.0
630.0,56.9,64.9,34.8,0.0,0.0
660.0,56.8,66.1,36.2,0.0,0.0
690.0,58.9,68.4,36.1,0.0,0.0
720.0,61.7,68.6,36.9,0.0,0.0
750.0,60.7,71.8,37.5,0.0,0.0
780.0,60.8,73.2,39.1,0.0,0.0
810.0,64.4,72.2,40.2,0.0,0.0
840.0,64.8,74.4,41.6,0.0,0.0
870.0,65.8,76.0,42.9,0.0,0.0
900.0,66.8,77.8,44.0,0.0,0.0
930.0,67.5,79.5,45.3,0.0,0.0
960.0,71.2,80.7,45.0,0.0,0.0
990.0,72.8,83.3,45.1,0.0,0.0
1020.0,72.4,86.3,46.8,0.0,0.0
1050.0,75.7,88.7,46.1,0.0,0.0
1080.0,78.6,90.8,46.7,0.0,0.0
1110.0,79.8,93.7,47.4,0.0,0.0
1140.0,81.2,94.2,50.2,0.0,0.0
1170.0,83.2,96.4,51.8,0.0,0.0
1200.0,87.3,97.8,51.9,0.0,0.0
1230.0,87.2,100.9,53.9,0.0,0.0
1260.0,86.8,103.9,55.6,0.0,0.0
1290.0,91.9,105.7,54.7,0.0,0.0
1320.0,92.4,108.8,56.1,0.0,0.0
1350.0,94.5,110.9,57.6,0.0,0.0
1380.0,99.2,111.8,58.4,0.0,0.0
1410.0,102.0,113.9,59.3,0.0,0.0
1440.0,104.6,117.2,60.0,0.0,0.0
1470.0,106.3,121.2,60.8,0.0,0.0
1500.0,106.5,124.5,62.9,0.0,0.0
1530.0,112.4,129.4,60.9,0.0,0.0
1560.0,115.9,131.6,61.9,0.0,0.0
1590.0,118.8,133.9,63.2,0.0,0.0
1620.0,119.1,136.8,66.3,0.0,0.0
1650.0,119.5,142.0,67.2,0.0,0.0
1680.0,123.4,143.9,68.9,0.0,0.0
1710.0,124.2,149.0,70.2,0.0,0.0
1740.0,126.7,152.1,72.2,0.0,0.0
1770.0,129.7,158.1,71.6,0.0,0.0
1800.0,131.4,160.8,75.0,0.0,0.0
1830.0,136.6,162.5,76.3,0.0,0.0
1860.0,137.8,165.3,79.5,0.0,0.0
1890.0,139.5,169.7,81.8,0.0,0.0
1920.0,141.3,175.5,82.6,0.0,0.0
1950.0,140.5,180.1,86.8,0.0,0.0
1980.0,144.8,181.5,89.9,0.0,0.0
2010.0,149.4,184.7,91.5,0.0,0.0
2040.0,154.3,184.7,95.7,0.0,0.0
2070.0,157.4,189.6,97.2,0.0,0.0
2100.0,162.8,191.7,100.0,0.0,0.0
2130.0,168.7,195.8,100.6,0.0,0.0
2160.0,173.8,199.1,102.5,0.0,0.0
2190.0,175.4,202.3,106.9,0.0,0.0
2220.0,177.7,206.3,110.4,0.0,0.0
2250.0,184.4,211.0,110.7,0.0,0.0
2280.0,188.1,217.7,111.9,0.0,0.0
2310.0,192.7,223.2,113.5,0.0,0.0
2340.0,197.4,229.0,115.6,0.0,0.0
2370.0,198.6,233.6,120.4,0.0,0.0
2400.0,202.6,238.4,123.4,0.0,0.0
2430.0,207.4,243.0,126.3,0.0,0.0
2460.0,211.1,250.4,127.9,0.0,0.0
2490.0,210.6,258.4,132.7,0.0,0.0
2520.0,213.9,261.2,138.7,0.0,0.0
2550.0,220.9,265.7,141.1,0.0,0.0
2580.0,228.8,271.8,141.5,0.0,0.0
2610.0,239.0,274.6,144.4,0.0,0.0
2640.0,245.0,279.6,147.5,0.0,0.0
2670.0,249.2,288.4,149.0,0.0,0.0
2700.0,256.6,294.7,151.9,0.0,0.0
2730.0,263.0,300.5,155.2,0.0,0.0
2760.0,262.8,308.1,160.6,0.0,0.0
2790.0,262.6,316.3,166.0,0.0,0.0
2820.0,266.8,320.9,172.8,0.0,0.0
2850.0,277.9,327.4,174.4,0.0,0.0
2880.0,283.8,336.7,177.3,0.0,0.0
2910.0,294.4,340.8,181.5,0.0,0.0
2940.0,296.0,350.7,187.1,0.0,0.0
2970.0,307.9,361.2,185.4,0.0,0.0
3000.0,317.9,364.5,191.3,0.0,0.0
3030.0,324.8,375.1,192.8,0.0,0.0
3060.0,329.2,385.2,197.6,0.0,0.0
3090.0,336.7,393.6,202.3,0.0,0.0
3120.0,343.2,398.4,210.2,0.0,0.0
3150.0,349.0,407.3,214.8,0.0,0.0
3180.0,355.4,413.8,222.0,0.0,0.0
3210.0,364.6,420.4,226.7,0.0,0.0
3240.0,373.6,432.9,228.2,0.0,0.0
3270.0,381.2,443.5,233.0,0.0,0.0
3300.0,386.6,456.0,237.4,0.0,0.0
3330.0,397.3,468.6,238.6,0.0,0.0
3360.0,403.1,479.5,244.7,0.0,0.0
3390.0,412.5,488.1,250.4,0.0,0.0
3420.0,419.3,502.1,254.4,0.0,0.0
3450.0,428.8,513.0,260.1,0.0,0.0
3480.0,443.0,519.2,266.2,0.0,0.0
3510.0,447.4,531.8,274.1,0.0,0.0
3540.0,458.8,539.6,282.2,0.0,0.0
3570.0,477.3,549.9,285.2,0.0,0.0
3600.0,488.0,562.1,291.0,0.0,0.0
