times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,3.86781592,2.45967478,2.02237484,0.00000000,0.00000000
60.00000000,5.39351462,1.79164729,3.77359245,0.00000000,0.00000000
90.00000000,3.88458492,2.93938769,2.95972972,0.00000000,0.00000000
120.00000000,5.66480362,3.85227206,3.00166620,0.00000000,0.00000000
150.00000000,5.68858506,3.60693776,3.38378486,0.00000000,0.00000000
180.00000000,4.60543158,3.63455637,3.82230297,0.00000000,0.00000000
210.00000000,4.76340215,3.80000000,3.68239053,0.00000000,0.00000000
240.00000000,3.80131556,3.00000000,2.45764115,0.00000000,0.00000000
270.00000000,3.87814389,3.81575681,3.78945906,0.00000000,0.00000000
300.00000000,5.02095608,2.98161030,3.51567917,0.00000000,0.00000000
330.00000000,5.51815186,3.38378486,2.41660919,0.00000000,0.00000000
360.00000000,5.95399026,3.10483494,2.25610283,0.00000000,0.00000000
390.00000000,5.21919534,3.74699880,2.78567766,0.00000000,0.00000000
420.00000000,3.86781592,4.83735465,2.53771551,0.00000000,0.00000000
450.00000000,5.00499750,5.53534100,3.56230263,0.00000000,0.00000000
480.00000000,4.74973683,5.21919534,3.87814389,0.00000000,0.00000000
510.00000000,4.28485706,5.93380148,4.20000000,0.00000000,0.00000000
540.00000000,3.41174442,4.56179789,4.07921561,0.00000000,0.00000000
570.00000000,4.94469413,5.45527268,3.41906420,0.00000000,0.00000000
600.00000000,5.86856030,5.76974869,4.01123422,0.00000000,0.00000000
630.00000000,7.38173421,6.71490879,3.15594677,0.00000000,0.00000000
660.00000000,5.77581163,6.30000000,3.31058907,0.00000000,0.00000000
690.00000000,6.36317531,5.42586399,3.23882695,0.00000000,0.00000000
720.00000000,6.45058137,4.75815090,4.10974452,0.00000000,0.00000000
750.00000000,6.72383819,5.11468474,4.31856458,0.00000000,0.00000000
780.00000000,8.66948672,5.15363949,4.48218697,0.00000000,0.00000000
810.00000000,9.57287836,5.23067873,4.55631430,0.00000000,0.00000000
840.00000000,6.86731389,4.94368284,4.69467784,0.00000000,0.00000000
870.00000000,8.24378554,2.28035085,4.67867503,0.00000000,0.00000000
900.00000000,6.92531588,4.57820926,4.49444101,0.00000000,0.00000000
930.00000000,8.92468487,4.96487663,5.58659109,0.00000000,0.00000000
960.00000000,6.80881781,6.14898366,5.42217668,0.00000000,0.00000000
990.00000000,7.24982758,5.58659109,5.62938718,0.00000000,0.00000000
1020.00000000,10.03194896,7.04343666,6.17737808,0.00000000,0.00000000
1050.00000000,10.93663568,5.81463670,5.90677577,0.00000000,0.00000000
1080.00000000,12.25724276,6.14491660,4.71274867,0.00000000,0.00000000
