,mean,sd,hdi_3%,hdi_97%,mpv
c1,-0.001507563274403,0.000127805824429,-0.001679759449919,-0.001315480662074,-0.0016421514820554616
c3,0.003685320887748,0.000208902870166,0.003374995450384,0.003982691919133,0.003892037691578579
c4,4.459129081e-06,1.7954152e-07,4.132680214e-06,4.769838712e-06,4.388698768617643e-06
c9,-1.2162109837e-05,5.15655927e-07,-1.3120258597e-05,-1.1307414023e-05,-1.2007795389513148e-05
c11,0.003027071589152,0.00011102529341,0.002812093490909,0.003219297096492,0.0030676749527467563
c12,-0.001833997344267,9.5551890816e-05,-0.001995324267891,-0.001647745506175,-0.0018679212271211511
c14,-3.356097004e-06,1.44217202e-07,-3.60771391e-06,-3.153473058e-06,-3.285386554732794e-06
c17,2.361191572e-06,1.09917592e-07,2.19566699e-06,2.549998744e-06,2.3184783629849214e-06
c22,0.000143731220777,9.850257327e-06,0.000126416219305,0.00016074289549,0.00014828994072820707
c23,0.000453025260042,1.6817267979e-05,0.000426093811035,0.000485931260574,0.0004490667645514828
c27,6.89861832e-07,3.3922634e-08,6.2175585e-07,7.45722572e-07,6.796627212964805e-07
c29,-2.627053489e-06,1.19119305e-07,-2.852540733e-06,-2.431419094e-06,-2.5323823853890444e-06
G0G10,36.712916288396826,0.819539930402155,35.22731456728424,38.269135970333494,37.10616814461156
S0,41.49524220621057,1.137185763513455,39.303963513974395,43.59018500719215,41.55381416356197
G2M0,21.17157939852877,0.301660619695656,20.591362028958695,21.70849159495039,21.128921420250297
std_deviation[0],3.04331219863731,0.216291363925355,2.657325739677422,3.463278313174128,2.9984694512564847
std_deviation[1],2.9858263673329,0.199614260037543,2.635644138788649,3.381297947393652,3.0126349600262903
std_deviation[2],2.502380394220018,0.180802545723225,2.177852566837536,2.840212183302936,2.4193651406500827
