times, Ki67_negative_mean, Ki67_positive_premitotic_mean, Ki67_positive_postmitotic_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0,0.0,0.0
30.0,85.4,14.3,0.6,0.0,0.0
60.0,73.0,26.1,2.1,0.0,0.0
90.0,64.9,33.7,3.9,0.0,0.0
120.0,58.3,40.4,5.0,0.0,0.0
150.0,52.6,45.4,7.6,0.0,0.0
180.0,48.1,49.1,10.5,0.0,0.0
210.0,42.9,54.8,11.2,0.0,0.0
240.0,38.3,58.9,15.1,0.0,0.0
270.0,36.6,61.3,16.8,0.0,0.0
300.0,33.5,64.2,20.3,0.0,0.0
330.0,33.1,66.4,20.7,0.0,0.0
360.0,33.4,68.4,20.6,0.0,0.0
390.0,30.9,71.1,23.6,0.0,0.0
420.0,31.0,73.9,22.9,0.0,0.0
450.0,32.0,74.2,24.5,0.0,0.0
480.0,32.1,75.0,27.1,0.0,0.0
510.0,33.6,76.9,26.2,0.0,0.0
540.0,35.5,78.4,25.4,0.0,0.0
570.0,35.2,81.6,24.8,0.0,0.0
600.0,36.4,83.5,25.3,0.0,0.0
630.0,36.3,84.9,27.8,0.0,0.0
660.0,36.3,86.9,28.7,0.0,0.0
690.0,37.5,90.1,27.2,0.0,0.0
720.0,38.9,90.0,29.5,0.0,0.0
750.0,39.0,92.3,30.2,0.0,0.0
780.0,39.0,94.5,31.8,0.0,0.0
810.0,40.0,96.5,32.1,0.0,0.0
840.0,41.2,97.0,35.5,0.0,0.0
870.0,42.0,98.8,36.2,0.0,0.0
900.0,43.1,100.8,36.6,0.0,0.0
930.0,42.7,103.1,39.1,0.0,0.0
960.0,44.7,104.4,39.7,0.0,0.0
990.0,46.2,105.8,41.2,0.0,0.0
1020.0,48.0,109.6,37.8,0.0,0.0
1050.0,49.4,112.7,36.3,0.0,0.0
1080.0,48.6,115.9,37.6,0.0,0.0
1110.0,48.3,119.4,39.2,0.0,0.0
1140.0,49.4,124.2,36.1,0.0,0.0
1170.0,49.9,124.9,40.5,0.0,0.0
1200.0,51.0,128.0,41.0,0.0,0.0
1230.0,50.6,130.3,44.0,0.0,0.0
1260.0,49.9,134.4,44.4,0.0,0.0
1290.0,50.8,136.9,45.1,0.0,0.0
1320.0,50.6,140.9,45.8,0.0,0.0
1350.0,55.4,142.0,45.8,0.0,0.0
1380.0,56.2,145.3,46.1,0.0,0.0
1410.0,57.1,148.2,47.4,0.0,0.0
1440.0,57.3,152.3,48.6,0.0,0.0
1470.0,59.9,153.9,49.7,0.0,0.0
1500.0,61.9,156.5,51.4,0.0,0.0
1530.0,61.1,160.1,54.5,0.0,0.0
1560.0,64.0,162.0,56.3,0.0,0.0
1590.0,69.1,162.6,57.4,0.0,0.0
1620.0,71.0,165.1,59.7,0.0,0.0
1650.0,72.1,169.5,59.7,0.0,0.0
1680.0,73.0,172.8,62.3,0.0,0.0
1710.0,76.8,173.1,66.9,0.0,0.0
1740.0,80.0,176.5,66.9,0.0,0.0
1770.0,80.6,180.5,69.8,0.0,0.0
1800.0,84.1,185.6,67.3,0.0,0.0
1830.0,85.3,189.4,69.9,0.0,0.0
1860.0,90.0,191.0,71.5,0.0,0.0
1890.0,94.9,193.8,72.2,0.0,0.0
1920.0,96.7,199.4,72.8,0.0,0.0
1950.0,96.5,206.1,72.9,0.0,0.0
1980.0,99.2,211.5,72.4,0.0,0.0
2010.0,100.9,217.1,72.7,0.0,0.0
2040.0,99.7,223.0,76.1,0.0,0.0
2070.0,100.4,229.6,77.1,0.0,0.0
2100.0,101.6,234.4,80.2,0.0,0.0
2130.0,101.5,242.2,80.2,0.0,0.0
2160.0,105.5,245.8,81.6,0.0,0.0
2190.0,109.6,250.7,81.7,0.0,0.0
2220.0,112.5,254.0,85.9,0.0,0.0
2250.0,114.8,260.7,85.6,0.0,0.0
2280.0,121.7,262.7,87.7,0.0,0.0
2310.0,122.5,267.6,93.8,0.0,0.0
2340.0,121.9,275.6,96.6,0.0,0.0
2370.0,125.2,279.8,101.6,0.0,0.0
2400.0,128.8,284.8,104.3,0.0,0.0
2430.0,130.4,292.0,106.6,0.0,0.0
2460.0,131.6,299.6,109.7,0.0,0.0
2490.0,134.4,306.0,112.9,0.0,0.0
2520.0,138.3,314.2,111.4,0.0,0.0
2550.0,142.0,320.6,115.2,0.0,0.0
2580.0,142.3,333.0,113.7,0.0,0.0
2610.0,147.4,336.5,119.5,0.0,0.0
2640.0,150.9,345.0,119.9,0.0,0.0
2670.0,155.8,352.7,119.7,0.0,0.0
2700.0,158.6,360.3,123.6,0.0,0.0
2730.0,160.2,368.4,126.9,0.0,0.0
2760.0,163.8,375.3,129.7,0.0,0.0
2790.0,165.0,384.6,135.7,0.0,0.0
2820.0,170.3,392.7,138.5,0.0,0.0
2850.0,175.4,402.3,138.9,0.0,0.0
2880.0,177.9,411.6,141.4,0.0,0.0
2910.0,179.7,423.0,143.8,0.0,0.0
2940.0,183.0,430.8,149.8,0.0,0.0
2970.0,190.2,437.4,153.0,0.0,0.0
3000.0,194.8,448.3,154.5,0.0,0.0
3030.0,206.6,457.5,148.4,0.0,0.0
3060.0,207.2,469.4,152.4,0.0,0.0
3090.0,207.8,484.1,153.8,0.0,0.0
3120.0,209.4,495.0,159.1,0.0,0.0
3150.0,211.7,505.4,165.1,0.0,0.0
3180.0,214.5,514.0,174.1,0.0,0.0
3210.0,220.3,521.3,183.1,0.0,0.0
3240.0,227.0,530.7,187.3,0.0,0.0
3270.0,228.8,539.7,199.2,0.0,0.0
3300.0,237.8,550.7,200.5,0.0,0.0
3330.0,248.1,562.0,200.2,0.0,0.0
3360.0,250.9,577.3,202.9,0.0,0.0
3390.0,255.9,594.1,201.0,0.0,0.0
3420.0,262.8,605.2,207.3,0.0,0.0
3450.0,268.7,618.1,212.8,0.0,0.0
3480.0,273.2,633.5,218.1,0.0,0.0
3510.0,283.0,648.3,216.1,0.0,0.0
3540.0,290.5,658.7,223.2,0.0,0.0
3570.0,293.6,671.3,234.9,0.0,0.0
3600.0,298.3,684.5,245.1,0.0,0.0
