times, Ki67_negative_std, Ki67_positive_premitotic_std, Ki67_positive_postmitotic_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,2.87054002,2.93428015,1.28062485,0.00000000,0.00000000
60.00000000,2.82842712,2.62488095,1.97230829,0.00000000,0.00000000
90.00000000,3.47706773,3.13209195,2.54754784,0.00000000,0.00000000
120.00000000,2.96816442,3.16859590,3.22490310,0.00000000,0.00000000
150.00000000,3.44093011,3.46987031,3.13687743,0.00000000,0.00000000
180.00000000,3.61801050,3.36005952,3.52845575,0.00000000,0.00000000
210.00000000,3.41906420,2.92574777,3.09192497,0.00000000,0.00000000
240.00000000,4.67011777,3.23882695,3.59026461,0.00000000,0.00000000
270.00000000,6.31189354,3.82230297,5.21152569,0.00000000,0.00000000
300.00000000,6.90289794,3.91918359,6.72383819,0.00000000,0.00000000
330.00000000,6.93469538,5.51724569,7.04343666,0.00000000,0.00000000
360.00000000,6.49923072,4.52106182,5.73061951,0.00000000,0.00000000
390.00000000,7.00642562,5.70000000,5.55337735,0.00000000,0.00000000
420.00000000,5.83095189,5.02891638,7.06328535,0.00000000,0.00000000
450.00000000,6.22896460,4.87442304,5.08428953,0.00000000,0.00000000
480.00000000,6.07371386,5.07937004,5.06853036,0.00000000,0.00000000
510.00000000,5.06359556,4.65725241,5.09509568,0.00000000,0.00000000
540.00000000,4.84252001,3.74699880,5.20000000,0.00000000,0.00000000
570.00000000,4.51220567,3.87814389,4.37721373,0.00000000,0.00000000
600.00000000,5.51724569,4.94469413,3.82230297,0.00000000,0.00000000
630.00000000,6.00083328,6.10655386,5.28772163,0.00000000,0.00000000
660.00000000,7.81088983,7.73886297,6.63400332,0.00000000,0.00000000
690.00000000,6.97495520,7.06328535,6.14491660,0.00000000,0.00000000
720.00000000,8.45517593,6.88476579,5.88642506,0.00000000,0.00000000
750.00000000,8.00000000,6.27773845,5.79309934,0.00000000,0.00000000
780.00000000,7.83581521,5.22015325,6.12862138,0.00000000,0.00000000
810.00000000,7.04272674,4.47772264,6.17170965,0.00000000,0.00000000
840.00000000,6.40000000,6.51152824,6.11964051,0.00000000,0.00000000
870.00000000,7.05691151,6.12862138,7.53392328,0.00000000,0.00000000
900.00000000,5.14684369,4.87442304,6.66633332,0.00000000,0.00000000
930.00000000,4.26731766,5.18555686,8.56095789,0.00000000,0.00000000
