times, Ki67_negative_mean, Ki67_positive_premitotic_mean, Ki67_positive_postmitotic_mean, apoptotic_mean, necrotic_mean
0.0,25.0,56.0,19.0,0.0,0.0
30.0,26.9,58.3,35.8,0.0,0.0
60.0,28.6,60.3,34.0,0.0,0.0
90.0,30.0,62.3,32.7,0.0,0.0
120.0,32.6,63.5,31.6,0.0,0.0
150.0,34.3,65.3,31.1,0.0,0.0
180.0,35.4,67.7,30.1,0.0,0.0
210.0,37.1,70.3,27.9,0.0,0.0
240.0,37.6,72.5,27.9,0.0,0.0
270.0,37.8,75.3,27.4,0.0,0.0
300.0,36.0,78.7,28.4,0.0,0.0
330.0,36.7,81.5,26.7,0.0,0.0
360.0,38.0,82.4,28.3,0.0,0.0
390.0,37.9,85.1,28.8,0.0,0.0
420.0,38.1,87.2,29.7,0.0,0.0
450.0,36.5,91.2,30.0,0.0,0.0
480.0,36.6,93.7,31.0,0.0,0.0
510.0,36.3,95.4,33.7,0.0,0.0
540.0,37.2,97.6,35.2,0.0,0.0
570.0,41.3,98.0,34.8,0.0,0.0
600.0,41.8,99.5,37.1,0.0,0.0
630.0,42.8,101.9,37.6,0.0,0.0
660.0,44.5,104.6,37.2,0.0,0.0
690.0,43.5,107.9,38.9,0.0,0.0
720.0,46.6,108.9,39.5,0.0,0.0
750.0,47.9,112.3,38.5,0.0,0.0
780.0,47.0,116.8,38.7,0.0,0.0
810.0,46.4,120.1,40.5,0.0,0.0
840.0,48.9,122.4,39.8,0.0,0.0
870.0,51.3,122.7,42.5,0.0,0.0
900.0,52.6,125.5,42.9,0.0,0.0
930.0,52.5,128.4,45.1,0.0,0.0
960.0,53.2,129.8,48.8,0.0,0.0
990.0,57.1,131.1,49.2,0.0,0.0
1020.0,57.5,135.9,47.4,0.0,0.0
1050.0,59.1,138.2,48.7,0.0,0.0
1080.0,61.6,139.6,50.6,0.0,0.0
1110.0,65.0,141.2,50.7,0.0,0.0
1140.0,60.1,149.6,51.7,0.0,0.0
1170.0,60.7,152.8,54.2,0.0,0.0
1200.0,61.8,155.8,55.6,0.0,0.0
1230.0,64.4,159.6,54.2,0.0,0.0
1260.0,65.1,162.9,56.1,0.0,0.0
1290.0,66.4,166.5,58.1,0.0,0.0
1320.0,68.3,170.0,59.4,0.0,0.0
1350.0,71.3,173.3,59.2,0.0,0.0
1380.0,71.7,177.6,61.0,0.0,0.0
1410.0,73.6,178.1,67.5,0.0,0.0
1440.0,76.4,181.0,69.0,0.0,0.0
1470.0,77.7,187.2,67.5,0.0,0.0
1500.0,79.9,191.2,67.9,0.0,0.0
1530.0,80.8,196.2,69.0,0.0,0.0
1560.0,81.5,200.0,72.7,0.0,0.0
1590.0,86.1,202.1,74.5,0.0,0.0
1620.0,90.4,205.1,73.9,0.0,0.0
1650.0,90.6,210.6,75.9,0.0,0.0
1680.0,93.0,214.2,78.4,0.0,0.0
1710.0,95.0,217.9,82.1,0.0,0.0
1740.0,97.6,222.8,82.8,0.0,0.0
1770.0,102.1,227.2,82.1,0.0,0.0
1800.0,104.7,232.7,81.9,0.0,0.0
1830.0,107.9,236.4,84.1,0.0,0.0
1860.0,110.8,242.1,85.1,0.0,0.0
1890.0,112.5,247.7,88.1,0.0,0.0
1920.0,114.0,255.6,86.7,0.0,0.0
1950.0,110.7,263.3,91.0,0.0,0.0
1980.0,114.6,270.7,87.9,0.0,0.0
2010.0,114.1,278.3,90.0,0.0,0.0
2040.0,116.8,282.8,95.1,0.0,0.0
2070.0,118.9,289.1,97.3,0.0,0.0
2100.0,121.4,296.3,97.1,0.0,0.0
2130.0,124.1,302.3,99.6,0.0,0.0
2160.0,128.4,309.1,98.8,0.0,0.0
2190.0,126.2,318.3,104.1,0.0,0.0
2220.0,128.4,324.7,108.6,0.0,0.0
2250.0,132.6,329.7,111.3,0.0,0.0
2280.0,133.7,338.9,113.3,0.0,0.0
2310.0,138.9,342.7,118.4,0.0,0.0
2340.0,143.2,348.6,121.4,0.0,0.0
2370.0,144.5,355.3,128.9,0.0,0.0
2400.0,152.3,362.1,127.2,0.0,0.0
2430.0,160.4,367.7,126.8,0.0,0.0
2460.0,162.3,374.2,133.9,0.0,0.0
2490.0,167.0,383.4,134.1,0.0,0.0
2520.0,172.7,390.0,137.5,0.0,0.0
2550.0,176.6,396.8,143.1,0.0,0.0
2580.0,178.1,404.1,151.6,0.0,0.0
2610.0,182.1,416.1,149.3,0.0,0.0
2640.0,186.3,424.1,154.6,0.0,0.0
2670.0,192.2,433.7,156.4,0.0,0.0
2700.0,197.1,444.3,155.2,0.0,0.0
2730.0,203.6,451.0,160.1,0.0,0.0
2760.0,206.6,459.4,168.0,0.0,0.0
2790.0,215.4,468.5,167.5,0.0,0.0
2820.0,220.0,477.4,173.1,0.0,0.0
2850.0,225.1,488.3,175.7,0.0,0.0
2880.0,230.0,501.6,174.4,0.0,0.0
2910.0,236.8,513.5,174.3,0.0,0.0
2940.0,239.5,525.4,179.7,0.0,0.0
2970.0,244.2,532.6,190.2,0.0,0.0
3000.0,247.2,549.1,189.0,0.0,0.0
3030.0,253.5,564.3,186.7,0.0,0.0
3060.0,255.5,576.3,197.7,0.0,0.0
3090.0,260.8,589.2,202.1,0.0,0.0
3120.0,262.5,603.2,209.6,0.0,0.0
3150.0,266.1,619.7,211.8,0.0,0.0
3180.0,272.8,633.7,213.3,0.0,0.0
3210.0,274.0,650.5,217.1,0.0,0.0
3240.0,278.9,665.0,219.7,0.0,0.0
3270.0,283.4,679.0,227.5,0.0,0.0
3300.0,296.7,686.0,236.7,0.0,0.0
3330.0,300.7,702.6,241.7,0.0,0.0
3360.0,304.9,719.8,246.1,0.0,0.0
3390.0,308.0,734.2,256.2,0.0,0.0
3420.0,315.4,749.6,263.1,0.0,0.0
3450.0,323.3,764.5,269.3,0.0,0.0
3480.0,330.0,780.1,276.3,0.0,0.0
3510.0,338.0,794.0,284.3,0.0,0.0
3540.0,347.1,809.1,290.6,0.0,0.0
3570.0,355.7,827.5,293.1,0.0,0.0
3600.0,365.4,842.1,301.9,0.0,0.0
