,mean,sd,hdi_3%,hdi_97%,mpv
c1,-0.001462719299054,0.000125065922704,-0.001650855098376,-0.00124188828053,-0.0015982029622947738
c3,0.002692367307599,0.000155185420278,0.002412561779903,0.002925497324029,0.0028576670882167012
c4,-4.132548e-09,4.70571e-10,-4.882215e-09,-3.348094e-09,-3.858813957037584e-09
c11,0.001655763558087,1.0137840591e-05,0.001637315101009,0.001674150613151,0.0016542511948873463
c12,2.7283044922e-05,3.145898803e-06,2.2218097716e-05,3.2333995807e-05,2.3291090143477827e-05
c17,-6.6208645e-08,3.736266e-09,-7.3297496e-08,-6.2138663e-08,-6.33725120548942e-08
c23,0.000725595111009,1.390442589e-05,0.000698059110831,0.000749900263942,0.000724311408945166
c27,4.6266027e-07,2.509995e-08,4.16953538e-07,5.04294644e-07,4.694711402098321e-07
c29,-3.8658458e-06,1.92012047e-07,-4.198033457e-06,-3.546790388e-06,-4.020317593141558e-06
Ki67_neg0,29.723142416493705,1.412046198627999,27.207833064983667,32.5326617076917,29.809437685982406
Ki67_pos_pre0,61.88914145135276,0.996388815383119,59.984926652479125,63.67407351168386,62.14370429138225
Ki67_pos_post0,22.163226123389077,0.436001326755626,21.331447413013542,22.951727122702483,22.037456799117084
std_deviation[0],4.559986464271192,0.310633494535658,3.98505227170628,5.131905423294627,4.39641730878591
std_deviation[1],4.35491141944542,0.306283309061236,3.804995357571612,4.939792107889646,4.340825639630115
std_deviation[2],4.14339338052579,0.297581354268524,3.565106227060846,4.673961142498881,4.072581454391837
