times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0
30.0,32.9,4.1,0.0,0.0
60.0,29.8,7.3,0.0,0.0
90.0,27.0,10.3,0.0,0.0
120.0,25.0,12.8,0.0,0.0
150.0,23.3,15.1,0.0,0.0
180.0,21.5,17.4,0.0,0.0
210.0,20.6,19.0,0.0,0.0
240.0,20.0,20.4,0.0,0.0
270.0,19.9,21.5,0.0,0.0
300.0,18.9,23.2,0.0,0.0
330.0,18.4,24.4,0.0,0.0
360.0,18.5,25.3,0.0,0.0
390.0,18.6,26.1,0.0,0.0
420.0,18.6,27.1,0.0,0.0
450.0,18.2,28.4,0.0,0.0
480.0,17.8,29.8,0.0,0.0
510.0,18.2,30.5,0.0,0.0
540.0,18.6,31.2,0.0,0.0
570.0,18.2,32.6,0.0,0.0
600.0,18.7,33.4,0.0,0.0
630.0,18.9,34.2,0.0,0.0
660.0,19.3,35.0,0.0,0.0
690.0,20.0,35.7,0.0,0.0
720.0,20.0,36.9,0.0,0.0
750.0,20.3,37.8,0.0,0.0
780.0,20.2,38.9,0.0,0.0
810.0,20.7,39.8,0.0,0.0
840.0,21.6,40.5,0.0,0.0
870.0,21.9,41.7,0.0,0.0
900.0,22.7,42.6,0.0,0.0
930.0,23.2,43.6,0.0,0.0
960.0,23.6,44.8,0.0,0.0
990.0,24.2,45.7,0.0,0.0
1020.0,24.7,46.8,0.0,0.0
1050.0,24.6,48.1,0.0,0.0
1080.0,25.8,48.9,0.0,0.0
1110.0,26.5,49.8,0.0,0.0
1140.0,26.3,51.4,0.0,0.0
1170.0,26.3,53.0,0.0,0.0
1200.0,26.4,54.4,0.0,0.0
1230.0,26.9,55.6,0.0,0.0
1260.0,27.3,56.8,0.0,0.0
1290.0,28.1,58.0,0.0,0.0
1320.0,29.1,58.9,0.0,0.0
1350.0,29.8,60.1,0.0,0.0
1380.0,30.4,61.5,0.0,0.0
1410.0,31.0,62.8,0.0,0.0
1440.0,32.4,63.8,0.0,0.0
1470.0,32.8,65.4,0.0,0.0
1500.0,32.6,67.3,0.0,0.0
1530.0,33.3,68.7,0.0,0.0
1560.0,34.7,70.0,0.0,0.0
1590.0,35.6,71.2,0.0,0.0
1620.0,37.2,72.2,0.0,0.0
1650.0,38.5,73.5,0.0,0.0
1680.0,39.2,75.2,0.0,0.0
1710.0,40.5,76.4,0.0,0.0
1740.0,40.8,78.6,0.0,0.0
1770.0,41.0,80.8,0.0,0.0
1800.0,40.9,83.1,0.0,0.0
1830.0,40.7,85.7,0.0,0.0
1860.0,42.2,87.1,0.0,0.0
1890.0,43.0,89.1,0.0,0.0
1920.0,44.2,91.1,0.0,0.0
1950.0,45.8,92.6,0.0,0.0
1980.0,46.7,94.6,0.0,0.0
2010.0,47.8,96.5,0.0,0.0
2040.0,47.9,99.3,0.0,0.0
2070.0,49.6,101.0,0.0,0.0
2100.0,51.4,102.9,0.0,0.0
2130.0,52.9,104.8,0.0,0.0
2160.0,53.2,107.7,0.0,0.0
2190.0,54.4,110.0,0.0,0.0
2220.0,55.9,112.4,0.0,0.0
2250.0,56.0,115.5,0.0,0.0
2280.0,57.0,117.9,0.0,0.0
2310.0,58.0,120.6,0.0,0.0
2340.0,59.8,122.8,0.0,0.0
2370.0,60.5,125.9,0.0,0.0
2400.0,62.3,128.4,0.0,0.0
2430.0,63.8,131.0,0.0,0.0
2460.0,64.9,133.9,0.0,0.0
2490.0,66.5,136.9,0.0,0.0
2520.0,66.9,140.6,0.0,0.0
2550.0,69.4,142.9,0.0,0.0
2580.0,70.9,146.1,0.0,0.0
2610.0,71.9,149.7,0.0,0.0
2640.0,75.2,151.8,0.0,0.0
2670.0,77.7,154.6,0.0,0.0
2700.0,79.6,157.9,0.0,0.0
2730.0,80.6,162.1,0.0,0.0
2760.0,81.3,166.3,0.0,0.0
2790.0,82.4,170.6,0.0,0.0
2820.0,83.9,174.4,0.0,0.0
2850.0,85.6,178.1,0.0,0.0
2880.0,88.9,181.0,0.0,0.0
2910.0,91.1,184.9,0.0,0.0
2940.0,93.4,188.6,0.0,0.0
2970.0,98.3,191.0,0.0,0.0
3000.0,100.9,194.8,0.0,0.0
3030.0,102.7,199.4,0.0,0.0
3060.0,105.0,204.1,0.0,0.0
3090.0,107.2,209.0,0.0,0.0
3120.0,108.6,214.2,0.0,0.0
3150.0,110.1,219.5,0.0,0.0
3180.0,112.1,224.7,0.0,0.0
3210.0,115.1,229.4,0.0,0.0
3240.0,118.6,233.6,0.0,0.0
3270.0,121.4,238.7,0.0,0.0
3300.0,123.9,243.8,0.0,0.0
3330.0,126.5,249.2,0.0,0.0
3360.0,128.4,255.1,0.0,0.0
3390.0,129.5,262.1,0.0,0.0
3420.0,133.0,267.4,0.0,0.0
3450.0,136.0,273.1,0.0,0.0
3480.0,139.9,278.4,0.0,0.0
3510.0,142.2,285.1,0.0,0.0
3540.0,145.5,291.0,0.0,0.0
3570.0,146.3,299.2,0.0,0.0
3600.0,148.9,306.3,0.0,0.0
