times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,109.0,0.0,0.0,0.0
30.0,97.1,12.1,0.0,0.0
60.0,88.5,21.4,0.0,0.0
90.0,80.6,29.9,0.0,0.0
120.0,73.1,38.4,0.0,0.0
150.0,67.7,45.2,0.0,0.0
180.0,63.5,51.1,0.0,0.0
210.0,60.8,55.4,0.0,0.0
240.0,57.7,60.0,0.0,0.0
270.0,56.4,63.7,0.0,0.0
300.0,56.5,66.6,0.0,0.0
330.0,56.2,69.3,0.0,0.0
360.0,54.8,72.5,0.0,0.0
390.0,55.1,74.9,0.0,0.0
420.0,55.2,77.4,0.0,0.0
450.0,55.4,80.0,0.0,0.0
480.0,53.3,84.1,0.0,0.0
510.0,52.1,87.5,0.0,0.0
540.0,52.1,90.4,0.0,0.0
570.0,51.2,94.0,0.0,0.0
600.0,53.7,95.0,0.0,0.0
630.0,54.9,96.9,0.0,0.0
660.0,56.0,99.4,0.0,0.0
690.0,55.1,102.7,0.0,0.0
720.0,56.8,104.3,0.0,0.0
750.0,60.0,105.7,0.0,0.0
780.0,62.8,106.6,0.0,0.0
810.0,63.2,110.1,0.0,0.0
840.0,63.0,113.4,0.0,0.0
870.0,63.1,117.5,0.0,0.0
900.0,64.8,120.0,0.0,0.0
930.0,65.7,123.6,0.0,0.0
960.0,66.0,127.7,0.0,0.0
990.0,67.5,130.8,0.0,0.0
1020.0,67.1,135.2,0.0,0.0
1050.0,68.4,138.6,0.0,0.0
1080.0,67.6,143.0,0.0,0.0
1110.0,69.8,145.7,0.0,0.0
1140.0,73.1,147.9,0.0,0.0
1170.0,73.9,151.1,0.0,0.0
1200.0,74.4,154.3,0.0,0.0
1230.0,75.6,157.8,0.0,0.0
1260.0,79.7,159.9,0.0,0.0
1290.0,81.3,163.3,0.0,0.0
1320.0,84.2,165.9,0.0,0.0
1350.0,86.1,169.5,0.0,0.0
1380.0,86.0,173.5,0.0,0.0
1410.0,86.7,177.5,0.0,0.0
1440.0,90.6,179.5,0.0,0.0
1470.0,97.1,180.8,0.0,0.0
1500.0,98.3,185.3,0.0,0.0
1530.0,100.7,189.1,0.0,0.0
1560.0,101.9,194.2,0.0,0.0
1590.0,103.9,198.1,0.0,0.0
1620.0,105.1,203.6,0.0,0.0
1650.0,108.2,206.9,0.0,0.0
1680.0,107.6,214.1,0.0,0.0
1710.0,111.6,217.7,0.0,0.0
1740.0,115.6,221.7,0.0,0.0
1770.0,117.2,227.9,0.0,0.0
1800.0,118.9,233.6,0.0,0.0
1830.0,119.4,240.1,0.0,0.0
1860.0,120.3,246.4,0.0,0.0
1890.0,124.5,250.8,0.0,0.0
1920.0,128.0,255.4,0.0,0.0
1950.0,133.2,258.7,0.0,0.0
1980.0,132.4,266.9,0.0,0.0
2010.0,134.1,274.3,0.0,0.0
2040.0,139.8,278.4,0.0,0.0
2070.0,142.9,284.3,0.0,0.0
2100.0,144.3,292.4,0.0,0.0
2130.0,146.1,300.4,0.0,0.0
2160.0,150.0,307.1,0.0,0.0
2190.0,155.0,312.2,0.0,0.0
2220.0,161.3,317.1,0.0,0.0
2250.0,164.4,324.1,0.0,0.0
2280.0,164.1,334.5,0.0,0.0
2310.0,168.1,342.6,0.0,0.0
2340.0,178.4,345.3,0.0,0.0
2370.0,177.9,356.2,0.0,0.0
2400.0,176.7,367.6,0.0,0.0
2430.0,181.0,375.3,0.0,0.0
2460.0,188.7,380.8,0.0,0.0
2490.0,194.1,389.1,0.0,0.0
2520.0,197.4,398.6,0.0,0.0
2550.0,207.0,402.8,0.0,0.0
2580.0,209.6,413.3,0.0,0.0
2610.0,213.6,422.7,0.0,0.0
2640.0,219.7,430.9,0.0,0.0
2670.0,218.1,445.2,0.0,0.0
2700.0,225.5,452.5,0.0,0.0
2730.0,228.3,463.8,0.0,0.0
2760.0,234.1,472.7,0.0,0.0
2790.0,245.5,479.7,0.0,0.0
2820.0,253.8,488.7,0.0,0.0
2850.0,255.5,502.3,0.0,0.0
2880.0,254.0,516.5,0.0,0.0
2910.0,259.7,527.2,0.0,0.0
2940.0,267.0,537.5,0.0,0.0
2970.0,271.5,549.7,0.0,0.0
3000.0,277.1,561.5,0.0,0.0
3030.0,285.6,572.3,0.0,0.0
3060.0,294.4,583.3,0.0,0.0
3090.0,298.8,598.7,0.0,0.0
3120.0,302.6,613.2,0.0,0.0
3150.0,311.4,623.7,0.0,0.0
3180.0,314.0,639.7,0.0,0.0
3210.0,320.2,652.7,0.0,0.0
3240.0,330.2,664.0,0.0,0.0
3270.0,330.6,683.7,0.0,0.0
3300.0,339.0,697.3,0.0,0.0
3330.0,351.4,707.7,0.0,0.0
3360.0,352.2,727.0,0.0,0.0
3390.0,363.6,739.9,0.0,0.0
3420.0,367.8,757.8,0.0,0.0
3450.0,378.1,774.5,0.0,0.0
3480.0,382.0,795.1,0.0,0.0
3510.0,393.2,810.4,0.0,0.0
3540.0,406.5,824.0,0.0,0.0
3570.0,417.8,839.9,0.0,0.0
3600.0,429.8,856.3,0.0,0.0
