times, Ki67_negative_mean, Ki67_positive_mean, apoptotic_mean, necrotic_mean
0.0,37.0,0.0,0.0,0.0
30.0,32.6,4.5,0.0,0.0
60.0,28.2,8.9,0.0,0.0
90.0,25.6,11.7,0.0,0.0
120.0,23.7,14.5,0.0,0.0
150.0,22.7,16.0,0.0,0.0
180.0,21.7,17.6,0.0,0.0
210.0,21.2,18.5,0.0,0.0
240.0,20.8,19.8,0.0,0.0
270.0,21.1,20.3,0.0,0.0
300.0,19.5,22.4,0.0,0.0
330.0,18.9,23.6,0.0,0.0
360.0,18.2,25.3,0.0,0.0
390.0,18.7,26.2,0.0,0.0
420.0,19.0,27.2,0.0,0.0
450.0,18.7,28.5,0.0,0.0
480.0,17.4,30.8,0.0,0.0
510.0,18.1,31.6,0.0,0.0
540.0,18.4,32.3,0.0,0.0
570.0,17.8,33.9,0.0,0.0
600.0,17.6,35.1,0.0,0.0
630.0,17.5,35.9,0.0,0.0
660.0,18.7,36.1,0.0,0.0
690.0,21.5,35.5,0.0,0.0
720.0,21.2,36.9,0.0,0.0
750.0,22.4,37.2,0.0,0.0
780.0,22.7,38.3,0.0,0.0
810.0,22.6,39.4,0.0,0.0
840.0,25.0,39.3,0.0,0.0
870.0,24.7,41.1,0.0,0.0
900.0,23.3,43.4,0.0,0.0
930.0,23.3,44.9,0.0,0.0
960.0,23.9,46.1,0.0,0.0
990.0,25.9,46.2,0.0,0.0
1020.0,26.6,47.2,0.0,0.0
1050.0,27.1,48.2,0.0,0.0
1080.0,28.6,48.7,0.0,0.0
1110.0,28.3,50.7,0.0,0.0
1140.0,28.5,52.2,0.0,0.0
1170.0,28.6,54.0,0.0,0.0
1200.0,27.5,56.4,0.0,0.0
1230.0,27.9,58.1,0.0,0.0
1260.0,28.1,59.4,0.0,0.0
1290.0,29.8,59.8,0.0,0.0
1320.0,29.9,61.2,0.0,0.0
1350.0,29.4,63.0,0.0,0.0
1380.0,30.0,64.5,0.0,0.0
1410.0,32.1,64.7,0.0,0.0
1440.0,33.8,65.8,0.0,0.0
1470.0,34.3,67.0,0.0,0.0
1500.0,33.5,69.2,0.0,0.0
1530.0,34.4,70.3,0.0,0.0
1560.0,37.0,71.0,0.0,0.0
1590.0,37.6,72.1,0.0,0.0
1620.0,39.1,73.2,0.0,0.0
1650.0,40.7,74.3,0.0,0.0
1680.0,42.7,75.0,0.0,0.0
1710.0,44.5,75.9,0.0,0.0
1740.0,44.3,78.8,0.0,0.0
1770.0,46.6,79.7,0.0,0.0
1800.0,45.4,82.5,0.0,0.0
1830.0,42.4,87.2,0.0,0.0
1860.0,41.9,89.7,0.0,0.0
1890.0,42.3,92.3,0.0,0.0
1920.0,43.7,94.3,0.0,0.0
1950.0,44.9,96.3,0.0,0.0
1980.0,46.0,98.3,0.0,0.0
2010.0,49.0,98.6,0.0,0.0
2040.0,48.0,101.8,0.0,0.0
2070.0,51.6,102.3,0.0,0.0
2100.0,51.9,104.9,0.0,0.0
2130.0,53.5,106.6,0.0,0.0
2160.0,53.6,109.9,0.0,0.0
2190.0,54.7,112.4,0.0,0.0
2220.0,56.5,113.7,0.0,0.0
2250.0,56.2,117.6,0.0,0.0
2280.0,56.1,120.8,0.0,0.0
2310.0,57.7,123.3,0.0,0.0
2340.0,59.4,126.6,0.0,0.0
2370.0,60.6,129.6,0.0,0.0
2400.0,63.5,131.1,0.0,0.0
2430.0,68.2,132.0,0.0,0.0
2460.0,69.0,134.8,0.0,0.0
2490.0,71.1,137.7,0.0,0.0
2520.0,73.4,140.4,0.0,0.0
2550.0,72.7,144.6,0.0,0.0
2580.0,74.8,147.6,0.0,0.0
2610.0,76.4,151.0,0.0,0.0
2640.0,79.9,153.3,0.0,0.0
2670.0,81.9,156.3,0.0,0.0
2700.0,84.4,160.3,0.0,0.0
2730.0,84.0,164.7,0.0,0.0
2760.0,84.2,169.1,0.0,0.0
2790.0,88.2,172.2,0.0,0.0
2820.0,89.9,175.9,0.0,0.0
2850.0,89.0,181.7,0.0,0.0
2880.0,90.6,186.0,0.0,0.0
2910.0,93.6,189.5,0.0,0.0
2940.0,97.4,192.3,0.0,0.0
2970.0,101.7,195.4,0.0,0.0
3000.0,106.2,197.7,0.0,0.0
3030.0,108.4,202.2,0.0,0.0
3060.0,106.9,209.4,0.0,0.0
3090.0,110.9,214.3,0.0,0.0
3120.0,112.0,219.8,0.0,0.0
3150.0,111.9,226.3,0.0,0.0
3180.0,115.9,231.4,0.0,0.0
3210.0,118.2,237.6,0.0,0.0
3240.0,120.4,242.3,0.0,0.0
3270.0,122.5,248.3,0.0,0.0
3300.0,128.0,252.2,0.0,0.0
3330.0,130.1,258.2,0.0,0.0
3360.0,137.8,261.7,0.0,0.0
3390.0,136.7,271.5,0.0,0.0
3420.0,140.6,276.7,0.0,0.0
3450.0,145.2,282.2,0.0,0.0
3480.0,148.5,288.3,0.0,0.0
3510.0,151.1,294.6,0.0,0.0
3540.0,152.2,302.3,0.0,0.0
3570.0,151.9,312.1,0.0,0.0
3600.0,151.9,320.7,0.0,0.0
